Date,KAJARIACER.NS
2015-08-21,329.2384948730469
2015-08-24,300.68963623046875
2015-08-25,305.5393981933594
2015-08-26,307.264892578125
2015-08-27,316.101806640625
2015-08-28,318.9230651855469
2015-08-31,320.27545166015625
2015-09-01,317.43084716796875
2015-09-02,318.03704833984375
2015-09-03,324.98541259765625
2015-09-04,320.2521057128906
2015-09-07,315.6120910644531
2015-09-08,321.3713073730469
2015-09-09,328.3663024902344
2015-09-10,328.6460876464844
2015-09-11,326.6874694824219
2015-09-14,326.12786865234375
2015-09-15,326.5942077636719
2015-09-16,336.3871154785156
2015-09-18,358.8176574707031
2015-09-21,360.21661376953125
2015-09-22,355.9730224609375
2015-09-23,360.426513671875
2015-09-24,368.1908874511719
2015-09-28,362.64154052734375
2015-09-29,360.56640625
2015-09-30,371.94476318359375
2015-10-01,374.0199890136719
2015-10-05,375.9085998535156
2015-10-06,376.6547546386719
2015-10-07,371.68829345703125
2015-10-08,373.8800354003906
2015-10-09,372.7375183105469
2015-10-12,376.42156982421875
2015-10-13,378.8465270996094
2015-10-14,393.908935546875
2015-10-15,406.87298583984375
2015-10-16,412.1424255371094
2015-10-19,416.5260009765625
2015-10-20,428.1375732421875
2015-10-21,412.0958251953125
2015-10-23,410.25384521484375
2015-10-26,414.98712158203125
2015-10-27,415.849853515625
2015-10-28,418.41455078125
2015-10-29,420.86279296875
2015-10-30,423.00799560546875
2015-11-02,415.7565002441406
2015-11-03,417.715087890625
2015-11-04,407.0361022949219
2015-11-05,398.4090270996094
2015-11-06,410.62689208984375
2015-11-09,413.09844970703125
2015-11-10,402.9091491699219
2015-11-13,398.08270263671875
2015-11-16,400.3675842285156
2015-11-17,402.8858337402344
2015-11-18,397.056640625
2015-11-19,410.2071838378906
2015-11-20,426.9483947753906
2015-11-23,431.63507080078125
2015-11-24,436.9512023925781
2015-11-26,428.0209655761719
2015-11-27,429.1168212890625
2015-11-30,441.5679016113281
2015-12-01,442.5705261230469
2015-12-02,443.9461669921875
2015-12-03,438.3036193847656
2015-12-04,437.02117919921875
2015-12-07,442.87359619140625
2015-12-08,440.7518005371094
2015-12-09,437.39422607421875
2015-12-10,442.6637878417969
2015-12-11,443.876220703125
2015-12-14,448.07318115234375
2015-12-15,451.3841552734375
2015-12-16,448.2597351074219
2015-12-17,451.1509704589844
2015-12-18,448.16644287109375
2015-12-21,442.4305725097656
2015-12-22,452.1069641113281
2015-12-23,450.824462890625
2015-12-24,456.0707702636719
2015-12-28,461.5967712402344
2015-12-29,461.3403015136719
2015-12-30,453.482666015625
2015-12-31,458.1692199707031
2016-01-01,458.07598876953125
2016-01-04,459.3350524902344
2016-01-05,450.4980773925781
2016-01-06,447.67681884765625
2016-01-07,445.4151306152344
2016-01-08,453.06298828125
2016-01-11,451.127685546875
2016-01-12,446.27783203125
2016-01-13,447.8166809082031
2016-01-14,429.746337890625
2016-01-15,434.9226989746094
2016-01-18,422.2384948730469
2016-01-19,428.8137512207031
2016-01-20,427.9044189453125
2016-01-21,437.3009948730469
2016-01-22,450.17169189453125
2016-01-25,453.1329040527344
2016-01-27,445.4151306152344
2016-01-28,445.4384460449219
2016-01-29,454.4152526855469
2016-02-01,452.4566955566406
2016-02-02,443.596435546875
2016-02-03,439.0030517578125
2016-02-04,433.3837585449219
2016-02-05,442.2906494140625
2016-02-08,442.4305725097656
2016-02-09,435.692138671875
2016-02-10,430.5858154296875
2016-02-11,418.8576965332031
2016-02-12,409.484375
2016-02-15,419.6037292480469
2016-02-16,416.8524169921875
2016-02-17,416.9690246582031
2016-02-18,409.6009826660156
2016-02-19,404.5878601074219
2016-02-22,412.70208740234375
2016-02-23,411.2797546386719
2016-02-24,409.7875061035156
2016-02-25,408.9014587402344
2016-02-26,410.6502380371094
2016-02-29,403.3987731933594
2016-03-01,409.57763671875
2016-03-02,434.31640625
2016-03-03,428.97698974609375
2016-03-04,429.7931213378906
2016-03-08,440.2854309082031
2016-03-09,435.2491149902344
2016-03-10,429.1168212890625
2016-03-11,433.61700439453125
2016-03-14,442.4771728515625
2016-03-15,443.223388671875
2016-03-16,441.70782470703125
2016-03-17,438.2103271484375
2016-03-18,442.8037109375
2016-03-21,439.2362976074219
2016-03-22,441.427978515625
2016-03-23,435.0626220703125
2016-03-28,439.376220703125
2016-03-29,441.894287109375
2016-03-30,440.5186767578125
2016-03-31,446.6741638183594
2016-04-01,444.8555603027344
2016-04-04,442.384033203125
2016-04-05,439.4927978515625
2016-04-06,442.0108337402344
2016-04-07,441.894287109375
2016-04-08,442.54718017578125
2016-04-11,444.9254150390625
2016-04-12,452.3167724609375
2016-04-13,464.9309997558594
2016-04-18,488.01434326171875
2016-04-20,492.9808349609375
2016-04-21,479.9001770019531
2016-04-22,485.845947265625
2016-04-25,487.8743896484375
2016-04-26,494.30975341796875
2016-04-27,490.416015625
2016-04-28,497.24774169921875
2016-04-29,489.5299072265625
2016-05-02,494.613037109375
2016-05-03,494.0067138671875
2016-05-04,497.22430419921875
2016-05-05,491.0920715332031
2016-05-06,485.4494934082031
2016-05-09,494.5429382324219
2016-05-10,488.90032958984375
2016-05-11,499.2528991699219
2016-05-12,499.3461608886719
2016-05-13,501.2347717285156
2016-05-16,495.19580078125
2016-05-17,499.1363220214844
2016-05-18,499.2528991699219
2016-05-19,498.9965515136719
2016-05-20,498.7632751464844
2016-05-23,493.0040283203125
2016-05-24,490.439208984375
2016-05-25,500.1390380859375
2016-05-26,503.72955322265625
2016-05-27,511.2608337402344
2016-05-30,513.312744140625
2016-05-31,508.41619873046875
