Date,CURY.L
2015-08-24,405.793701171875
2015-08-25,424.13916015625
2015-08-26,419.05426025390625
2015-08-27,428.98614501953125
2015-08-28,430.1827697753906
2015-09-01,416.32196044921875
2015-09-02,422.1055908203125
2015-09-03,429.68414306640625
2015-09-04,411.1366271972656
2015-09-07,412.3332824707031
2015-09-08,412.3332824707031
2015-09-09,418.7152404785156
2015-09-10,426.2937316894531
2015-09-11,419.7123718261719
2015-09-14,419.3134765625
2015-09-15,416.52142333984375
2015-09-16,425.09710693359375
2015-09-17,427.2908630371094
2015-09-18,421.4075927734375
2015-09-21,418.11688232421875
2015-09-22,406.948486328125
2015-09-23,415.5242614746094
2015-09-24,409.6408996582031
2015-09-25,421.2081604003906
2015-09-28,416.22222900390625
2015-09-29,410.0397644042969
2015-09-30,423.2025146484375
2015-10-01,424.19964599609375
2015-10-02,433.8723449707031
2015-10-05,445.938232421875
2015-10-06,439.45654296875
2015-10-07,433.3737487792969
2015-10-08,437.96075439453125
2015-10-09,431.57879638671875
2015-10-12,431.9777526855469
2015-10-13,431.77825927734375
2015-10-14,423.1028137207031
2015-10-15,429.0857849121094
2015-10-16,429.385009765625
2015-10-19,428.6869812011719
2015-10-20,429.2852783203125
2015-10-21,437.3624572753906
2015-10-22,441.0519104003906
2015-10-23,456.9071350097656
2015-10-26,454.91278076171875
2015-10-27,453.81591796875
2015-10-28,457.4057922363281
2015-10-29,456.8074645996094
2015-10-30,459.9984130859375
2015-11-02,461.6935729980469
2015-11-03,462.59100341796875
2015-11-04,460.6963806152344
2015-11-05,464.0867919921875
2015-11-06,465.781982421875
2015-11-09,462.6907653808594
2015-11-10,461.39447021484375
2015-11-11,463.4884948730469
2015-11-12,457.904296875
2015-11-13,453.7161865234375
2015-11-16,456.0096740722656
2015-11-17,464.88458251953125
2015-11-18,458.70208740234375
2015-11-19,458.3031311035156
2015-11-20,463.28912353515625
2015-11-23,464.48565673828125
2015-11-24,452.4198303222656
2015-11-25,461.0952453613281
2015-11-26,472.463134765625
2015-11-27,480.24114990234375
2015-11-30,483.3323974609375
2015-12-01,486.0247497558594
2015-12-02,484.1300964355469
2015-12-03,476.35211181640625
2015-12-04,478.2467041015625
2015-12-07,482.9334716796875
2015-12-08,477.9476318359375
2015-12-09,484.828125
2015-12-10,475.2552490234375
2015-12-11,469.27215576171875
2015-12-14,463.1893615722656
2015-12-15,475.3549499511719
