Date,KDP
2015-08-03,10.332063674926758
2015-08-04,10.449986457824707
2015-08-05,10.669159889221191
2015-08-06,10.547393798828125
2015-08-07,10.49356460571289
2015-08-10,10.480746269226074
2015-08-11,10.466647148132324
2015-08-12,10.460236549377441
2015-08-13,10.525607109069824
2015-08-14,10.542267799377441
2015-08-17,10.638400077819824
2015-08-18,10.610203742980957
2015-08-19,10.585847854614258
2015-08-20,10.43588924407959
2015-08-21,10.12570571899414
2015-08-24,9.837316513061523
2015-08-25,9.615575790405273
2015-08-26,9.820653915405273
2015-08-27,9.87704849243164
2015-08-28,9.883459091186523
2015-08-31,9.834753036499023
2015-09-01,9.665565490722656
2015-09-02,9.819369316101074
2015-09-03,9.86295223236084
2015-09-04,9.71170425415039
2015-09-08,9.95523452758789
2015-09-09,9.743745803833008
2015-09-10,9.796636581420898
2015-09-11,9.861128807067871
2015-09-14,9.828879356384277
2015-09-15,9.906272888183594
2015-09-16,9.96561050415039
2015-09-17,10.03654956817627
2015-09-18,9.96174144744873
2015-09-21,10.068795204162598
2015-09-22,9.96561050415039
2015-09-23,10.013338088989258
2015-09-24,10.03784465789795
2015-09-25,10.088147163391113
2015-09-28,9.956582069396973
2015-09-29,10.09201431274414
2015-09-30,10.196497917175293
2015-10-01,10.218425750732422
2015-10-02,10.263570785522461
2015-10-05,10.65053653717041
2015-10-06,10.571849822998047
2015-10-07,10.720192909240723
2015-10-08,10.783390045166016
2015-10-09,10.79628849029541
2015-10-12,10.838857650756836
2015-10-13,10.783390045166016
2015-10-14,10.680205345153809
2015-10-15,10.703420639038086
2015-10-16,10.851757049560547
2015-10-19,10.95107650756836
2015-10-20,10.929150581359863
2015-10-21,10.940752029418945
2015-10-22,11.557318687438965
2015-10-23,11.594722747802734
2015-10-26,11.593438148498535
2015-10-27,11.672117233276367
2015-10-28,11.728874206542969
2015-10-29,11.619234085083008
2015-10-30,11.527652740478516
2015-11-02,11.497983932495117
2015-11-03,11.380606651306152
2015-11-04,11.374157905578613
2015-11-05,11.312241554260254
2015-11-06,11.12649917602539
2015-11-09,11.08006477355957
2015-11-10,11.240009307861328
2015-11-11,11.41285228729248
2015-11-12,11.19872760772705
2015-11-13,11.203892707824707
2015-11-16,11.353515625
2015-11-17,11.242586135864258
2015-11-18,11.450260162353516
2015-11-19,11.52120304107666
2015-11-20,11.33545970916748
2015-11-23,11.497983932495117
2015-11-24,11.5366849899292
2015-11-25,11.581828117370605
2015-11-27,11.682440757751465
2015-11-30,11.576669692993164
2015-12-01,11.82045841217041
2015-12-02,11.718554496765137
2015-12-03,11.581828117370605
2015-12-04,11.921064376831055
2015-12-07,11.843672752380371
2015-12-08,11.939123153686523
2015-12-09,11.730165481567383
2015-12-10,11.810563087463379
2015-12-11,11.727572441101074
2015-12-14,11.907816886901855
2015-12-15,12.102322578430176
2015-12-16,12.199575424194336
2015-12-17,12.063421249389648
2015-12-18,11.883180618286133
2015-12-21,11.953198432922363
2015-12-22,12.12955093383789
2015-12-23,12.169754028320312
2015-12-24,12.178827285766602
2015-12-28,12.231995582580566
2015-12-29,12.317581176757812
2015-12-30,12.273491859436035
2015-12-31,12.085465431213379
2016-01-04,11.959684371948242
2016-01-05,12.107513427734375
2016-01-06,12.254040718078613
2016-01-07,12.097138404846191
2016-01-08,11.989505767822266
2016-01-11,12.007661819458008
