Date,ML.PA
2015-08-24,15.031963348388672
2015-08-25,15.490927696228027
2015-08-26,15.398776054382324
2015-08-27,15.848700523376465
2015-08-28,15.662590980529785
2015-08-31,15.592116355895996
2015-09-01,15.31203842163086
2015-09-02,15.281320571899414
2015-09-03,15.6752347946167
2015-09-04,15.196394920349121
2015-09-07,15.377090454101562
2015-09-08,15.452978134155273
2015-09-09,15.557784080505371
2015-09-10,15.232535362243652
2015-09-11,15.013893127441406
2015-09-14,14.816935539245605
2015-09-15,15.00305461883545
2015-09-16,15.284934997558594
2015-09-17,15.380705833435059
2015-09-18,15.196394920349121
2015-09-21,15.015701293945312
2015-09-22,14.477234840393066
2015-09-23,14.614559173583984
2015-09-24,14.321836471557617
2015-09-25,14.668767929077148
2015-09-28,14.314605712890625
2015-09-29,14.343517303466797
2015-09-30,14.712133407592773
2015-10-01,14.688642501831055
2015-10-02,14.795254707336426
2015-10-05,15.113277435302734
2015-10-06,15.181936264038086
2015-10-07,15.44756031036377
2015-10-08,15.662590980529785
2015-10-09,15.537906646728516
2015-10-12,15.622834205627441
2015-10-13,15.380705833435059
2015-10-14,15.190975189208984
2015-10-15,15.51080322265625
2015-10-16,15.47828197479248
2015-10-19,15.5794677734375
2015-10-20,15.35360050201416
2015-10-21,15.476470947265625
2015-10-22,15.73667049407959
2015-10-23,16.40705108642578
2015-10-26,16.311279296875
2015-10-27,16.163108825683594
2015-10-28,16.27695083618164
2015-10-29,16.21190071105957
2015-10-30,16.370906829833984
2015-11-02,16.622074127197266
2015-11-03,16.641950607299805
2015-11-04,16.56967544555664
2015-11-05,16.613040924072266
2015-11-06,16.893117904663086
2015-11-09,16.660017013549805
2015-11-10,16.772050857543945
2015-11-11,16.867816925048828
2015-11-12,16.697965621948242
2015-11-13,16.613040924072266
2015-11-16,16.79915428161621
2015-11-17,17.162349700927734
2015-11-18,16.882272720336914
2015-11-19,17.10814094543457
2015-11-20,16.974428176879883
2015-11-23,16.95635986328125
2015-11-24,16.6961612701416
2015-11-25,16.88046646118164
2015-11-26,17.0701961517334
2015-11-27,17.138856887817383
2015-11-30,17.14789581298828
2015-12-01,17.01779556274414
2015-12-02,16.95635986328125
2015-12-03,16.291404724121094
2015-12-04,16.42511558532715
2015-12-07,16.566057205200195
2015-12-08,16.472097396850586
2015-12-09,16.192020416259766
2015-12-10,16.15768814086914
2015-12-11,15.691497802734375
2015-12-14,15.348180770874023
2015-12-15,15.729443550109863
2015-12-16,15.825210571289062
2015-12-17,15.908330917358398
2015-12-18,15.81075382232666
2015-12-21,15.630062103271484
2015-12-22,15.649937629699707
2015-12-23,16.040233612060547
2015-12-24,15.982418060302734
2015-12-28,15.80533504486084
2015-12-29,16.04746437072754
2015-12-30,15.986031532287598
2016-01-04,15.46562671661377
2016-01-05,15.351791381835938
2016-01-06,14.939809799194336
2016-01-07,14.751887321472168
2016-01-08,14.715747833251953
2016-01-11,14.683222770690918
2016-01-12,14.968719482421875
2016-01-13,14.983177185058594
