Date,GOAU3.SA
2015-08-24,1.246348261833191
2015-08-25,1.1755949258804321
2015-08-26,1.2844460010528564
2015-08-27,1.4531657695770264
2015-08-28,1.4640510082244873
2015-08-31,1.3932973146438599
2015-09-01,1.4586087465286255
2015-09-02,1.6436556577682495
2015-09-03,1.6817535161972046
2015-09-04,1.6654261350631714
2015-09-08,1.752506971359253
2015-09-09,1.763392686843872
2015-09-10,1.8504735231399536
2015-09-11,1.8395884037017822
2015-09-14,1.7416220903396606
2015-09-15,1.7416220903396606
2015-09-16,1.7797198295593262
2015-09-17,1.763392686843872
2015-09-18,1.725294589996338
2015-09-21,1.7144087553024292
2015-09-22,1.6654261350631714
2015-09-23,1.6055576801300049
2015-09-24,1.63821280002594
2015-09-25,1.594672441482544
2015-09-28,1.5184762477874756
2015-09-29,1.5075911283493042
2015-09-30,1.41506826877594
2015-10-01,1.431395411491394
2015-10-02,1.5293620824813843
2015-10-05,1.5565742254257202
2015-10-06,1.6055576801300049
2015-10-07,1.6817535161972046
2015-10-08,1.7579494714736938
2015-10-09,1.6327706575393677
2015-10-13,1.5184762477874756
2015-10-14,1.4749361276626587
2015-10-15,1.4531657695770264
2015-10-16,1.4912642240524292
2015-10-19,1.447723627090454
2015-10-20,1.4531657695770264
2015-10-21,1.4586087465286255
2015-10-22,1.4096250534057617
2015-10-23,1.3660849332809448
2015-10-26,1.3606421947479248
2015-10-27,1.3062164783477783
2015-10-28,1.2790032625198364
2015-10-29,1.1810375452041626
2015-10-30,1.2517906427383423
2015-11-03,1.327986478805542
2015-11-04,1.2844460010528564
2015-11-05,1.2517906427383423
2015-11-06,1.246348261833191
2015-11-09,1.2028075456619263
2015-11-10,1.2245780229568481
2015-11-11,1.2735610008239746
2015-11-12,1.1810375452041626
2015-11-13,1.1810375452041626
2015-11-16,1.1157264709472656
2015-11-17,1.039530634880066
2015-11-18,1.0068751573562622
2015-11-19,0.9851047992706299
2015-11-23,0.8980238437652588
2015-11-24,0.9524494409561157
2015-11-25,0.974219799041748
2015-11-26,0.974219799041748
2015-11-27,0.9633347988128662
2015-11-30,0.9197942018508911
2015-12-01,0.9034664630889893
2015-12-02,0.9143515825271606
2015-12-03,0.9252367615699768
2015-12-04,0.8599257469177246
2015-12-07,0.8163853287696838
2015-12-08,0.7782871127128601
2015-12-09,0.7837299108505249
2015-12-10,0.7728448510169983
2015-12-11,0.7347466945648193
2015-12-14,0.7129764556884766
2015-12-15,0.7293043732643127
2015-12-16,0.7347466945648193
2015-12-17,0.7510745525360107
2015-12-18,0.7510745525360107
2015-12-21,0.7619596719741821
2015-12-22,0.7619596719741821
2015-12-23,0.8055002689361572
2015-12-28,0.8490409255027771
2015-12-29,0.8327130675315857
2015-12-30,0.8218278288841248
2016-01-04,0.7837299108505249
2016-01-05,0.7456321120262146
2016-01-06,0.663993239402771
2016-01-07,0.6258953213691711
2016-01-08,0.6258953213691711
2016-01-11,0.6313380599021912
2016-01-12,0.6095678210258484
2016-01-13,0.5714697241783142
2016-01-14,0.5714697241783142
2016-01-15,0.5714697241783142
2016-01-18,0.5823549032211304
2016-01-19,0.5769121646881104
2016-01-20,0.566027045249939
2016-01-21,0.5496994256973267
2016-01-22,0.5551419854164124
2016-01-26,0.5388143658638
2016-01-27,0.5551419854164124
2016-01-28,0.5442569851875305
2016-01-29,0.5714697241783142
2016-02-01,0.6095678210258484
2016-02-02,0.6531082391738892
2016-02-03,0.7293043732643127
2016-02-04,0.8435981273651123
2016-02-05,0.930679202079773
2016-02-10,0.9524494409561157
2016-02-11,0.8163853287696838
2016-02-12,0.7946150302886963
2016-02-15,0.8272704482078552
2016-02-16,0.8544833660125732
2016-02-17,0.8435981273651123
2016-02-18,0.8272704482078552
2016-02-19,0.8218278288841248
2016-02-22,0.8435981273651123
2016-02-23,0.8109427690505981
2016-02-24,0.7891726493835449
2016-02-25,0.7129764556884766
2016-02-26,0.7129764556884766
2016-02-29,0.7184191942214966
2016-03-01,0.7456321120262146
2016-03-02,0.7946150302886963
2016-03-03,0.8762534856796265
2016-03-04,0.9524494409561157
2016-03-07,0.9851047992706299
2016-03-08,0.9524494409561157
2016-03-09,1.050416111946106
