Date,RBREW.CO
2015-08-24,176.1503143310547
2015-08-25,183.381591796875
2015-08-26,182.81285095214844
2015-08-27,184.68157958984375
2015-08-28,181.8378143310547
2015-08-31,179.56283569335938
2015-09-01,177.93783569335938
2015-09-02,177.12530517578125
2015-09-03,184.27536010742188
2015-09-04,180.2940673828125
2015-09-07,177.5315704345703
2015-09-08,179.6440887451172
2015-09-09,180.37533569335938
2015-09-10,178.91282653808594
2015-09-11,180.86280822753906
2015-09-14,179.56283569335938
2015-09-15,179.88783264160156
2015-09-16,186.87535095214844
2015-09-17,187.68783569335938
2015-09-18,188.01284790039062
2015-09-21,190.69412231445312
2015-09-22,192.15660095214844
2015-09-23,196.6253662109375
2015-09-24,195.8941192626953
2015-09-25,198.1691131591797
2015-09-28,199.71287536621094
2015-09-29,197.681640625
2015-09-30,202.96286010742188
2015-10-01,199.30662536621094
2015-10-02,205.5628662109375
2015-10-05,203.77537536621094
2015-10-06,204.83163452148438
2015-10-07,201.2566375732422
2015-10-08,200.68788146972656
2015-10-09,195.8128662109375
2015-10-12,196.6253662109375
2015-10-13,199.71287536621094
2015-10-14,198.73785400390625
2015-10-15,200.03787231445312
2015-10-16,199.87538146972656
2015-10-19,203.04412841796875
2015-10-20,207.025390625
2015-10-21,208.32540893554688
2015-10-22,209.38165283203125
2015-10-23,210.11289978027344
2015-10-26,207.1066436767578
2015-10-27,212.14414978027344
2015-10-28,217.75039672851562
2015-10-29,216.6941680908203
2015-10-30,217.994140625
2015-11-02,215.31289672851562
2015-11-03,215.55665588378906
2015-11-04,216.9379119873047
2015-11-05,216.369140625
2015-11-06,212.38787841796875
2015-11-09,216.9379119873047
2015-11-10,215.15037536621094
2015-11-11,217.75039672851562
2015-11-12,217.5066680908203
2015-11-13,223.0316619873047
2015-11-16,221.81289672851562
2015-11-17,225.2254180908203
2015-11-18,222.3816680908203
2015-11-19,219.619140625
2015-11-20,223.51919555664062
2015-11-23,227.98789978027344
2015-11-24,223.60043334960938
2015-11-25,223.60043334960938
2015-11-26,240.90670776367188
2015-11-27,231.96917724609375
2015-11-30,236.762939453125
2015-12-01,235.6254425048828
2015-12-02,235.8691864013672
2015-12-03,229.53167724609375
2015-12-04,227.74417114257812
2015-12-07,227.4191436767578
2015-12-08,226.68792724609375
2015-12-09,221.24415588378906
2015-12-10,219.37539672851562
2015-12-11,215.71914672851562
2015-12-14,217.5066680908203
2015-12-15,215.80039978027344
2015-12-16,224.2504119873047
2015-12-17,223.9254150390625
2015-12-18,223.76290893554688
