Date,PRESTIGE.NS
2015-08-21,188.57920837402344
2015-08-24,175.42916870117188
2015-08-25,185.24403381347656
2015-08-26,181.24183654785156
2015-08-27,192.86721801757812
2015-08-28,201.34808349609375
2015-08-31,193.6295623779297
2015-09-01,194.24896240234375
2015-09-02,193.48663330078125
2015-09-03,193.10545349121094
2015-09-04,193.67723083496094
2015-09-07,194.53482055664062
2015-09-08,192.9625244140625
2015-09-09,200.49046325683594
2015-09-10,194.3918914794922
2015-09-11,202.4438934326172
2015-09-14,205.445556640625
2015-09-15,202.2056884765625
2015-09-16,201.58627319335938
2015-09-18,202.68211364746094
2015-09-21,203.5397491455078
2015-09-22,201.49102783203125
2015-09-23,198.80381774902344
2015-09-24,200.33934020996094
2015-09-28,203.17050170898438
2015-09-29,202.45068359375
2015-09-30,206.81739807128906
2015-10-01,205.4258270263672
2015-10-05,203.21847534179688
2015-10-06,199.09170532226562
2015-10-07,199.76351928710938
2015-10-08,197.41224670410156
2015-10-09,199.09170532226562
2015-10-12,198.46791076660156
2015-10-13,199.6675567626953
2015-10-14,204.6580352783203
2015-10-15,209.21665954589844
2015-10-16,207.2972412109375
2015-10-19,208.5448760986328
2015-10-20,210.27236938476562
2015-10-21,207.3932342529297
2015-10-23,200.81922912597656
2015-10-26,198.75582885742188
2015-10-27,200.29136657714844
2015-10-28,199.47561645507812
2015-10-29,198.80381774902344
2015-10-30,195.2528839111328
2015-11-02,193.2854766845703
2015-11-03,196.83641052246094
2015-11-04,195.34886169433594
2015-11-05,192.03785705566406
2015-11-06,190.79025268554688
2015-11-09,186.951416015625
2015-11-10,181.00120544433594
2015-11-13,187.95912170410156
2015-11-16,187.33529663085938
2015-11-17,186.27960205078125
2015-11-18,183.06459045410156
2015-11-19,180.66529846191406
2015-11-20,182.77667236328125
2015-11-23,193.6213836669922
2015-11-24,197.1723175048828
2015-11-26,194.86900329589844
2015-11-27,195.5408172607422
2015-11-30,194.82102966308594
2015-12-01,195.876708984375
2015-12-02,206.38551330566406
2015-12-03,209.16868591308594
2015-12-04,204.27418518066406
2015-12-07,209.4565887451172
2015-12-08,200.5312957763672
2015-12-09,194.00527954101562
2015-12-10,200.33934020996094
2015-12-11,188.53494262695312
2015-12-14,188.10305786132812
2015-12-15,191.46202087402344
2015-12-16,189.9744873046875
2015-12-17,189.39866638183594
2015-12-18,188.24700927734375
2015-12-21,188.966796875
2015-12-22,186.56752014160156
2015-12-23,186.56752014160156
2015-12-24,186.7114715576172
2015-12-28,186.66346740722656
2015-12-29,187.2393341064453
2015-12-30,186.66346740722656
2015-12-31,185.70376586914062
2016-01-01,186.951416015625
2016-01-04,182.77667236328125
2016-01-05,183.3524932861328
2016-01-06,188.1510467529297
2016-01-07,182.05686950683594
2016-01-08,182.5367431640625
2016-01-11,184.2642059326172
2016-01-12,183.8803253173828
2016-01-13,184.60011291503906
2016-01-14,184.60011291503906
2016-01-15,178.93783569335938
2016-01-18,167.85316467285156
2016-01-19,177.4022979736328
2016-01-20,168.95687866210938
2016-01-21,170.58834838867188
2016-01-22,171.64402770996094
2016-01-25,173.85134887695312
2016-01-27,181.0491943359375
2016-01-28,178.3140411376953
2016-01-29,177.9301300048828
2016-02-01,181.14515686035156
2016-02-02,177.83416748046875
2016-02-03,168.1890869140625
2016-02-04,160.55938720703125
2016-02-05,165.11802673339844
2016-02-08,167.4213104248047
2016-02-09,163.1505889892578
2016-02-10,152.4978485107422
2016-02-11,156.19273376464844
2016-02-12,153.5535125732422
2016-02-15,163.91836547851562
2016-02-16,152.83372497558594
2016-02-17,151.0582733154297
2016-02-18,152.54579162597656
2016-02-19,151.01028442382812
2016-02-22,149.61871337890625
2016-02-23,147.93919372558594
2016-02-24,149.71469116210938
2016-02-25,149.5227508544922
2016-02-26,148.5630340576172
2016-02-29,143.14068603515625
2016-03-01,146.1157684326172
2016-03-02,149.23483276367188
2016-03-03,148.75497436523438
2016-03-04,148.70697021484375
2016-03-08,147.21942138671875
2016-03-09,147.65133666992188
2016-03-10,141.60511779785156
2016-03-11,139.63772583007812
2016-03-14,136.3267364501953
2016-03-15,133.9754638671875
2016-03-16,130.3765411376953
2016-03-17,125.09812927246094
2016-03-18,133.39959716796875
2016-03-21,147.02749633789062
2016-03-22,153.16961669921875
2016-03-23,159.69564819335938
2016-03-28,147.02749633789062
2016-03-29,157.63229370117188
2016-03-30,167.20333862304688
2016-03-31,167.00997924804688
2016-04-01,166.91331481933594
2016-04-04,167.1549835205078
2016-04-05,169.86196899414062
2016-04-06,168.5084686279297
2016-04-07,165.46311950683594
2016-04-08,161.0159912109375
2016-04-11,164.4480438232422
2016-04-12,168.99183654785156
2016-04-13,174.30909729003906
2016-04-18,170.3453369140625
2016-04-20,166.86495971679688
2016-04-21,161.11265563964844
2016-04-22,161.9344024658203
2016-04-25,160.4359130859375
2016-04-26,166.96160888671875
2016-04-27,163.2395782470703
2016-04-28,164.35134887695312
