Date,AXISBANK.NS
2015-08-03,562.7466430664062
2015-08-04,566.0643920898438
2015-08-05,566.357177734375
2015-08-06,570.6019287109375
2015-08-07,566.259521484375
2015-08-10,561.966064453125
2015-08-11,557.4285888671875
2015-08-12,544.352783203125
2015-08-13,553.818115234375
2015-08-14,556.2088012695312
2015-08-17,547.81689453125
2015-08-18,547.76806640625
2015-08-19,540.5960083007812
2015-08-20,520.494384765625
2015-08-21,512.5902099609375
2015-08-24,470.3868103027344
2015-08-25,490.7811279296875
2015-08-26,483.60894775390625
2015-08-27,496.9286804199219
2015-08-28,495.85528564453125
2015-08-31,495.4649658203125
2015-09-01,468.48394775390625
2015-09-02,455.31060791015625
2015-09-03,475.1194152832031
2015-09-04,456.6767272949219
2015-09-07,438.9658203125
2015-09-08,462.4339599609375
2015-09-09,474.48516845703125
2015-09-10,470.9234924316406
2015-09-11,469.60614013671875
2015-09-14,484.1944274902344
2015-09-15,470.2403869628906
2015-09-16,482.2915954589844
2015-09-18,504.9302673339844
2015-09-21,515.2249755859375
2015-09-22,497.3678283691406
2015-09-23,499.31939697265625
2015-09-24,501.51495361328125
2015-09-28,494.4403991699219
2015-09-29,492.2936096191406
2015-09-30,483.6577453613281
2015-10-01,484.24322509765625
2015-10-05,500.8318786621094
2015-10-06,494.1476135253906
2015-10-07,484.7799072265625
2015-10-08,479.6081237792969
2015-10-09,478.58355712890625
2015-10-12,475.2657775878906
2015-10-13,479.0226135253906
2015-10-14,483.5113525390625
2015-10-15,486.6339111328125
2015-10-16,492.7815246582031
2015-10-19,494.3916015625
2015-10-20,497.0750732421875
2015-10-21,499.3681945800781
2015-10-23,512.931884765625
2015-10-26,508.443115234375
2015-10-27,509.175048828125
2015-10-28,471.2162170410156
2015-10-29,457.603759765625
2015-10-30,463.897705078125
2015-11-02,466.6787109375
2015-11-03,463.16583251953125
2015-11-04,461.0678405761719
2015-11-05,452.5783386230469
2015-11-06,453.8956604003906
2015-11-09,453.7005310058594
2015-11-10,457.01824951171875
2015-11-13,473.21661376953125
2015-11-16,469.8013000488281
2015-11-17,464.0928649902344
2015-11-18,452.3343811035156
2015-11-19,451.8464660644531
2015-11-20,448.7239074707031
2015-11-23,451.5050048828125
2015-11-24,452.6271057128906
2015-11-26,454.04205322265625
2015-11-27,459.6040954589844
2015-11-30,457.3110046386719
2015-12-01,450.43157958984375
2015-12-02,448.38238525390625
2015-12-03,451.30975341796875
2015-12-04,449.358154296875
2015-12-07,451.1146240234375
2015-12-08,447.6993103027344
2015-12-09,439.69769287109375
2015-12-10,439.0634765625
2015-12-11,429.98846435546875
2015-12-14,420.9134521484375
2015-12-15,425.5485534667969
2015-12-16,427.5489196777344
2015-12-17,425.0118713378906
2015-12-18,422.08441162109375
2015-12-21,431.6473083496094
2015-12-22,435.8920593261719
2015-12-23,441.0638427734375
2015-12-24,439.8441162109375
2015-12-28,444.33282470703125
2015-12-29,447.2602233886719
2015-12-30,444.0888366699219
2015-12-31,438.2340087890625
2016-01-01,439.0146179199219
2016-01-04,427.79290771484375
2016-01-05,425.8901062011719
2016-01-06,420.27923583984375
2016-01-07,399.3481750488281
2016-01-08,403.6905212402344
2016-01-11,407.1058349609375
2016-01-12,396.2744445800781
2016-01-13,396.8598937988281
2016-01-14,381.1494140625
2016-01-15,365.19500732421875
2016-01-18,364.1704406738281
2016-01-19,383.4913330078125
2016-01-20,378.2220153808594
2016-01-21,399.25054931640625
2016-01-22,413.8876647949219
2016-01-25,410.6675109863281
2016-01-27,405.3493347167969
2016-01-28,395.8352355957031
2016-01-29,398.5187072753906
2016-02-01,389.638916015625
2016-02-02,381.4421691894531
2016-02-03,371.342529296875
2016-02-04,373.4893798828125
2016-02-05,389.8828430175781
2016-02-08,398.6650695800781
2016-02-09,390.2243957519531
2016-02-10,384.07684326171875
2016-02-11,368.0736083984375
2016-02-12,381.6373291015625
2016-02-15,407.5449523925781
2016-02-16,395.9815979003906
2016-02-17,393.34698486328125
2016-02-18,388.41912841796875
2016-02-19,383.0035095214844
2016-02-22,387.5409240722656
2016-02-23,375.8312683105469
2016-02-24,377.29498291015625
2016-02-25,369.0494689941406
2016-02-26,377.0022277832031
2016-02-29,366.6587219238281
2016-03-01,382.51556396484375
2016-03-02,397.3965759277344
2016-03-03,407.0570068359375
2016-03-04,405.9836120605469
2016-03-08,401.7877197265625
2016-03-09,406.76434326171875
2016-03-10,403.0074768066406
2016-03-11,402.8122863769531
2016-03-14,405.3981628417969
2016-03-15,408.7159118652344
2016-03-16,414.3267822265625
2016-03-17,417.7908630371094
2016-03-18,425.5485534667969
2016-03-21,433.74530029296875
2016-03-22,430.57391357421875
2016-03-23,426.9147033691406
2016-03-28,412.6679382324219
2016-03-29,419.0594482421875
2016-03-30,433.5013427734375
2016-03-31,433.4038391113281
2016-04-01,439.0146179199219
2016-04-04,433.9892272949219
2016-04-05,422.13323974609375
2016-04-06,414.3756103515625
2016-04-07,416.3271789550781
2016-04-08,411.3993835449219
2016-04-11,419.4009094238281
2016-04-12,423.54815673828125
2016-04-13,429.8420715332031
2016-04-18,434.4771728515625
2016-04-20,447.9920349121094
2016-04-21,456.62799072265625
2016-04-22,464.3367919921875
2016-04-25,458.53070068359375
2016-04-26,468.58154296875
2016-04-27,454.2371826171875
2016-04-28,456.72552490234375
2016-04-29,460.9702453613281
2016-05-02,460.3847351074219
2016-05-03,459.1650085449219
2016-05-04,451.2610168457031
2016-05-05,449.8948974609375
2016-05-06,450.2852478027344
2016-05-09,465.5565490722656
2016-05-10,476.1440124511719
