Date,NDA-SE.ST
2015-08-24,87.7442626953125
2015-08-25,92.48084259033203
2015-08-26,91.16773223876953
2015-08-27,94.16913604736328
2015-08-28,94.5443115234375
2015-08-31,93.9815444946289
2015-09-01,91.54289245605469
2015-09-02,92.19947052001953
2015-09-03,93.74706268310547
2015-09-04,91.26152801513672
2015-09-07,91.77738189697266
2015-09-08,93.0436019897461
2015-09-09,93.88775634765625
2015-09-10,93.79396057128906
2015-09-11,93.9815444946289
2015-09-14,91.16773223876953
2015-09-15,91.91808319091797
2015-09-16,92.10566711425781
2015-09-17,92.57463836669922
2015-09-18,90.18289184570312
2015-09-21,91.73048400878906
2015-09-22,89.47944641113281
2015-09-23,88.3070068359375
2015-09-24,85.63388061523438
2015-09-25,88.91668701171875
2015-09-28,87.27528381347656
2015-09-29,86.24354553222656
2015-09-30,87.41596984863281
2015-10-01,88.44770812988281
2015-10-02,89.76080322265625
2015-10-05,91.87118530273438
2015-10-06,92.29326629638672
2015-10-07,91.44910430908203
2015-10-08,91.54289245605469
2015-10-09,91.77738189697266
2015-10-12,91.58980560302734
2015-10-13,89.5732192993164
2015-10-14,88.54149627685547
2015-10-15,90.32359313964844
2015-10-16,91.2146224975586
2015-10-19,92.80911254882812
2015-10-20,93.13740539550781
2015-10-21,88.63528442382812
2015-10-22,90.3704833984375
2015-10-23,92.38704681396484
2015-10-26,91.44910430908203
2015-10-27,90.3704833984375
2015-10-28,89.15116119384766
2015-10-29,88.40081024169922
2015-10-30,88.63528442382812
2015-11-02,90.79255676269531
2015-11-03,90.8863525390625
2015-11-04,91.54289245605469
2015-11-05,89.2918472290039
2015-11-06,89.66702270507812
2015-11-09,89.10426330566406
2015-11-10,88.68219757080078
2015-11-11,89.76080322265625
2015-11-12,88.86978149414062
2015-11-13,88.35391998291016
2015-11-16,88.35391998291016
2015-11-17,90.22976684570312
2015-11-18,90.32359313964844
2015-11-19,90.8863525390625
2015-11-20,89.8546142578125
2015-11-23,89.8546142578125
2015-11-24,88.11943054199219
2015-11-25,88.11943054199219
2015-11-26,90.08909606933594
2015-11-27,90.27668762207031
2015-11-30,90.27668762207031
2015-12-01,90.65186309814453
2015-12-02,91.12081909179688
2015-12-03,88.96357727050781
2015-12-04,88.07254028320312
2015-12-07,88.07254028320312
2015-12-08,86.43113708496094
2015-12-09,85.96217346191406
2015-12-10,85.63388061523438
2015-12-11,83.75801086425781
2015-12-14,83.75801086425781
2015-12-15,86.5249252319336
2015-12-16,86.05595397949219
2015-12-17,86.85320281982422
2015-12-18,85.96217346191406
2015-12-21,85.96217346191406
2015-12-22,85.58697509765625
2015-12-23,87.509765625
2015-12-28,87.509765625
2015-12-29,87.9787368774414
2015-12-30,87.509765625
2016-01-04,84.93042755126953
2016-01-05,85.11801147460938
2016-01-07,85.11801147460938
2016-01-08,83.28904724121094
2016-01-11,83.6642074584961
2016-01-12,84.41455841064453
2016-01-13,85.11801147460938
2016-01-14,83.80490112304688
2016-01-15,81.8352279663086
2016-01-18,80.756591796875
2016-01-19,81.55384063720703
2016-01-20,78.74002838134766
2016-01-21,80.10004425048828
2016-01-22,83.28904724121094
2016-01-25,83.10144805908203
2016-01-26,84.4614486694336
2016-01-27,79.67796325683594
2016-01-28,78.69315338134766
2016-01-29,80.56901550292969
2016-02-01,79.77176666259766
2016-02-02,78.55245208740234
2016-02-03,77.00483703613281
2016-02-04,78.92762756347656
2016-02-05,77.47380828857422
2016-02-08,74.23792266845703
2016-02-09,73.86275482177734
2016-02-10,76.86414337158203
2016-02-11,72.78411865234375
2016-02-12,75.22274017333984
2016-02-15,78.50553894042969
2016-02-16,78.03657531738281
2016-02-17,80.52210998535156
2016-02-18,78.55245208740234
2016-02-19,77.94277954101562
2016-02-22,80.38140869140625
2016-02-23,79.3965835571289
2016-02-24,77.23932647705078
2016-02-25,79.63106536865234
2016-02-26,80.28762817382812
2016-02-29,80.33452606201172
2016-03-01,81.97592163085938
2016-03-02,82.49178314208984
2016-03-03,82.39799499511719
2016-03-04,82.30419921875
2016-03-07,81.60076141357422
2016-03-08,81.60076141357422
2016-03-09,81.88212585449219
2016-03-10,82.16350555419922
2016-03-11,85.16490936279297
2016-03-14,84.74284362792969
2016-03-15,83.6642074584961
2016-03-16,83.42972564697266
2016-03-17,82.30419921875
2016-03-18,78.46818542480469
2016-03-21,77.05094909667969
2016-03-22,76.34233093261719
2016-03-23,75.35025787353516
2016-03-24,73.224365234375
2016-03-29,73.41334533691406
2016-03-30,74.40542602539062
2016-03-31,73.69678497314453
2016-04-01,73.27162170410156
2016-04-04,72.70472717285156
2016-04-05,70.5788345336914
2016-04-06,71.3819580078125
2016-04-07,70.15367126464844
2016-04-08,72.13783264160156
2016-04-11,72.70472717285156
2016-04-12,72.18507385253906
2016-04-13,74.02747344970703
2016-04-14,73.55506134033203
2016-04-15,73.60231018066406
2016-04-18,73.60231018066406
2016-04-19,74.83058166503906
2016-04-20,75.63369750976562
2016-04-21,76.53128814697266
2016-04-22,76.01164245605469
2016-04-25,74.8778305053711
2016-04-26,75.1140365600586
2016-04-27,75.53922271728516
2016-04-28,75.53922271728516
2016-04-29,73.64955139160156
2016-05-02,73.60231018066406
2016-05-03,72.2322998046875
2016-05-04,71.5709228515625
2016-05-06,70.0592041015625
2016-05-09,71.47644805908203
2016-05-10,72.468505859375
2016-05-11,72.27955627441406
2016-05-12,71.42919158935547
2016-05-13,72.0433349609375
2016-05-16,72.51576232910156
2016-05-17,72.468505859375
2016-05-18,73.17713928222656
2016-05-19,72.70472717285156
2016-05-20,73.98023986816406
2016-05-23,73.03540802001953
2016-05-24,74.8778305053711
2016-05-25,77.23990631103516
2016-05-26,77.33438110351562
2016-05-27,77.61783599853516
2016-05-30,77.71232604980469
2016-05-31,76.48404693603516
2016-06-01,76.2950668334961
2016-06-02,76.72024536132812
2016-06-03,75.3030014038086
2016-06-07,76.43679809570312
2016-06-08,75.39749145507812
2016-06-09,74.0747299194336
2016-06-10,72.42127227783203
2016-06-13,70.9095458984375
2016-06-14,69.6340103149414
2016-06-15,71.3819580078125
2016-06-16,69.87023162841797
2016-06-17,72.09059143066406
2016-06-20,74.7361068725586
2016-06-21,73.79127502441406
2016-06-22,74.21646118164062
2016-06-23,69.72850799560547
2016-06-27,64.01228332519531
2016-06-28,65.66573333740234
2016-06-29,67.08297729492188
2016-06-30,66.98849487304688
2016-07-01,67.08297729492188
2016-07-04,66.13814544677734
2016-07-05,64.34297180175781
2016-07-06,63.39813232421875
2016-07-07,64.39022064208984
2016-07-08,66.32711029052734
2016-07-11,67.17745208740234
2016-07-12,68.07505798339844
2016-07-13,67.31917572021484
2016-07-14,68.1695327758789
2016-07-15,68.5947036743164
2016-07-18,69.53954315185547
2016-07-19,69.44505310058594
2016-07-20,71.8543701171875
2016-07-21,71.47644805908203
