Date,DGX
2015-08-03,60.59421920776367
2015-08-04,60.904563903808594
2015-08-05,60.8228874206543
2015-08-06,60.341094970703125
2015-08-07,59.148807525634766
2015-08-10,60.13692855834961
2015-08-11,59.246803283691406
2015-08-12,59.11613845825195
2015-08-13,58.96096420288086
2015-08-14,59.3856315612793
2015-08-17,60.07976150512695
2015-08-18,60.02259826660156
2015-08-19,59.97358703613281
2015-08-20,57.96468734741211
2015-08-21,57.31138610839844
2015-08-24,54.96763229370117
2015-08-25,53.3343620300293
2015-08-26,55.29429244995117
2015-08-27,56.413089752197266
2015-08-28,56.257911682128906
2015-08-31,55.367774963378906
2015-09-01,53.6528434753418
2015-09-02,54.35515213012695
2015-09-03,54.657325744628906
2015-09-04,53.220035552978516
2015-09-08,54.14283752441406
2015-09-09,53.571189880371094
2015-09-10,53.45684814453125
2015-09-11,53.587520599365234
2015-09-14,53.96318054199219
2015-09-15,54.46949005126953
2015-09-16,55.46578598022461
2015-09-17,55.66178512573242
2015-09-18,54.632816314697266
2015-09-21,54.95945739746094
2015-09-22,53.987674713134766
2015-09-23,53.94683074951172
2015-09-24,53.505855560302734
2015-09-25,52.59939956665039
2015-09-28,49.414527893066406
2015-09-29,49.56968307495117
2015-09-30,50.19849395751953
2015-10-01,50.28832244873047
2015-10-02,51.61126708984375
2015-10-05,52.30970764160156
2015-10-06,50.600563049316406
2015-10-07,51.50444412231445
2015-10-08,51.767391204833984
2015-10-09,51.98102951049805
2015-10-12,52.063201904296875
2015-10-13,51.767391204833984
2015-10-14,50.8635139465332
2015-10-15,52.64661407470703
2015-10-16,53.70659637451172
2015-10-19,53.9531364440918
2015-10-20,53.67375183105469
2015-10-21,53.44366455078125
2015-10-22,51.1839714050293
2015-10-23,53.27931213378906
2015-10-26,52.95885467529297
2015-10-27,53.320404052734375
2015-10-28,54.470802307128906
2015-10-29,54.90631103515625
2015-10-30,55.834808349609375
2015-11-02,56.911258697509766
2015-11-03,56.705833435058594
2015-11-04,56.79621887207031
2015-11-05,56.4100341796875
2015-11-06,56.040252685546875
2015-11-09,55.66226577758789
2015-11-10,56.2292366027832
2015-11-11,55.218536376953125
2015-11-12,54.53652572631836
2015-11-13,55.218536376953125
2015-11-16,55.473270416259766
2015-11-17,55.90877914428711
2015-11-18,56.77157974243164
2015-11-19,55.75265121459961
2015-11-20,55.834808349609375
2015-11-23,56.35249710083008
2015-11-24,56.08134460449219
2015-11-25,56.31142044067383
2015-11-27,56.50040054321289
2015-11-30,56.13887405395508
2015-12-01,56.787994384765625
2015-12-02,56.44288635253906
2015-12-03,54.405059814453125
2015-12-04,56.34429168701172
2015-12-07,56.55793762207031
2015-12-08,56.221004486083984
2015-12-09,55.90877914428711
2015-12-10,56.03203582763672
2015-12-11,55.4486198425293
2015-12-14,55.43218994140625
2015-12-15,56.35249710083008
2015-12-16,56.50040054321289
2015-12-17,56.574344635009766
2015-12-18,57.092037200927734
2015-12-21,58.39854431152344
2015-12-22,58.64506149291992
2015-12-23,58.94087600708008
2015-12-24,58.67792892456055
2015-12-28,58.83403015136719
2015-12-29,59.253116607666016
2015-12-30,58.949092864990234
2015-12-31,58.45606994628906
2016-01-04,58.1438102722168
2016-01-05,58.16024398803711
2016-01-06,57.256378173828125
2016-01-07,55.999176025390625
2016-01-08,55.7099494934082
2016-01-11,56.139652252197266
2016-01-12,56.38752365112305
2016-01-13,55.09849166870117
2016-01-14,55.2802848815918
2016-01-15,54.346527099609375
2016-01-19,54.10691452026367
2016-01-20,53.71028137207031
2016-01-21,53.503700256347656
2016-01-22,54.487030029296875
2016-01-25,54.18129348754883
2016-01-26,54.72665786743164
2016-01-27,54.33001708984375
2016-01-28,53.00790786743164
2016-01-29,54.26390075683594
2016-02-01,54.42091751098633
2016-02-02,52.85917663574219
2016-02-03,52.90049743652344
2016-02-04,52.776554107666016
2016-02-05,51.27266311645508
2016-02-08,50.024932861328125
2016-02-09,50.0331916809082
2016-02-10,51.330509185791016
2016-02-11,50.65293884277344
2016-02-12,51.14871597290039
2016-02-16,52.23943328857422
2016-02-17,53.35496520996094
2016-02-18,54.57789993286133
2016-02-19,54.792755126953125
2016-02-22,55.114986419677734
2016-02-23,54.65227127075195
2016-02-24,54.59443664550781
2016-02-25,55.13154602050781
2016-02-26,55.54470443725586
2016-02-29,54.97453308105469
2016-03-01,56.585838317871094
2016-03-02,56.13139343261719
2016-03-03,57.60221481323242
2016-03-04,57.27996063232422
2016-03-07,57.527835845947266
2016-03-08,56.54452896118164
2016-03-09,56.693275451660156
2016-03-10,56.21400833129883
2016-03-11,58.436798095703125
2016-03-14,57.71788024902344
2016-03-15,57.26342010498047
2016-03-16,57.57740783691406
2016-03-17,57.081634521484375
2016-03-18,57.9327507019043
2016-03-21,57.85836410522461
2016-03-22,57.7426872253418
2016-03-23,57.96578598022461
2016-03-24,57.66830825805664
2016-03-28,58.1723518371582
2016-03-29,59.06476974487305
2016-03-30,59.70930099487305
2016-03-31,59.03998947143555
2016-04-01,59.96548080444336
2016-04-04,59.88236999511719
2016-04-05,59.350608825683594
2016-04-06,60.78807067871094
2016-04-07,59.807579040527344
2016-04-08,60.11503601074219
2016-04-11,60.364288330078125
2016-04-12,60.530452728271484
2016-04-13,60.837894439697266
2016-04-14,61.4444580078125
2016-04-15,61.85988235473633
2016-04-18,62.109153747558594
2016-04-19,61.793426513671875
2016-04-20,62.08423614501953
2016-04-21,62.31686782836914
2016-04-22,62.56618118286133
2016-04-25,62.616004943847656
2016-04-26,62.89850616455078
2016-04-27,62.91511154174805
