Date,LUPIN.NS
2015-08-21,1774.201904296875
2015-08-24,1704.1429443359375
2015-08-25,1727.6693115234375
2015-08-26,1710.5205078125
2015-08-27,1795.035400390625
2015-08-28,1758.1871337890625
2015-08-31,1828.765869140625
2015-09-01,1757.8564453125
2015-09-02,1776.6585693359375
2015-09-03,1759.6043701171875
2015-09-04,1757.0062255859375
2015-09-07,1705.3238525390625
2015-09-08,1720.252197265625
2015-09-09,1734.802490234375
2015-09-10,1717.89013671875
2015-09-11,1710.1424560546875
2015-09-14,1738.723388671875
2015-09-15,1734.7080078125
2015-09-16,1743.9200439453125
2015-09-18,1794.090576171875
2015-09-21,1776.6585693359375
2015-09-22,1768.3438720703125
2015-09-23,1816.0107421875
2015-09-24,1880.542724609375
2015-09-28,1921.926025390625
2015-09-29,1904.0687255859375
2015-09-30,1921.784423828125
2015-10-01,1992.505126953125
2015-10-05,1967.7506103515625
2015-10-06,1959.010498046875
2015-10-07,1951.6883544921875
2015-10-08,1931.61083984375
2015-10-09,1942.1927490234375
2015-10-12,1898.919677734375
2015-10-13,1916.351806640625
2015-10-14,1952.822265625
2015-10-15,1983.2928466796875
2015-10-16,1939.6890869140625
2015-10-19,1958.6326904296875
2015-10-20,1961.089599609375
2015-10-21,1949.562255859375
2015-10-23,1964.585205078125
2015-10-26,1938.41357421875
2015-10-27,1838.30859375
2015-10-28,1805.00341796875
2015-10-29,1814.31005859375
2015-10-30,1822.482666015625
2015-11-02,1794.7994384765625
2015-11-03,1771.1314697265625
2015-11-04,1754.6912841796875
2015-11-05,1736.8341064453125
2015-11-06,1755.3525390625
2015-11-09,1765.6038818359375
2015-11-10,1691.6236572265625
2015-11-13,1679.718994140625
2015-11-16,1709.2921142578125
2015-11-17,1700.2220458984375
2015-11-18,1684.67919921875
2015-11-19,1707.8277587890625
2015-11-20,1714.39404296875
2015-11-23,1740.9439697265625
2015-11-24,1758.234130859375
2015-11-26,1734.8497314453125
2015-11-27,1712.6937255859375
2015-11-30,1695.9697265625
2015-12-01,1711.60693359375
2015-12-02,1767.588134765625
2015-12-03,1721.1495361328125
2015-12-04,1705.18212890625
2015-12-07,1730.5980224609375
2015-12-08,1704.803955078125
2015-12-09,1662.8536376953125
2015-12-10,1638.146484375
2015-12-11,1644.146240234375
2015-12-14,1651.421142578125
2015-12-15,1693.9859619140625
2015-12-16,1727.9052734375
2015-12-17,1721.9527587890625
2015-12-18,1685.9547119140625
2015-12-21,1702.3004150390625
2015-12-22,1686.7105712890625
2015-12-23,1705.2293701171875
2015-12-24,1704.379150390625
2015-12-28,1739.384765625
2015-12-29,1744.8648681640625
2015-12-30,1735.1802978515625
2015-12-31,1735.88916015625
2016-01-01,1743.4478759765625
2016-01-04,1696.1119384765625
2016-01-05,1684.67919921875
2016-01-06,1656.476318359375
2016-01-07,1622.74560546875
2016-01-08,1618.35205078125
2016-01-11,1607.108642578125
2016-01-12,1606.3056640625
2016-01-13,1574.228759765625
2016-01-14,1622.74560546875
2016-01-15,1607.25048828125
2016-01-18,1608.6204833984375
2016-01-19,1605.974853515625
2016-01-20,1597.7548828125
2016-01-21,1592.8890380859375
2016-01-22,1626.2886962890625
2016-01-25,1605.3133544921875
2016-01-27,1595.9595947265625
2016-01-28,1612.210693359375
2016-01-29,1616.3681640625
2016-02-01,1608.6204833984375
2016-02-02,1611.6912841796875
2016-02-03,1605.124755859375
2016-02-04,1561.6153564453125
2016-02-05,1703.38671875
2016-02-08,1720.4410400390625
2016-02-09,1800.515625
2016-02-10,1750.7227783203125
2016-02-11,1692.33251953125
2016-02-12,1659.4051513671875
2016-02-15,1699.2296142578125
2016-02-16,1653.8778076171875
2016-02-17,1634.9339599609375
2016-02-18,1678.726806640625
2016-02-19,1690.2537841796875
2016-02-22,1710.6622314453125
2016-02-23,1680.0970458984375
2016-02-24,1664.223876953125
2016-02-25,1662.995361328125
2016-02-26,1631.4854736328125
2016-02-29,1657.75146484375
2016-03-01,1664.3182373046875
2016-03-02,1683.5928955078125
2016-03-03,1685.5770263671875
2016-03-04,1681.986572265625
2016-03-08,1724.0313720703125
2016-03-09,1722.8975830078125
