Date,VAPORES.SN
2015-08-24,14.275408744812012
2015-08-25,13.916170120239258
2015-08-26,15.18205451965332
2015-08-27,16.482152938842773
2015-08-28,16.926921844482422
2015-08-31,16.533470153808594
2015-09-01,16.242664337158203
2015-09-02,16.43938446044922
2015-09-03,16.58479118347168
2015-09-04,16.456491470336914
2015-09-07,16.58479118347168
2015-09-08,16.422277450561523
2015-09-09,16.447938919067383
2015-09-10,16.678874969482422
2015-09-11,17.28615951538086
2015-09-14,17.568416595458984
2015-09-15,17.6282901763916
2015-09-16,17.6282901763916
2015-09-17,17.217731475830078
2015-09-21,17.397354125976562
2015-09-22,17.354585647583008
2015-09-23,16.849943161010742
2015-09-24,17.34602928161621
2015-09-25,17.25194549560547
2015-09-28,17.140750885009766
2015-09-29,17.15785789489746
2015-09-30,17.58552360534668
2015-10-01,17.55986213684082
2015-10-02,17.705270767211914
2015-10-05,17.790803909301758
2015-10-06,18.132930755615234
2015-10-07,18.44084930419922
2015-10-08,18.17569923400879
2015-10-09,18.17569923400879
2015-10-13,18.17569923400879
2015-10-14,17.354585647583008
2015-10-15,16.524919509887695
2015-10-16,16.51636505126953
2015-10-19,16.182785034179688
2015-10-20,16.25121307373047
2015-10-21,16.020273208618164
2015-10-22,16.011722564697266
2015-10-23,16.037378311157227
2015-10-26,15.755123138427734
2015-10-27,15.28469467163086
2015-10-28,15.327460289001465
2015-10-29,14.805709838867188
2015-10-30,14.437921524047852
2015-11-02,14.07012939453125
2015-11-03,14.249747276306152
2015-11-04,14.112895965576172
2015-11-05,13.668126106262207
2015-11-06,13.394421577453613
2015-11-09,12.9410982131958
2015-11-10,13.060845375061035
2015-11-11,12.821351051330566
2015-11-12,12.701606750488281
2015-11-13,12.487772941589355
2015-11-16,12.162750244140625
2015-11-17,12.590413093566895
2015-11-18,12.82990550994873
2015-11-19,12.744372367858887
2015-11-20,12.607519149780273
2015-11-23,12.5733060836792
2015-11-24,12.402240753173828
2015-11-25,12.265388488769531
2015-11-26,12.222622871398926
2015-11-27,12.419346809387207
2015-11-30,12.633180618286133
2015-12-01,12.359475135803223
2015-12-02,11.974578857421875
2015-12-03,11.615341186523438
2015-12-04,11.889044761657715
2015-12-07,11.931811332702637
2015-12-09,11.820619583129883
2015-12-10,11.521254539489746
2015-12-11,11.546915054321289
2015-12-14,11.410061836242676
2015-12-15,11.264656066894531
2015-12-16,11.512701034545898
2015-12-17,11.598234176635742
2015-12-18,11.589680671691895
2015-12-21,11.375849723815918
2015-12-22,11.52980899810791
2015-12-23,11.375849723815918
2015-12-24,11.375849723815918
2015-12-28,11.658105850219727
2015-12-29,11.589680671691895
2015-12-30,11.717979431152344
2015-12-31,11.717979431152344
2016-01-04,11.803513526916504
2016-01-05,12.342367172241211
2016-01-06,12.607519149780273
2016-01-07,12.53054141998291
2016-01-08,12.761479377746582
2016-01-11,12.564752578735352
2016-01-12,12.000237464904785
2016-01-13,11.641000747680664
2016-01-14,11.675213813781738
2016-01-15,11.50414752960205
2016-01-18,11.375849723815918
2016-01-19,11.375849723815918
2016-01-20,11.247550010681152
2016-01-21,11.307421684265137
2016-01-22,11.418614387512207
2016-01-25,11.521254539489746
2016-01-26,11.546915054321289
2016-01-27,11.555468559265137
2016-01-28,11.546915054321289
2016-01-29,11.546915054321289
2016-02-01,11.803513526916504
2016-02-02,11.632448196411133
2016-02-03,11.546915054321289
2016-02-04,11.717979431152344
2016-02-05,11.615341186523438
2016-02-08,11.375849723815918
2016-02-09,11.358742713928223
2016-02-10,11.273210525512695
2016-02-11,11.29031753540039
2016-02-12,11.29031753540039
2016-02-15,11.50414752960205
2016-02-16,11.692319869995117
2016-02-17,11.709426879882812
2016-02-18,11.589680671691895
2016-02-19,11.58112621307373
2016-02-22,11.375849723815918
2016-02-23,11.28176212310791
2016-02-24,11.29031753540039
2016-02-25,11.333083152770996
2016-02-26,11.546915054321289
2016-02-29,11.752191543579102
2016-03-01,11.52980899810791
2016-03-02,11.606785774230957
2016-03-03,11.598234176635742
2016-03-04,11.555468559265137
2016-03-07,11.384403228759766
2016-03-08,11.461380958557129
2016-03-09,11.68376636505127
2016-03-10,11.692319869995117
2016-03-11,11.546915054321289
2016-03-14,11.555468559265137
2016-03-15,11.546915054321289
2016-03-16,11.675213813781738
2016-03-17,11.76930046081543
2016-03-18,11.846277236938477
2016-03-21,11.889044761657715
2016-03-22,11.863386154174805
2016-03-23,11.90615177154541
2016-03-24,11.79495906829834
2016-03-28,11.931811332702637
2016-03-29,11.717979431152344
2016-03-30,11.786406517028809
2016-03-31,11.68376636505127
2016-04-01,11.709426879882812
2016-04-04,11.79495906829834
2016-04-05,11.675213813781738
2016-04-06,11.632448196411133
2016-04-07,11.803513526916504
2016-04-08,11.777852058410645
2016-04-11,11.546915054321289
2016-04-12,11.538360595703125
2016-04-13,11.68376636505127
2016-04-14,11.495594024658203
2016-04-15,11.461380958557129
2016-04-18,11.495594024658203
2016-04-19,11.358742713928223
2016-04-20,11.452828407287598
2016-04-21,11.95747184753418
2016-04-22,11.820619583129883
2016-04-25,11.837725639343262
2016-04-26,11.87193775177002
2016-04-27,11.846277236938477
2016-04-28,11.760746955871582
2016-04-29,11.897599220275879
2016-05-02,12.051556587219238
2016-05-03,11.837725639343262
2016-05-04,11.726532936096191
2016-05-05,11.87193775177002
2016-05-06,11.74363899230957
2016-05-09,11.803513526916504
2016-05-10,11.812066078186035
2016-05-11,11.880492210388184
2016-05-12,11.974578857421875
2016-05-13,11.863386154174805
2016-05-16,11.632448196411133
