Date,RJF
2015-08-03,33.88057327270508
2015-08-04,34.20811462402344
2015-08-05,34.144901275634766
2015-08-06,33.81735610961914
2015-08-07,33.6851806640625
2015-08-10,34.17361831665039
2015-08-11,33.351890563964844
2015-08-12,33.0473518371582
2015-08-13,33.25420379638672
2015-08-14,33.61623764038086
2015-08-17,33.6851806640625
2015-08-18,33.604740142822266
2015-08-19,33.05308532714844
2015-08-20,31.869327545166016
2015-08-21,30.547670364379883
2015-08-24,28.726072311401367
2015-08-25,28.789281845092773
2015-08-26,29.955795288085938
2015-08-27,30.852224349975586
2015-08-28,30.714313507080078
2015-08-31,30.449979782104492
2015-09-01,29.335187911987305
2015-09-02,29.829383850097656
2015-09-03,29.702960968017578
2015-09-04,29.31220817565918
2015-09-08,30.16267204284668
2015-09-09,29.7316837310791
2015-09-10,30.070728302001953
2015-09-11,29.794898986816406
2015-09-14,29.78915023803711
2015-09-15,30.185649871826172
2015-09-16,30.39826011657715
2015-09-17,29.622509002685547
2015-09-18,28.68584442138672
2015-09-21,28.909961700439453
2015-09-22,28.60540199279785
2015-09-23,28.473228454589844
2015-09-24,28.243377685546875
2015-09-25,28.542184829711914
2015-09-28,27.904348373413086
2015-09-29,28.23309898376465
2015-09-30,28.625307083129883
2015-10-01,28.752199172973633
2015-10-02,28.41189956665039
2015-10-05,29.28860092163086
2015-10-06,29.029054641723633
2015-10-07,29.33474349975586
2015-10-08,29.513545989990234
2015-10-09,29.513545989990234
2015-10-12,29.623132705688477
2015-10-13,29.41550064086914
2015-10-14,28.977140426635742
2015-10-15,29.969196319580078
2015-10-16,30.113388061523438
2015-10-19,29.928823471069336
2015-10-20,30.06724739074707
2015-10-21,29.54238510131836
2015-10-22,30.372943878173828
2015-10-23,30.78244972229004
2015-10-26,31.053531646728516
2015-10-27,30.932403564453125
2015-10-28,32.32244873046875
2015-10-29,32.103248596191406
2015-10-30,31.786027908325195
2015-11-02,32.4493293762207
2015-11-03,32.564674377441406
2015-11-04,32.628116607666016
2015-11-05,32.76655960083008
2015-11-06,33.63172149658203
2015-11-09,33.268333435058594
2015-11-10,33.262569427490234
2015-11-11,33.27412033081055
2015-11-12,32.7550163269043
2015-11-13,32.408958435058594
2015-11-16,32.72618103027344
2015-11-17,32.65119552612305
2015-11-18,33.04917526245117
2015-11-19,32.85306930541992
2015-11-20,33.187591552734375
2015-11-23,33.14145278930664
2015-11-24,33.499061584472656
2015-11-25,33.59711837768555
2015-11-27,33.69515609741211
2015-11-30,33.87395477294922
2015-12-01,34.006629943847656
2015-12-02,33.82204818725586
2015-12-03,33.499061584472656
2015-12-04,34.21424865722656
2015-12-07,34.1161994934082
2015-12-08,34.03544616699219
2015-12-09,33.15876007080078
2015-12-10,33.424076080322266
2015-12-11,32.65119552612305
2015-12-14,32.48393249511719
2015-12-15,33.475982666015625
2015-12-16,33.98353576660156
2015-12-17,34.006629943847656
2015-12-18,33.510581970214844
2015-12-21,34.08736038208008
2015-12-22,34.17388153076172
2015-12-23,33.741302490234375
2015-12-24,33.568260192871094
2015-12-28,33.706695556640625
2015-12-29,34.11043167114258
2015-12-30,33.82107162475586
2015-12-31,33.54905700683594
2016-01-04,32.605735778808594
2016-01-05,32.675174713134766
2016-01-06,31.40196418762207
2016-01-07,30.10561180114746
2016-01-08,29.41692352294922
2016-01-11,29.671560287475586
2016-01-12,29.341684341430664
2016-01-13,28.08005142211914
2016-01-14,28.58354949951172
2016-01-15,27.918006896972656
2016-01-19,28.004817962646484
2016-01-20,27.35663604736328
2016-01-21,25.863513946533203
2016-01-22,26.30913734436035
2016-01-25,24.769712448120117
2016-01-26,24.983842849731445
2016-01-27,25.145891189575195
2016-01-28,24.72340965270996
2016-01-29,25.35422706604004
2016-02-01,25.608869552612305
2016-02-02,24.248849868774414
2016-02-03,24.133098602294922
2016-02-04,25.04171371459961
2016-02-05,25.116945266723633
2016-02-08,24.271997451782227
2016-02-09,24.538211822509766
2016-02-10,24.219913482666016
2016-02-11,23.398115158081055
2016-02-12,23.727989196777344
2016-02-16,24.43404769897461
2016-02-17,25.064861297607422
2016-02-18,25.012779235839844
2016-02-19,25.388954162597656
2016-02-22,25.603078842163086
2016-02-23,25.140094757080078
2016-02-24,24.839157104492188
2016-02-25,25.522062301635742
2016-02-26,26.019771575927734
2016-02-29,25.37159538269043
2016-03-01,26.48853874206543
2016-03-02,26.69110107421875
2016-03-03,26.806840896606445
2016-03-04,26.772119522094727
2016-03-07,26.8820743560791
2016-03-08,26.274415969848633
2016-03-09,26.326494216918945
2016-03-10,26.33228874206543
2016-03-11,27.460811614990234
2016-03-14,27.345062255859375
2016-03-15,26.818416595458984
2016-03-16,26.783693313598633
2016-03-17,27.316129684448242
2016-03-18,27.81383514404297
2016-03-21,27.918006896972656
2016-03-22,27.8427791595459
2016-03-23,27.41451072692871
2016-03-24,27.14250373840332
2016-03-28,27.22931671142578
2016-03-29,27.62285614013672
2016-03-30,27.750707626342773
2016-03-31,27.669343948364258
2016-04-01,27.773958206176758
2016-04-04,27.454315185546875
2016-04-05,26.74529266357422
2016-04-06,27.41363525390625
2016-04-07,25.850299835205078
2016-04-08,25.93746566772461
2016-04-11,26.216428756713867
2016-04-12,26.86733627319336
2016-04-13,28.163341522216797
2016-04-14,28.157527923583984
2016-04-15,27.680967330932617
2016-04-18,27.680967330932617
2016-04-19,28.07616424560547
2016-04-20,28.45391845703125
2016-04-21,30.92969512939453
2016-04-22,31.33650779724121
2016-04-25,31.092418670654297
2016-04-26,31.435302734375
2016-04-27,31.307445526123047
