Date,HEROMOTOCO.NS
2015-08-21,1883.420166015625
2015-08-24,1822.6065673828125
2015-08-25,1816.672607421875
2015-08-26,1763.7462158203125
2015-08-27,1752.7625732421875
2015-08-28,1768.0950927734375
2015-08-31,1767.062744140625
2015-09-01,1757.2222900390625
2015-09-02,1723.940673828125
2015-09-03,1711.888916015625
2015-09-04,1688.66845703125
2015-09-07,1681.11328125
2015-09-08,1705.143798828125
2015-09-09,1728.0684814453125
2015-09-10,1731.23828125
2015-09-11,1727.1470947265625
2015-09-14,1731.9017333984375
2015-09-15,1703.190185546875
2015-09-16,1745.796875
2015-09-18,1790.1351318359375
2015-09-21,1786.596923828125
2015-09-22,1760.9814453125
2015-09-23,1769.826904296875
2015-09-24,1755.6373291015625
2015-09-28,1731.9017333984375
2015-09-29,1716.974853515625
2015-09-30,1765.07275390625
2015-10-01,1778.0096435546875
2015-10-05,1844.3154296875
2015-10-06,1866.6868896484375
2015-10-07,1872.8795166015625
2015-10-08,1873.5057373046875
2015-10-09,1890.6441650390625
2015-10-12,1881.872314453125
2015-10-13,1871.4046630859375
2015-10-14,1842.8404541015625
2015-10-15,1890.05419921875
2015-10-16,1904.760009765625
2015-10-19,1925.436767578125
2015-10-20,1921.1243896484375
2015-10-21,1933.3609619140625
2015-10-23,1913.642822265625
2015-10-26,1931.7021484375
2015-10-27,1931.3704833984375
2015-10-28,1935.7567138671875
2015-10-29,1936.198974609375
2015-10-30,1902.8433837890625
2015-11-02,1876.6380615234375
2015-11-03,1903.8385009765625
2015-11-04,1932.071044921875
2015-11-05,1945.0819091796875
2015-11-06,1945.9296875
2015-11-09,1926.947998046875
2015-11-10,1963.509765625
2015-11-13,1927.906005859375
2015-11-16,1925.1788330078125
2015-11-17,1915.04296875
2015-11-18,1898.0152587890625
2015-11-19,1908.9619140625
2015-11-20,1889.16943359375
2015-11-23,1943.5704345703125
2015-11-24,1949.983642578125
2015-11-26,1981.938232421875
2015-11-27,1993.5478515625
2015-11-30,1989.6409912109375
2015-12-01,1974.3460693359375
2015-12-02,1972.907958984375
2015-12-03,1929.6759033203125
2015-12-04,1929.6759033203125
2015-12-07,1933.545166015625
2015-12-08,1917.954833984375
2015-12-09,1877.0440673828125
2015-12-10,1878.481201171875
2015-12-11,1861.3795166015625
2015-12-14,1869.1934814453125
2015-12-15,1892.8184814453125
2015-12-16,1913.1632080078125
2015-12-17,1957.059814453125
2015-12-18,1948.36181640625
2015-12-21,1988.7568359375
2015-12-22,1968.4114990234375
2015-12-23,1974.198974609375
2015-12-24,1987.6141357421875
2015-12-28,1997.1971435546875
2015-12-29,2013.78271484375
2015-12-30,1999.81396484375
2015-12-31,1985.9188232421875
2016-01-01,1979.985107421875
2016-01-04,1944.4185791015625
2016-01-05,1928.975341796875
2016-01-06,1900.485107421875
2016-01-07,1857.6573486328125
2016-01-08,1835.2119140625
2016-01-11,1846.858154296875
2016-01-12,1818.6627197265625
2016-01-13,1823.4537353515625
2016-01-14,1796.806884765625
2016-01-15,1789.58251953125
2016-01-18,1795.332275390625
2016-01-19,1830.162109375
2016-01-20,1834.363525390625
2016-01-21,1820.6527099609375
2016-01-22,1910.2886962890625
2016-01-25,1861.4163818359375
2016-01-27,1829.9036865234375
2016-01-28,1798.3175048828125
2016-01-29,1891.2335205078125
2016-02-01,1869.082763671875
2016-02-02,1856.3302001953125
2016-02-03,1831.6732177734375
2016-02-04,1853.0133056640625
2016-02-05,1905.3133544921875
2016-02-08,1893.18701171875
2016-02-09,1902.806884765625
2016-02-10,1883.8255615234375
2016-02-11,1840.5555419921875
2016-02-12,1834.916259765625
2016-02-15,1848.2586669921875
2016-02-16,1852.0548095703125
2016-02-17,1860.9371337890625
2016-02-18,1929.63818359375
2016-02-19,1994.83837890625
2016-02-22,1992.147705078125
2016-02-23,1961.63037109375
2016-02-24,1932.2183837890625
2016-02-25,1932.2923583984375
2016-02-26,1883.6783447265625
2016-02-29,1842.7666015625
2016-03-01,1966.1270751953125
2016-03-02,2068.920166015625
2016-03-03,2083.14697265625
2016-03-04,2090.40771484375
2016-03-08,2071.021240234375
2016-03-09,2076.14453125
2016-03-10,2073.1220703125
2016-03-11,2073.82275390625
2016-03-14,2075.99658203125
2016-03-15,2073.601318359375
2016-03-16,2062.728759765625
2016-03-17,2079.53515625
2016-03-18,2086.832763671875
2016-03-21,2093.26318359375
2016-03-22,2139.5458984375
2016-03-23,2146.948486328125
2016-03-28,2129.4521484375
2016-03-29,2136.069091796875
2016-03-30,2186.127685546875
2016-03-31,2202.502197265625
2016-04-01,2206.502197265625
2016-04-04,2230.914306640625
2016-04-05,2215.662109375
2016-04-06,2236.56005859375
2016-04-07,2219.17578125
2016-04-08,2180.07080078125
2016-04-11,2225.568603515625
2016-04-12,2281.571533203125
2016-04-13,2353.800048828125
2016-04-18,2283.851806640625
2016-04-20,2272.337646484375
2016-04-21,2232.858642578125
2016-04-22,2240.896728515625
2016-04-25,2214.540283203125
2016-04-26,2192.146728515625
2016-04-27,2205.642578125
2016-04-28,2168.070556640625
2016-04-29,2166.38818359375
2016-05-02,2171.5849609375
2016-05-03,2157.453369140625
2016-05-04,2164.182373046875
2016-05-05,2163.65869140625
2016-05-06,2161.079833984375
2016-05-09,2200.96923828125
2016-05-10,2211.54931640625
2016-05-11,2214.353271484375
2016-05-12,2206.46484375
2016-05-13,2177.75341796875
2016-05-16,2168.78076171875
2016-05-17,2192.594970703125
2016-05-18,2152.21923828125
2016-05-19,2161.8271484375
2016-05-20,2165.86474609375
2016-05-23,2159.023193359375
