Date,SUNTV.NS
2015-08-21,259.189453125
2015-08-24,228.9423828125
2015-08-25,247.11358642578125
2015-08-26,249.68212890625
2015-08-27,260.99114990234375
2015-08-28,256.58258056640625
2015-08-31,262.8313293457031
2015-09-01,265.4765319824219
2015-09-02,285.06622314453125
2015-09-03,285.67962646484375
2015-09-04,297.21868896484375
2015-09-07,283.37939453125
2015-09-08,288.4781799316406
2015-09-09,284.2228088378906
2015-09-10,264.01983642578125
2015-09-11,262.0646667480469
2015-09-14,264.17303466796875
2015-09-15,262.5629577636719
2015-09-16,264.2497863769531
2015-09-18,266.8565673828125
2015-09-21,272.8753356933594
2015-09-22,276.5172424316406
2015-09-23,280.5808410644531
2015-09-24,288.4014587402344
2015-09-28,273.75714111328125
2015-09-29,274.44708251953125
2015-09-30,275.4438781738281
2015-10-01,280.9643249511719
2015-10-05,280.8876647949219
2015-10-06,274.40887451171875
2015-10-07,270.0002136230469
2015-10-08,273.1437683105469
2015-10-09,270.3451843261719
2015-10-12,271.7635803222656
2015-10-13,280.8109436035156
2015-10-14,276.2106628417969
2015-10-15,282.689453125
2015-10-16,282.91943359375
2015-10-19,285.4112243652344
2015-10-20,288.4014587402344
2015-10-21,295.4935607910156
2015-10-23,289.3982238769531
2015-10-26,292.77166748046875
2015-10-27,295.3402099609375
2015-10-28,291.7750549316406
2015-10-29,289.05316162109375
2015-10-30,304.2724914550781
2015-11-02,296.7204284667969
2015-11-03,293.11676025390625
2015-11-04,294.420166015625
2015-11-05,293.0783996582031
2015-11-06,278.9707336425781
2015-11-09,285.296142578125
2015-11-10,284.2611083984375
2015-11-13,288.133056640625
2015-11-16,291.046630859375
2015-11-17,294.6118469238281
2015-11-18,287.979736328125
2015-11-19,292.35003662109375
2015-11-20,292.15838623046875
2015-11-23,294.65020751953125
2015-11-24,293.3083801269531
2015-11-26,298.8671569824219
2015-11-27,302.35577392578125
2015-11-30,309.1795349121094
2015-12-01,306.6876525878906
2015-12-02,306.6109924316406
2015-12-03,303.12237548828125
2015-12-04,300.63055419921875
2015-12-07,290.2415771484375
2015-12-08,293.6918640136719
2015-12-09,289.20648193359375
2015-12-10,296.6820068359375
2015-12-11,291.1233215332031
2015-12-14,291.42999267578125
2015-12-15,293.65350341796875
2015-12-16,298.7520751953125
2015-12-17,303.1607971191406
2015-12-18,297.1804504394531
2015-12-21,295.3785705566406
2015-12-22,297.2570495605469
2015-12-23,301.7806701660156
2015-12-24,317.34503173828125
2015-12-28,320.22021484375
2015-12-29,317.4600524902344
2015-12-30,317.38348388671875
2015-12-31,326.9290466308594
2016-01-01,330.4176330566406
2016-01-04,322.9421691894531
2016-01-05,326.58416748046875
2016-01-06,323.32550048828125
2016-01-07,314.1632385253906
2016-01-08,324.97393798828125
2016-01-11,312.4764709472656
2016-01-12,316.6550598144531
2016-01-13,309.7928771972656
