Date,SEM.LS
2015-08-24,7.888754844665527
2015-08-25,8.041481018066406
2015-08-26,7.988495826721191
2015-08-27,8.053948402404785
2015-08-28,7.9417405128479
2015-08-31,8.100702285766602
2015-09-01,7.7204461097717285
2015-09-02,7.492913722991943
2015-09-03,7.748497009277344
2015-09-04,7.729794025421143
2015-09-07,7.736028671264648
2015-09-08,7.9542083740234375
2015-09-09,7.910572528839111
2015-09-10,7.785897731781006
2015-09-11,7.676807403564453
2015-09-14,7.517849445343018
2015-09-15,7.433695316314697
2015-09-16,7.471096515655518
2015-09-17,7.461745738983154
2015-09-18,7.362006187438965
2015-09-21,7.386940956115723
2015-09-22,6.966167449951172
2015-09-23,7.190580368041992
2015-09-24,7.171879768371582
2015-09-25,7.296553611755371
2015-09-28,7.09707498550415
2015-09-29,7.006686210632324
2015-09-30,7.221749305725098
2015-10-01,7.093957901000977
2015-10-02,7.162527561187744
2015-10-05,7.355772972106934
2015-10-06,7.474215030670166
2015-10-07,7.430577278137207
2015-10-08,7.333954811096191
2015-10-09,7.411877632141113
2015-10-12,7.477331638336182
2015-10-13,7.349539756774902
2015-10-14,7.2560343742370605
2015-10-15,7.4866814613342285
2015-10-16,7.452394962310791
2015-10-19,7.405643463134766
2015-10-20,7.436811923980713
2015-10-21,7.4149932861328125
2015-10-22,7.549016952514648
2015-10-23,7.630056858062744
2015-10-26,7.879404067993164
2015-10-27,7.894989490509033
2015-10-28,7.898105621337891
2015-10-29,8.000961303710938
2015-10-30,8.022778511047363
2015-11-02,8.03213119506836
2015-11-03,8.212907791137695
2015-11-04,8.191089630126953
2015-11-05,8.128752708435059
2015-11-06,8.2471923828125
2015-11-09,7.804600238800049
2015-11-10,7.770315647125244
2015-11-11,8.03213119506836
2015-11-12,7.9323906898498535
2015-11-13,8.007195472717285
2015-11-16,8.069533348083496
2015-11-17,8.029013633728027
2015-11-18,8.100702285766602
2015-11-19,8.128752708435059
2015-11-20,8.060181617736816
2015-11-23,7.979143142700195
2015-11-24,8.041481018066406
2015-11-25,8.03213119506836
2015-11-26,8.134986877441406
2015-11-27,8.113166809082031
2015-11-30,8.284594535827637
2015-12-01,8.290828704833984
2015-12-02,8.2939453125
2015-12-03,8.156804084777832
2015-12-04,8.078883171081543
2015-12-07,8.075767517089844
2015-12-08,7.960443496704102
2015-12-09,7.929274559020996
2015-12-10,7.894989490509033
2015-12-11,7.8856377601623535
2015-12-14,7.835769176483154
2015-12-15,8.044597625732422
2015-12-16,8.166155815124512
2015-12-17,8.191089630126953
2015-12-18,8.378101348876953
2015-12-21,8.228490829467773
2015-12-22,8.125636100769043
