Date,BRBY.L
2015-08-24,1337.8018798828125
2015-08-25,1388.6802978515625
2015-08-26,1343.787109375
2015-08-27,1398.6563720703125
2015-08-28,1407.634765625
2015-09-01,1337.8018798828125
2015-09-02,1347.7779541015625
2015-09-03,1389.677734375
2015-09-04,1339.7972412109375
2015-09-07,1356.7564697265625
2015-09-08,1376.7086181640625
2015-09-09,1394.6658935546875
2015-09-10,1384.689697265625
2015-09-11,1372.71826171875
2015-09-14,1370.7230224609375
2015-09-15,1401.649169921875
2015-09-16,1411.625244140625
2015-09-17,1390.67529296875
2015-09-18,1374.713623046875
2015-09-21,1357.754150390625
2015-09-22,1327.825439453125
2015-09-23,1339.7972412109375
2015-09-24,1329.8206787109375
2015-09-25,1371.720947265625
2015-09-28,1331.81591796875
2015-09-29,1312.8612060546875
2015-09-30,1364.7374267578125
2015-10-01,1347.7779541015625
2015-10-02,1356.7564697265625
2015-10-05,1402.6468505859375
2015-10-06,1431.5777587890625
2015-10-07,1451.52978515625
2015-10-08,1488.441650390625
2015-10-09,1500.4132080078125
2015-10-12,1471.482177734375
2015-10-13,1426.5897216796875
2015-10-14,1415.615966796875
2015-10-15,1298.894775390625
2015-10-16,1273.954345703125
2015-10-19,1259.9879150390625
2015-10-20,1266.97119140625
2015-10-21,1263.978515625
2015-10-22,1295.90185546875
2015-10-23,1347.7779541015625
2015-10-26,1320.842529296875
2015-10-27,1302.8848876953125
2015-10-28,1323.8350830078125
2015-10-29,1322.83740234375
2015-10-30,1324.832763671875
2015-11-02,1331.81591796875
2015-11-03,1340.794677734375
2015-11-04,1371.720947265625
2015-11-05,1381.6968994140625
2015-11-06,1371.720947265625
2015-11-09,1370.7230224609375
2015-11-10,1315.8544921875
2015-11-11,1331.81591796875
2015-11-12,1309.8685302734375
2015-11-13,1264.9757080078125
2015-11-16,1250.01171875
2015-11-17,1272.9566650390625
2015-11-18,1278.9422607421875
2015-11-19,1275.9495849609375
2015-11-20,1277.94482421875
2015-11-23,1254.9993896484375
2015-11-24,1192.1500244140625
2015-11-25,1208.112060546875
2015-11-26,1239.037841796875
2015-11-27,1242.0306396484375
2015-11-30,1242.0306396484375
2015-12-01,1244.02587890625
2015-12-02,1234.0499267578125
2015-12-03,1196.1407470703125
2015-12-04,1199.1334228515625
2015-12-07,1213.0999755859375
2015-12-08,1196.1407470703125
2015-12-09,1178.1832275390625
2015-12-10,1171.199951171875
2015-12-11,1137.2813720703125
2015-12-14,1116.331298828125
2015-12-15,1154.240478515625
2015-12-16,1180.1787109375
2015-12-17,1198.1358642578125
2015-12-18,1185.166748046875
2015-12-21,1189.1571044921875
2015-12-22,1194.1453857421875
2015-12-23,1208.112060546875
2015-12-24,1206.21826171875
2015-12-29,1222.1812744140625
2015-12-30,1207.2156982421875
2015-12-31,1192.250244140625
2016-01-04,1137.376953125
2016-01-05,1118.42041015625
2016-01-06,1095.4735107421875
2016-01-07,1075.519775390625
2016-01-08,1092.4805908203125
2016-01-11,1081.505859375
2016-01-12,1100.4620361328125
2016-01-13,1109.4412841796875
2016-01-14,1118.42041015625
2016-01-15,1117.4229736328125
2016-01-18,1118.42041015625
2016-01-19,1136.379638671875
2016-01-20,1117.4229736328125
2016-01-21,1150.3472900390625
2016-01-22,1178.2825927734375
2016-01-25,1175.2894287109375
2016-01-26,1208.2135009765625
2016-01-27,1187.261962890625
2016-01-28,1157.3310546875
2016-01-29,1192.250244140625
2016-02-01,1186.2642822265625
2016-02-02,1165.312744140625
2016-02-03,1162.319580078125
2016-02-04,1182.2730712890625
2016-02-05,1215.197509765625
2016-02-08,1197.23876953125
2016-02-09,1169.3033447265625
2016-02-10,1160.3240966796875
2016-02-11,1106.4482421875
2016-02-12,1171.298583984375
2016-02-15,1206.21826171875
2016-02-16,1209.211181640625
2016-02-17,1286.0340576171875
2016-02-18,1274.0616455078125
2016-02-19,1267.0780029296875
2016-02-22,1286.0340576171875
2016-02-23,1231.1605224609375
2016-02-24,1177.28515625
2016-02-25,1177.28515625
2016-02-26,1266.0802001953125
2016-02-29,1316.962646484375
2016-03-01,1348.8892822265625
2016-03-02,1356.870849609375
2016-03-03,1360.861328125
2016-03-04,1376.82470703125
2016-03-07,1367.845458984375
2016-03-08,1458.6357421875
2016-03-09,1360.861328125
2016-03-10,1345.89599609375
2016-03-11,1374.8291015625
2016-03-14,1394.783203125
2016-03-15,1356.870849609375
2016-03-16,1346.893798828125
2016-03-17,1332.92626953125
2016-03-18,1350.884521484375
2016-03-21,1340.9075927734375
2016-03-22,1341.9052734375
2016-03-23,1363.8548583984375
2016-03-24,1316.962646484375
2016-03-29,1315.9652099609375
2016-03-30,1366.8477783203125
2016-03-31,1361.859375
2016-04-01,1323.946533203125
2016-04-04,1306.98583984375
2016-04-05,1276.0572509765625
2016-04-06,1288.0296630859375
2016-04-07,1290.02490234375
2016-04-08,1293.0179443359375
2016-04-11,1294.0155029296875
2016-04-12,1298.0064697265625
2016-04-13,1341.9052734375
2016-04-14,1293.0179443359375
2016-04-15,1270.07080078125
2016-04-18,1275.0594482421875
2016-04-19,1289.02734375
2016-04-20,1280.0478515625
2016-04-21,1261.0916748046875
2016-04-22,1245.12841796875
2016-04-25,1231.1605224609375
2016-04-26,1207.2156982421875
2016-04-27,1207.2156982421875
2016-04-28,1210.2093505859375
2016-04-29,1186.2642822265625
2016-05-03,1182.2730712890625
2016-05-04,1176.2869873046875
2016-05-05,1175.2894287109375
2016-05-06,1192.250244140625
2016-05-09,1173.2939453125
2016-05-10,1181.27587890625
2016-05-11,1166.3099365234375
2016-05-12,1137.376953125
2016-05-13,1136.379638671875
2016-05-16,1140.3701171875
2016-05-17,1140.3701171875
2016-05-18,1109.4412841796875
2016-05-19,1076.517333984375
2016-05-20,1092.4805908203125
2016-05-23,1090.4852294921875
2016-05-24,1096.4715576171875
2016-05-25,1083.50146484375
2016-05-26,1079.510498046875
2016-05-27,1094.475830078125
2016-05-31,1071.529052734375
2016-06-01,1067.5379638671875
2016-06-02,1072.5267333984375
2016-06-03,1067.5379638671875
2016-06-06,1076.517333984375
2016-06-07,1099.4644775390625
2016-06-08,1108.443603515625
2016-06-09,1087.4921875
2016-06-10,1065.542724609375
2016-06-13,1048.5816650390625
2016-06-14,1038.604736328125
2016-06-15,1059.556396484375
2016-06-16,1066.5404052734375
2016-06-17,1085.4969482421875
2016-06-20,1114.4300537109375
2016-06-21,1121.4139404296875
2016-06-22,1130.3931884765625
2016-06-23,1106.4482421875
2016-06-24,1123.409423828125
2016-06-27,1058.5587158203125
2016-06-28,1097.4688720703125
2016-06-29,1164.31494140625
2016-06-30,1157.3310546875
2016-07-01,1163.3170166015625
2016-07-04,1145.3587646484375
2016-07-05,1157.3310546875
2016-07-06,1166.3099365234375
2016-07-07,1158.59423828125
2016-07-08,1159.59228515625
2016-07-11,1208.4906005859375
2016-07-12,1200.50732421875
2016-07-13,1276.3499755859375
2016-07-14,1247.409912109375
2016-07-15,1259.385009765625
2016-07-18,1263.3768310546875
2016-07-19,1278.345458984375
2016-07-20,1289.3226318359375
2016-07-21,1309.28125
2016-07-22,1296.3082275390625
2016-07-25,1316.2667236328125
2016-07-26,1313.27294921875
2016-07-27,1341.215087890625
2016-07-28,1317.2650146484375
2016-07-29,1317.2650146484375
2016-08-01,1301.2979736328125
2016-08-02,1285.3311767578125
2016-08-03,1290.3209228515625
2016-08-04,1295.310302734375
2016-08-05,1313.27294921875
2016-08-08,1305.28955078125
2016-08-09,1314.2711181640625
2016-08-10,1323.2525634765625
2016-08-11,1332.233642578125
2016-08-12,1353.18994140625
2016-08-15,1361.1737060546875
2016-08-16,1363.1695556640625
2016-08-17,1355.1861572265625
2016-08-18,1364.1676025390625
2016-08-19,1358.179931640625
2016-08-22,1341.215087890625
2016-08-23,1366.163330078125
2016-08-24,1350.1964111328125
2016-08-25,1330.238037109375
2016-08-26,1317.2650146484375
2016-08-30,1304.291748046875
2016-08-31,1301.2979736328125
2016-09-01,1293.314453125
2016-09-02,1324.2501220703125
2016-09-05,1313.27294921875
2016-09-06,1304.291748046875
2016-09-07,1313.27294921875
2016-09-08,1282.337158203125
2016-09-09,1250.4036865234375
2016-09-12,1259.385009765625
2016-09-13,1271.3599853515625
2016-09-14,1244.4158935546875
2016-09-15,1258.386962890625
2016-09-16,1298.3043212890625
2016-09-19,1328.2420654296875
2016-09-20,1376.1427001953125
2016-09-21,1365.165283203125
2016-09-22,1401.0909423828125
2016-09-23,1398.096923828125
2016-09-26,1406.0804443359375
2016-09-27,1400.0926513671875
2016-09-28,1384.1260986328125
2016-09-29,1350.1964111328125
2016-09-30,1376.1427001953125
2016-10-03,1394.105224609375
2016-10-04,1417.0574951171875
2016-10-05,1433.0244140625
2016-10-06,1422.0472412109375
2016-10-07,1460.96630859375
2016-10-10,1475.9351806640625
2016-10-11,1512.8585205078125
2016-10-12,1512.8585205078125
2016-10-13,1496.8917236328125
2016-10-14,1526.8297119140625
2016-10-17,1508.8670654296875
2016-10-18,1400.0926513671875
2016-10-19,1458.9705810546875
2016-10-20,1446.9952392578125
2016-10-21,1491.9019775390625
2016-10-24,1459.96875
2016-10-25,1456.974609375
2016-10-26,1470.9456787109375
2016-10-27,1464.9581298828125
2016-10-28,1467.9517822265625
2016-10-31,1471.9437255859375
2016-11-01,1467.9517822265625
2016-11-02,1451.9852294921875
2016-11-03,1417.0574951171875
2016-11-04,1412.068115234375
2016-11-07,1466.9539794921875
2016-11-08,1477.9310302734375
2016-11-09,1447.9932861328125
2016-11-10,1438.01416015625
2016-11-11,1392.109375
2016-11-14,1398.096923828125
2016-11-15,1410.072021484375
2016-11-16,1380.13427734375
2016-11-17,1397.0989990234375
2016-11-18,1398.096923828125
2016-11-21,1412.068115234375
2016-11-22,1425.041259765625
2016-11-23,1424.04296875
2016-11-24,1427.036865234375
2016-11-25,1433.0244140625
2016-11-28,1405.0823974609375
2016-11-29,1405.0823974609375
2016-11-30,1426.0389404296875
2016-12-01,1407.078369140625
2016-12-02,1409.07421875
2016-12-05,1435.020263671875
2016-12-06,1436.0181884765625
2016-12-07,1474.9373779296875
2016-12-08,1476.9332275390625
2016-12-09,1470.9456787109375
2016-12-12,1442.005859375
2016-12-13,1470.9456787109375
2016-12-14,1456.974609375
2016-12-15,1450.987060546875
2016-12-16,1485.9144287109375
2016-12-19,1470.9456787109375
2016-12-20,1469.9478759765625
2016-12-21,1467.9517822265625
2016-12-22,1469.0548095703125
2016-12-23,1460.0726318359375
2016-12-28,1482.0286865234375
2016-12-29,1481.03076171875
2016-12-30,1494.0045166015625
2017-01-03,1496.99853515625
2017-01-04,1466.060791015625
2017-01-05,1447.0986328125
2017-01-06,1470.0526123046875
2017-01-09,1497.9967041015625
2017-01-10,1529.9324951171875
2017-01-11,1557.8768310546875
2017-01-12,1571.8486328125
2017-01-13,1607.776611328125
2017-01-16,1633.7247314453125
2017-01-17,1589.8123779296875
2017-01-18,1646.6986083984375
2017-01-19,1661.66845703125
2017-01-20,1648.6947021484375
2017-01-23,1648.6947021484375
2017-01-24,1649.6923828125
2017-01-25,1662.6666259765625
2017-01-26,1662.6666259765625
2017-01-27,1645.700439453125
2017-01-30,1622.7467041015625
2017-01-31,1636.7186279296875
2017-02-01,1635.7205810546875
2017-02-02,1633.7247314453125
2017-02-03,1638.71435546875
2017-02-06,1612.7664794921875
2017-02-07,1618.7545166015625
2017-02-08,1607.776611328125
2017-02-09,1620.7503662109375
2017-02-10,1628.7347412109375
2017-02-13,1633.7247314453125
2017-02-14,1626.738525390625
2017-02-15,1638.71435546875
2017-02-16,1640.7103271484375
2017-02-17,1656.6785888671875
2017-02-20,1667.6563720703125
2017-02-21,1661.66845703125
2017-02-22,1652.6866455078125
2017-02-23,1656.6785888671875
2017-02-24,1657.6763916015625
2017-02-27,1661.66845703125
2017-02-28,1722.546630859375
2017-03-01,1768.4544677734375
2017-03-02,1764.462646484375
2017-03-03,1748.4945068359375
2017-03-06,1756.4786376953125
2017-03-07,1759.47265625
2017-03-08,1771.4483642578125
2017-03-09,1784.4224853515625
2017-03-10,1800.390625
2017-03-13,1813.3642578125
2017-03-14,1785.4202880859375
2017-03-15,1781.4285888671875
2017-03-16,1787.41650390625
2017-03-17,1781.4285888671875
2017-03-20,1781.4285888671875
2017-03-21,1753.4844970703125
2017-03-22,1744.50244140625
2017-03-23,1764.462646484375
2017-03-24,1758.4744873046875
2017-03-27,1734.5224609375
2017-03-28,1731.5284423828125
2017-03-29,1741.5084228515625
2017-03-30,1736.5185546875
2017-03-31,1720.550537109375
2017-04-03,1733.5242919921875
2017-04-04,1742.506591796875
2017-04-05,1730.530517578125
2017-04-06,1723.5445556640625
2017-04-07,1769.45263671875
2017-04-10,1757.4765625
2017-04-11,1764.462646484375
2017-04-12,1760.4705810546875
2017-04-13,1759.47265625
2017-04-18,1697.5965576171875
2017-04-19,1562.8665771484375
2017-04-20,1588.8145751953125
2017-04-21,1578.8345947265625
2017-04-24,1596.7984619140625
2017-04-25,1585.820556640625
2017-04-26,1595.80078125
2017-04-27,1606.778564453125
2017-04-28,1610.770751953125
2017-05-02,1591.80859375
2017-05-03,1578.8345947265625
2017-05-04,1604.78271484375
2017-05-05,1622.7467041015625
2017-05-08,1601.78857421875
2017-05-09,1598.794677734375
2017-05-10,1621.7486572265625
2017-05-11,1644.70263671875
2017-05-12,1641.70849609375
2017-05-15,1653.6846923828125
2017-05-16,1661.66845703125
2017-05-17,1637.7166748046875
2017-05-18,1714.562255859375
2017-05-19,1710.570556640625
2017-05-22,1752.486572265625
2017-05-23,1737.5164794921875
2017-05-24,1748.4945068359375
2017-05-25,1769.45263671875
2017-05-26,1774.4423828125
2017-05-30,1782.42626953125
2017-05-31,1811.36865234375
2017-06-01,1806.37841796875
2017-06-02,1814.36279296875
2017-06-05,1806.37841796875
2017-06-06,1739.5125732421875
2017-06-07,1732.526611328125
2017-06-08,1714.562255859375
2017-06-09,1739.5125732421875
2017-06-12,1730.530517578125
2017-06-13,1726.53857421875
2017-06-14,1721.5484619140625
2017-06-15,1683.6243896484375
2017-06-16,1715.5606689453125
2017-06-19,1738.5145263671875
2017-06-20,1751.4884033203125
2017-06-21,1757.4765625
2017-06-22,1760.4705810546875
2017-06-23,1751.4884033203125
2017-06-26,1771.889404296875
2017-06-27,1758.2459716796875
2017-06-28,1701.588623046875
2017-06-29,1649.6923828125
2017-06-30,1657.6763916015625
2017-07-03,1653.6846923828125
2017-07-04,1636.7186279296875
2017-07-05,1636.7186279296875
2017-07-06,1618.037109375
2017-07-07,1607.056884765625
2017-07-10,1617.0384521484375
2017-07-11,1617.0384521484375
2017-07-12,1627.020263671875
2017-07-13,1665.9488525390625
2017-07-14,1641.99267578125
2017-07-17,1648.980224609375
2017-07-18,1640.9945068359375
2017-07-19,1642.9912109375
2017-07-20,1651.974609375
2017-07-21,1639.99658203125
2017-07-24,1648.980224609375
2017-07-25,1694.8958740234375
2017-07-26,1715.8577880859375
2017-07-27,1725.83935546875
2017-07-28,1712.863037109375
2017-07-31,1707.872314453125
2017-08-01,1722.844970703125
2017-08-02,1728.833740234375
2017-08-03,1764.7681884765625
2017-08-04,1785.7294921875
2017-08-07,1805.693359375
2017-08-08,1785.7294921875
2017-08-09,1765.76611328125
2017-08-10,1753.7882080078125
2017-08-11,1733.8245849609375
2017-08-14,1743.806396484375
2017-08-15,1742.808349609375
2017-08-16,1758.779052734375
2017-08-17,1754.7862548828125
2017-08-18,1742.808349609375
2017-08-21,1751.791748046875
2017-08-22,1783.7332763671875
2017-08-23,1767.7626953125
2017-08-24,1774.749755859375
2017-08-25,1782.7349853515625
2017-08-29,1764.7681884765625
2017-08-30,1774.749755859375
2017-08-31,1793.7152099609375
2017-09-01,1799.7041015625
2017-09-04,1804.69482421875
2017-09-05,1780.7388916015625
2017-09-06,1756.7828369140625
2017-09-07,1759.77734375
2017-09-08,1768.7607421875
2017-09-11,1786.72802734375
2017-09-12,1768.7607421875
2017-09-13,1760.7755126953125
2017-09-14,1746.801025390625
2017-09-15,1737.8173828125
2017-09-18,1754.7862548828125
2017-09-19,1774.749755859375
2017-09-20,1754.7862548828125
2017-09-21,1757.781005859375
2017-09-22,1775.7479248046875
2017-09-25,1778.742431640625
2017-09-26,1753.7882080078125
2017-09-27,1758.779052734375
2017-09-28,1729.8321533203125
2017-09-29,1756.7828369140625
2017-10-02,1791.71875
2017-10-03,1795.7115478515625
2017-10-04,1780.7388916015625
2017-10-05,1783.7332763671875
2017-10-06,1793.7152099609375
2017-10-09,1799.7041015625
2017-10-10,1839.630859375
2017-10-11,1843.62353515625
2017-10-12,1892.5338134765625
2017-10-13,1888.5413818359375
2017-10-16,1898.52294921875
2017-10-17,1868.577880859375
2017-10-18,1896.5264892578125
2017-10-19,1889.5394287109375
2017-10-20,1901.5177001953125
2017-10-23,1901.5177001953125
2017-10-24,1901.5177001953125
2017-10-25,1915.4918212890625
2017-10-26,1921.481201171875
2017-10-27,1924.475341796875
2017-10-30,1918.4864501953125
2017-10-31,1898.52294921875
2017-11-01,1881.5543212890625
2017-11-02,1887.543212890625
2017-11-03,1911.499267578125
2017-11-06,1960.40966796875
2017-11-07,1967.3968505859375
2017-11-08,1981.371337890625
2017-11-09,1783.7332763671875
2017-11-10,1742.808349609375
