Date,SONATSOFTW.NS
2015-08-21,40.364837646484375
2015-08-24,37.23137283325195
2015-08-25,37.82633972167969
2015-08-26,37.62801742553711
2015-08-27,38.80472183227539
2015-08-28,37.64122772216797
2015-08-31,37.39002990722656
2015-09-01,35.98857116699219
2015-09-02,36.06789016723633
2015-09-03,38.698944091796875
2015-09-04,36.43809509277344
2015-09-07,36.55708694458008
2015-09-08,36.62318801879883
2015-09-09,37.69411849975586
2015-09-10,37.07271957397461
2015-09-11,37.29747772216797
2015-09-14,36.993385314941406
2015-09-15,37.0462760925293
2015-09-16,36.59675598144531
2015-09-18,38.368412017822266
2015-09-21,38.51383972167969
2015-09-22,39.43933868408203
2015-09-23,39.016258239746094
2015-09-24,39.3864631652832
2015-09-28,39.082366943359375
2015-09-29,38.95015335083008
2015-09-30,40.06074523925781
2015-10-01,40.39128494262695
2015-10-05,39.849212646484375
2015-10-06,39.57154846191406
2015-10-07,39.360008239746094
2015-10-08,39.597999572753906
2015-10-09,39.34678649902344
2015-10-12,40.60282897949219
2015-10-13,41.44898986816406
2015-10-14,40.536712646484375
2015-10-15,40.906917572021484
2015-10-16,40.351627349853516
2015-10-19,40.15329360961914
2015-10-20,39.61122131347656
2015-10-21,39.8227653503418
2015-10-23,40.113624572753906
2015-10-26,41.0523567199707
2015-10-27,40.73503494262695
2015-10-28,40.89369583129883
2015-10-29,41.38288497924805
2015-10-30,41.15811538696289
2015-11-02,39.915313720703125
2015-11-03,40.95980453491211
2015-11-04,40.589599609375
2015-11-05,40.417720794677734
2015-11-06,40.192955017089844
2015-11-09,41.34321212768555
2015-11-10,43.20954513549805
2015-11-13,42.23582077026367
2015-11-16,42.11408996582031
2015-11-17,42.46572494506836
2015-11-18,43.0607795715332
2015-11-19,43.72346878051758
2015-11-20,45.77912902832031
2015-11-23,44.99473571777344
2015-11-24,44.2779541015625
2015-11-26,43.89927673339844
2015-11-27,43.507080078125
2015-11-30,44.575477600097656
