Date,EICHERMOT.NS
2015-08-03,1768.9508056640625
2015-08-04,1870.4542236328125
2015-08-05,1906.467041015625
2015-08-06,1907.0
2015-08-07,1912.488037109375
2015-08-10,1887.7423095703125
2015-08-11,1869.0777587890625
2015-08-12,1839.96142578125
2015-08-13,1844.92529296875
2015-08-14,1909.6187744140625
2015-08-17,1915.5699462890625
2015-08-18,1941.506591796875
2015-08-19,1968.4720458984375
2015-08-20,1948.26904296875
2015-08-21,1897.0350341796875
2015-08-24,1722.8245849609375
2015-08-25,1733.34130859375
2015-08-26,1721.1094970703125
2015-08-27,1740.07080078125
2015-08-28,1753.7623291015625
2015-08-31,1762.619384765625
2015-09-01,1692.586669921875
2015-09-02,1703.520263671875
2015-09-03,1704.0208740234375
2015-09-04,1685.0225830078125
2015-09-07,1616.9134521484375
2015-09-08,1597.567626953125
2015-09-09,1665.5238037109375
2015-09-10,1714.6114501953125
2015-09-11,1750.3138427734375
2015-09-14,1746.091552734375
2015-09-15,1721.9716796875
2015-09-16,1662.7103271484375
2015-09-18,1690.283203125
2015-09-21,1712.8828125
2015-09-22,1699.594482421875
2015-09-23,1692.132568359375
2015-09-24,1647.7999267578125
2015-09-28,1602.0447998046875
2015-09-29,1616.7001953125
2015-09-30,1649.232421875
2015-10-01,1695.0943603515625
2015-10-05,1740.1822509765625
2015-10-06,1726.96826171875
2015-10-07,1752.4647216796875
2015-10-08,1730.3145751953125
2015-10-09,1698.046630859375
2015-10-12,1666.923583984375
2015-10-13,1651.8973388671875
2015-10-14,1685.2545166015625
2015-10-15,1697.39306640625
2015-10-16,1695.11279296875
2015-10-19,1690.9178466796875
2015-10-20,1683.488525390625
2015-10-21,1688.0677490234375
2015-10-23,1683.256591796875
2015-10-26,1662.515625
2015-10-27,1637.0101318359375
2015-10-28,1612.21826171875
2015-10-29,1614.6654052734375
2015-10-30,1644.67626953125
2015-11-02,1666.2744140625
2015-11-03,1669.55615234375
2015-11-04,1647.058349609375
2015-11-05,1638.701904296875
2015-11-06,1547.4273681640625
2015-11-09,1478.7529296875
2015-11-10,1468.47265625
2015-11-13,1448.3248291015625
2015-11-16,1414.75927734375
2015-11-17,1436.24169921875
2015-11-18,1472.3890380859375
2015-11-19,1498.6083984375
2015-11-20,1521.80126953125
2015-11-23,1553.2626953125
2015-11-24,1543.4229736328125
2015-11-26,1528.165283203125
2015-11-27,1538.4405517578125
2015-11-30,1550.722900390625
2015-12-01,1505.166748046875
2015-12-02,1516.587158203125
2015-12-03,1547.3299560546875
2015-12-04,1522.9183349609375
2015-12-07,1504.5550537109375
2015-12-08,1511.6231689453125
2015-12-09,1457.95166015625
2015-12-10,1486.840576171875
2015-12-11,1442.44775390625
2015-12-14,1424.4322509765625
2015-12-15,1470.3590087890625
2015-12-16,1489.065185546875
2015-12-17,1508.8421630859375
2015-12-18,1498.0152587890625
2015-12-21,1486.029541015625
2015-12-22,1490.1868896484375
2015-12-23,1500.749755859375
2015-12-24,1499.1136474609375
2015-12-28,1538.6397705078125
2015-12-29,1548.3265380859375
2015-12-30,1532.266845703125
2015-12-31,1562.4630126953125
2016-01-01,1610.2298583984375
2016-01-04,1621.76611328125
2016-01-05,1590.67529296875
2016-01-06,1624.5238037109375
2016-01-07,1579.15771484375
2016-01-08,1598.230224609375
2016-01-11,1598.01708984375
2016-01-12,1582.0455322265625
2016-01-13,1581.665283203125
2016-01-14,1574.7408447265625
2016-01-15,1505.4774169921875
2016-01-18,1433.0528564453125
