Date,FDX
2015-08-03,147.50210571289062
2015-08-04,146.8803253173828
2015-08-05,147.91656494140625
2015-08-06,146.4571990966797
2015-08-07,144.20338439941406
2015-08-10,146.28456115722656
2015-08-11,145.4468536376953
2015-08-12,142.75257873535156
2015-08-13,141.27593994140625
2015-08-14,142.32080078125
2015-08-17,142.45899963378906
2015-08-18,143.05479431152344
2015-08-19,142.4417266845703
2015-08-20,138.55572509765625
2015-08-21,134.73886108398438
2015-08-24,128.12411499023438
2015-08-25,125.26580047607422
2015-08-26,128.1759033203125
2015-08-27,132.15689086914062
2015-08-28,131.6905975341797
2015-08-31,130.05850219726562
2015-09-01,127.8305435180664
2015-09-02,130.2398223876953
2015-09-03,130.5766143798828
2015-09-04,128.33140563964844
2015-09-08,132.59580993652344
2015-09-09,131.09939575195312
2015-09-10,129.37806701660156
2015-09-11,130.68417358398438
2015-09-14,129.94895935058594
2015-09-15,133.2099609375
2015-09-16,129.429931640625
2015-09-17,129.30885314941406
2015-09-18,125.68451690673828
2015-09-21,126.29864501953125
2015-09-22,124.53404998779297
2015-09-23,124.2572250366211
2015-09-24,123.2105941772461
2015-09-25,124.94926452636719
2015-09-28,121.74008178710938
2015-09-29,122.76942443847656
2015-09-30,124.54269409179688
2015-10-01,125.17415618896484
2015-10-02,125.87483978271484
2015-10-05,129.68084716796875
2015-10-06,131.05615234375
2015-10-07,132.3190460205078
2015-10-08,134.55072021484375
2015-10-09,134.3604278564453
2015-10-12,133.57330322265625
2015-10-13,131.03024291992188
2015-10-14,130.3813934326172
2015-10-15,131.5751495361328
2015-10-16,131.8952178955078
2015-10-19,131.80873107910156
2015-10-20,133.2099609375
2015-10-21,134.9226837158203
2015-10-22,138.15782165527344
2015-10-23,137.9848175048828
2015-10-26,136.5575408935547
2015-10-27,134.91403198242188
2015-10-28,134.3085479736328
2015-10-29,135.27734375
2015-10-30,134.9832305908203
2015-11-02,137.49171447753906
2015-11-03,137.6387939453125
2015-11-04,137.5349884033203
2015-11-05,138.63360595703125
2015-11-06,140.45870971679688
2015-11-09,138.87576293945312
2015-11-10,139.697509765625
2015-11-11,139.29095458984375
2015-11-12,137.3533477783203
2015-11-13,136.76515197753906
2015-11-16,139.49856567382812
2015-11-17,139.61964416503906
2015-11-18,140.83065795898438
2015-11-19,141.2977294921875
2015-11-20,141.98109436035156
2015-11-23,141.3756103515625
2015-11-24,141.15939331054688
2015-11-25,140.4759979248047
2015-11-27,141.93785095214844
2015-11-30,137.1370849609375
2015-12-01,138.78924560546875
2015-12-02,136.5575408935547
2015-12-03,132.88998413085938
2015-12-04,134.4815216064453
2015-12-07,131.9730682373047
2015-12-08,128.35731506347656
2015-12-09,127.19823455810547
2015-12-10,128.66262817382812
2015-12-11,124.99739074707031
2015-12-14,124.50347137451172
2015-12-15,125.36997985839844
2015-12-16,128.95721435546875
2015-12-17,131.56527709960938
2015-12-18,127.5014877319336
2015-12-21,126.28846740722656
2015-12-22,128.59326171875
2015-12-23,130.5948028564453
2015-12-24,129.6676788330078
2015-12-28,128.59326171875
2015-12-29,129.3125
2015-12-30,129.26046752929688
2015-12-31,129.09584045410156
2016-01-04,124.27826690673828
2016-01-05,125.33528900146484
2016-01-06,121.97343444824219
2016-01-07,116.61860656738281
2016-01-08,116.72260284423828
2016-01-11,115.21492767333984
2016-01-12,116.72260284423828
2016-01-13,112.89277648925781
2016-01-14,114.11450958251953
2016-01-15,109.9727554321289
2016-01-19,110.21537017822266
2016-01-20,106.7321548461914
2016-01-21,107.0700912475586
2016-01-22,110.5273208618164
2016-01-25,109.21026611328125
2016-01-26,110.28468322753906
2016-01-27,111.12516021728516
2016-01-28,111.09918212890625
2016-01-29,115.13693237304688
2016-02-01,114.64302825927734
2016-02-02,112.77146911621094
2016-02-03,113.49064636230469
2016-02-04,116.28935241699219
2016-02-05,114.2964859008789
2016-02-08,112.92745971679688
2016-02-09,112.44220733642578
2016-02-10,110.59662628173828
2016-02-11,107.80657958984375
2016-02-12,111.428466796875
2016-02-16,114.46975708007812
2016-02-17,115.31890869140625
2016-02-18,113.79390716552734
2016-02-19,112.43351745605469
2016-02-22,117.31175994873047
2016-02-23,115.94276428222656
2016-02-24,115.6655044555664
2016-02-25,117.82303619384766
2016-02-26,119.03608703613281
2016-02-29,118.6028060913086
