Date,ASIANPAINT.NS
2015-08-21,818.0736083984375
2015-08-24,772.6380615234375
2015-08-25,786.1534423828125
2015-08-26,785.9227294921875
2015-08-27,788.78271484375
2015-08-28,791.7809448242188
2015-08-31,782.8782348632812
2015-09-01,755.6631469726562
2015-09-02,743.5775756835938
2015-09-03,762.5821533203125
2015-09-04,749.8970336914062
2015-09-07,726.9715576171875
2015-09-08,730.2005004882812
2015-09-09,757.5543212890625
2015-09-10,745.3765869140625
2015-09-11,752.9414672851562
2015-09-14,775.1749877929688
2015-09-15,766.733642578125
2015-09-16,760.1373901367188
2015-09-18,775.9129638671875
2015-09-21,765.4420166015625
2015-09-22,742.3782958984375
2015-09-23,732.5990600585938
2015-09-24,743.9005126953125
2015-09-28,732.922119140625
2015-09-29,742.4705810546875
2015-09-30,776.42041015625
2015-10-01,774.6214599609375
2015-10-05,789.1517333984375
2015-10-06,787.5834350585938
2015-10-07,798.0542602539062
2015-10-08,806.4495239257812
2015-10-09,787.6755981445312
2015-10-12,792.7035522460938
2015-10-13,798.3311767578125
2015-10-14,795.47119140625
2015-10-15,802.6671752929688
2015-10-16,814.1530151367188
2015-10-19,811.1546020507812
2015-10-20,807.6488037109375
2015-10-21,789.9358520507812
2015-10-23,792.1038208007812
2015-10-26,754.37158203125
2015-10-27,763.043212890625
2015-10-28,766.2347412109375
2015-10-29,767.1598510742188
2015-10-30,768.3621826171875
2015-11-02,767.8533935546875
2015-11-03,753.1459350585938
2015-11-04,742.0457763671875
2015-11-05,745.4218139648438
2015-11-06,741.12060546875
2015-11-09,755.1808471679688
2015-11-10,737.9755859375
2015-11-13,740.3804931640625
2015-11-16,740.8894653320312
2015-11-17,747.0870361328125
2015-11-18,760.1297607421875
2015-11-19,761.9334716796875
2015-11-20,767.02099609375
2015-11-23,786.5387573242188
2015-11-24,792.3663330078125
2015-11-26,797.22265625
2015-11-27,794.678955078125
2015-11-30,775.623779296875
2015-12-01,781.2662353515625
2015-12-02,784.9197387695312
2015-12-03,779.2310180664062
2015-12-04,772.1085815429688
2015-12-07,806.1027221679688
2015-12-08,796.2051391601562
2015-12-09,777.0111694335938
2015-12-10,794.771484375
2015-12-11,794.0313720703125
2015-12-14,809.8028564453125
2015-12-15,812.6702270507812
2015-12-16,801.5241088867188
2015-12-17,810.404052734375
2015-12-18,813.5029296875
2015-12-21,807.9991455078125
2015-12-22,814.890625
2015-12-23,813.0404663085938
2015-12-24,815.6766967773438
2015-12-28,814.9829711914062
2015-12-29,814.1043090820312
2015-12-30,812.30029296875
2015-12-31,817.29541015625
2016-01-01,812.85546875
2016-01-04,814.7517700195312
2016-01-05,833.1132202148438
2016-01-06,819.931884765625
2016-01-07,806.935302734375
2016-01-08,809.0166015625
2016-01-11,808.3229370117188
2016-01-12,807.4441528320312
2016-01-13,803.4202880859375
2016-01-14,822.7068481445312
2016-01-15,813.3179321289062
2016-01-18,786.5387573242188
2016-01-19,782.1449584960938
2016-01-20,777.3349609375
2016-01-21,781.12744140625
2016-01-22,804.71533203125
2016-01-25,812.7166137695312
2016-01-27,794.170166015625
2016-01-28,794.5402221679688
2016-01-29,804.6691284179688
2016-02-01,820.8567504882812
