Date,GLENMARK.NS
2015-08-21,1182.702392578125
2015-08-24,1083.934814453125
2015-08-25,1144.766845703125
2015-08-26,1154.1182861328125
2015-08-27,1151.5633544921875
2015-08-28,1132.523193359375
2015-08-31,1113.2906494140625
2015-09-01,1084.07958984375
2015-09-02,1040.7454833984375
2015-09-03,1023.9224853515625
2015-09-04,989.409423828125
2015-09-07,964.4404296875
2015-09-08,969.839111328125
2015-09-09,980.7811279296875
2015-09-10,966.2434692382812
2015-09-11,968.5134887695312
2015-09-14,995.7051391601562
2015-09-15,978.8009033203125
2015-09-16,983.9204711914062
2015-09-18,981.8436279296875
2015-09-21,988.0257568359375
2015-09-22,981.16748046875
2015-09-23,975.2750854492188
2015-09-24,971.5563354492188
2015-09-28,964.5530395507812
2015-09-29,973.0534057617188
2015-09-30,1013.4786376953125
2015-10-01,1001.7423706054688
2015-10-05,1017.2457275390625
2015-10-06,1020.964599609375
2015-10-07,998.40966796875
2015-10-08,956.6806030273438
2015-10-09,981.6021728515625
2015-10-12,1001.1144409179688
2015-10-13,989.2332153320312
2015-10-14,979.766845703125
2015-10-15,978.124755859375
2015-10-16,985.2728271484375
2015-10-19,1004.3988647460938
2015-10-20,996.6227416992188
2015-10-21,983.3892211914062
2015-10-23,993.5317993164062
2015-10-26,972.8119506835938
2015-10-27,970.7835083007812
2015-10-28,952.4303588867188
2015-10-29,910.6528930664062
2015-10-30,957.7431030273438
2015-11-02,950.4984130859375
2015-11-03,946.5382080078125
2015-11-04,953.3479614257812
2015-11-05,933.4010009765625
2015-11-06,929.2957763671875
2015-11-09,930.1652221679688
2015-11-10,916.20703125
2015-11-13,907.5618286132812
2015-11-16,931.5657958984375
2015-11-17,939.5350341796875
2015-11-18,946.6346435546875
2015-11-19,943.10888671875
2015-11-20,934.5119018554688
2015-11-23,932.821533203125
2015-11-24,932.5317993164062
2015-11-26,920.3123168945312
2015-11-27,918.3804931640625
2015-11-30,948.0835571289062
2015-12-01,949.9671630859375
2015-12-02,945.9102783203125
2015-12-03,925.3837280273438
2015-12-04,922.2926025390625
2015-12-07,923.54833984375
2015-12-08,898.047119140625
2015-12-09,852.3575439453125
2015-12-10,834.3906860351562
2015-12-11,838.1096801757812
2015-12-14,824.58642578125
2015-12-15,832.2656860351562
2015-12-16,838.8825073242188
2015-12-17,863.70751953125
2015-12-18,881.7225341796875
2015-12-21,897.612548828125
2015-12-22,906.1611938476562
2015-12-23,914.420166015625
2015-12-24,895.6806640625
2015-12-28,892.492919921875
2015-12-29,901.9109497070312
2015-12-30,896.4534301757812
2015-12-31,890.5128784179688
2016-01-01,892.2998046875
2016-01-04,898.8683471679688
2016-01-05,903.2149658203125
2016-01-06,876.0717163085938
2016-01-07,836.7574462890625
2016-01-08,829.4644775390625
2016-01-11,813.7677001953125
2016-01-12,820.4328002929688
2016-01-13,841.92529296875
2016-01-14,836.3710327148438
2016-01-15,802.6109008789062
2016-01-18,738.3267211914062
2016-01-19,756.9213256835938
2016-01-20,759.67431640625
2016-01-21,714.9506225585938
2016-01-22,726.880126953125
2016-01-25,728.6188354492188
