Date,QUAL3.SA
2015-08-24,10.99400520324707
2015-08-25,11.118659019470215
2015-08-26,11.187213897705078
2015-08-27,11.237072944641113
2015-08-28,11.037635803222656
2015-08-31,10.63875675201416
2015-09-01,10.526573181152344
2015-09-02,10.146397590637207
2015-09-03,10.352066040039062
2015-09-04,10.620062828063965
2015-09-08,10.233651161193848
2015-09-09,10.563970565795898
2015-09-10,10.663687705993652
2015-09-11,10.420621871948242
2015-09-14,11.087493896484375
2015-09-15,10.345833778381348
2015-09-16,10.750941276550293
2015-09-17,10.981545448303223
2015-09-18,10.458019256591797
2015-09-21,10.532806396484375
2015-09-22,10.065375328063965
2015-09-23,9.641569137573242
2015-09-24,9.597941398620605
2015-09-25,9.510687828063965
2015-09-28,9.161672592163086
2015-09-29,9.099349021911621
2015-09-30,9.24892520904541
2015-10-01,9.22399616241455
2015-10-02,9.647802352905273
2015-10-05,9.984354019165039
2015-10-06,10.408160209655762
2015-10-07,10.33960247039795
2015-10-08,10.520342826843262
2015-10-09,10.807034492492676
2015-10-13,10.314671516418457
2015-10-14,10.433088302612305
2015-10-15,10.38322925567627
2015-10-16,10.439321517944336
2015-10-19,10.62629222869873
2015-10-20,10.741523742675781
2015-10-21,10.857465744018555
2015-10-22,10.434623718261719
2015-10-23,10.775623321533203
2015-10-26,10.775623321533203
2015-10-27,10.789262771606445
2015-10-28,10.877924919128418
2015-10-29,10.864283561706543
2015-10-30,11.048425674438477
2015-11-03,10.843822479248047
2015-11-04,10.946125030517578
2015-11-05,11.525825500488281
2015-11-06,11.184823036193848
2015-11-09,11.171185493469238
2015-11-10,10.605122566223145
2015-11-11,11.09616470336914
2015-11-12,11.239384651184082
2015-11-13,11.389426231384277
2015-11-16,11.355325698852539
2015-11-17,11.491724014282227
2015-11-18,11.64858627319336
2015-11-19,11.771347045898438
2015-11-23,11.894105911254883
2015-11-24,11.628124237060547
2015-11-25,10.91202449798584
2015-11-26,10.91202449798584
2015-11-27,10.741523742675781
2015-11-30,10.073162078857422
2015-12-01,9.889023780822754
2015-12-02,10.045883178710938
2015-12-03,10.298223495483398
2015-12-04,10.230021476745605
2015-12-07,10.243663787841797
2015-12-08,10.1959228515625
2015-12-09,10.448263168334961
2015-12-10,10.318685531616211
2015-12-11,10.045883178710938
2015-12-14,10.257302284240723
2015-12-15,10.230021476745605
2015-12-16,9.677600860595703
2015-12-17,9.61622142791748
2015-12-18,9.479819297790527
2015-12-21,9.554840087890625
2015-12-22,9.54802131652832
2015-12-23,9.5684814453125
2015-12-28,9.54802131652832
2015-12-29,9.582120895385742
2015-12-30,9.636680603027344
2016-01-04,9.377521514892578
2016-01-05,9.629861831665039
2016-01-06,9.582120895385742
2016-01-07,9.377521514892578
2016-01-08,9.32296085357666
2016-01-11,9.650321006774902
2016-01-12,9.677600860595703
2016-01-13,9.582120895385742
2016-01-14,9.541202545166016
2016-01-15,9.473002433776855
2016-01-18,8.866021156311035
2016-01-19,8.586398124694824
2016-01-20,8.518198013305664
2016-01-21,8.6545991897583
2016-01-22,8.695520401000977
2016-01-26,8.53865909576416
2016-01-27,8.41589641571045
2016-01-28,8.572757720947266
2016-01-29,9.200201034545898
2016-02-01,9.54802131652832
2016-02-02,9.104719161987305
2016-02-03,8.866021156311035
2016-02-04,8.866021156311035
2016-02-05,8.729619979858398
2016-02-10,8.60685920715332
2016-02-11,8.361339569091797
2016-02-12,8.388619422912598
2016-02-15,8.57957935333252
2016-02-16,8.647778511047363
2016-02-17,8.866021156311035
2016-02-18,8.83191967010498
2016-02-19,8.866021156311035
2016-02-22,8.790999412536621
2016-02-23,8.797820091247559
2016-02-24,8.790999412536621
2016-02-25,8.634138107299805
2016-02-26,8.675058364868164
2016-02-29,8.7841796875
2016-03-01,8.941039085388184
2016-03-02,8.995598793029785
2016-03-03,9.14564037322998
2016-03-04,9.854923248291016
2016-03-07,10.134543418884277
2016-03-08,9.875380516052246
2016-03-09,9.964042663574219
2016-03-10,9.138821601867676
2016-03-11,9.438899993896484
2016-03-14,8.906938552856445
2016-03-15,8.613678932189941
2016-03-16,9.0706205368042
2016-03-17,9.357061386108398
2016-03-18,9.425259590148926
2016-03-21,9.241120338439941
2016-03-22,9.282041549682617
2016-03-23,9.288861274719238
2016-03-24,9.111542701721191
2016-03-28,9.445723533630371
2016-03-29,9.52756118774414
2016-03-30,9.943581581115723
2016-03-31,9.943581581115723
2016-04-01,10.543744087219238
2016-04-04,10.26412296295166
2016-04-05,10.64604377746582
2016-04-06,10.700602531433105
2016-04-07,10.666504859924316
2016-04-08,11.034784317016602
2016-04-11,11.014324188232422
2016-04-12,10.693785667419434
2016-04-13,10.693785667419434
2016-04-14,10.673323631286621
2016-04-15,10.571022987365723
2016-04-18,10.230021476745605
2016-04-19,10.536924362182617
2016-04-20,10.502821922302246
2016-04-22,10.16864013671875
2016-04-25,10.05952262878418
2016-04-26,10.216381072998047
2016-04-27,10.28458309173584
2016-04-28,10.182282447814941
2016-04-29,10.161822319030762
2016-05-02,10.086896896362305
2016-05-03,9.870747566223145
2016-05-04,10.014847755432129
2016-05-05,9.798702239990234
2016-05-06,9.834724426269531
2016-05-09,10.267020225524902
2016-05-10,11.203661918640137
2016-05-11,10.807391166687012
2016-05-12,11.419808387756348
2016-05-13,11.203661918640137
2016-05-16,10.929874420166016
2016-05-17,11.001922607421875
2016-05-18,11.455833435058594
2016-05-19,12.075456619262695
2016-05-20,11.823284149169922
2016-05-23,11.43421745300293
2016-05-24,11.614341735839844
2016-05-25,11.744029998779297
