Date,PAGE.L
2015-08-24,483.6138916015625
2015-08-25,497.7762756347656
2015-08-26,489.5980224609375
2015-08-27,496.6791076660156
2015-08-28,505.65521240234375
2015-09-01,492.49029541015625
2015-09-02,496.3799743652344
2015-09-03,484.8458557128906
2015-09-04,478.9610595703125
2015-09-07,477.46490478515625
2015-09-08,484.0478210449219
2015-09-09,490.33160400390625
2015-09-10,488.7357482910156
2015-09-11,488.9351806640625
2015-09-14,486.04266357421875
2015-09-15,489.0350036621094
2015-09-16,486.3419189453125
2015-09-17,485.3445129394531
2015-09-18,474.8716125488281
2015-09-21,476.9662170410156
2015-09-22,467.7899475097656
2015-09-23,472.2783508300781
2015-09-24,465.2963562011719
2015-09-25,473.97393798828125
2015-09-28,469.98431396484375
2015-09-29,465.1966247558594
2015-09-30,472.77703857421875
2015-10-01,476.7666931152344
2015-10-02,478.4623718261719
2015-10-05,485.9429931640625
2015-10-06,486.14239501953125
2015-10-07,479.4597473144531
2015-10-08,464.2989196777344
2015-10-09,466.7925109863281
2015-10-12,463.0023498535156
2015-10-13,480.9559020996094
2015-10-14,479.1604919433594
2015-10-15,480.15789794921875
2015-10-16,480.55694580078125
2015-10-19,483.2499084472656
2015-10-20,482.6515197753906
2015-10-21,480.45721435546875
2015-10-22,474.9712829589844
2015-10-23,493.8225402832031
2015-10-26,491.52850341796875
2015-10-27,490.0323791503906
2015-10-28,490.132080078125
2015-10-29,489.1347351074219
2015-10-30,493.5233154296875
2015-11-02,495.8173828125
2015-11-03,495.917236328125
2015-11-04,498.7099609375
2015-11-05,492.52593994140625
2015-11-06,499.7073669433594
2015-11-09,496.1166076660156
2015-11-10,491.9275207519531
2015-11-11,493.6230773925781
2015-11-12,491.6282043457031
2015-11-13,486.5413818359375
2015-11-16,490.8302917480469
2015-11-17,500.7048034667969
2015-11-18,497.21380615234375
2015-11-19,503.1983337402344
2015-11-20,503.69708251953125
2015-11-23,504.6944274902344
2015-11-24,495.7176818847656
2015-11-25,492.0271911621094
2015-11-26,498.7099609375
2015-11-27,503.1983337402344
2015-11-30,507.18804931640625
2015-12-01,510.678955078125
2015-12-02,509.18280029296875
2015-12-03,501.2034606933594
2015-12-04,502.6995544433594
2015-12-07,508.1854248046875
2015-12-08,498.7099609375
2015-12-09,488.9351806640625
2015-12-10,490.63079833984375
2015-12-11,480.05816650390625
2015-12-14,478.7615051269531
2015-12-15,489.8328552246094
2015-12-16,489.8328552246094
2015-12-17,497.5130615234375
2015-12-18,489.1347351074219
2015-12-21,484.5466003417969
2015-12-22,487.7383117675781
2015-12-23,490.7305908203125
2015-12-24,496.8149108886719
2015-12-29,493.1243896484375
2015-12-30,490.7305908203125
2015-12-31,483.0503845214844
2016-01-04,479.95843505859375
2016-01-05,478.66180419921875
2016-01-06,473.7744445800781
2016-01-07,460.2095031738281
2016-01-08,451.23272705078125
2016-01-11,445.4477233886719
2016-01-12,409.4407958984375
2016-01-13,407.9447326660156
2016-01-14,404.7529602050781
2016-01-15,399.9653015136719
2016-01-18,385.90179443359375
2016-01-19,391.4873046875
2016-01-20,378.42108154296875
2016-01-21,383.2087097167969
2016-01-22,398.1700134277344
2016-01-25,394.9783020019531
2016-01-26,396.5741271972656
2016-01-27,396.9731140136719
2016-01-28,399.3669738769531
2016-01-29,405.25164794921875
2016-02-01,401.2619323730469
2016-02-02,389.1932067871094
2016-02-03,385.1038513183594
2016-02-04,393.8810729980469
2016-02-05,395.97564697265625
2016-02-08,381.4133605957031
2016-02-09,374.1321716308594
2016-02-10,376.1270446777344
2016-02-11,371.638671875
2016-02-12,371.83807373046875
2016-02-15,373.9327392578125
2016-02-16,371.2396545410156
2016-02-17,379.01953125
2016-02-18,375.528564453125
2016-02-19,371.0401611328125
2016-02-22,373.4339904785156
2016-02-23,371.9378356933594
2016-02-24,365.05560302734375
2016-02-25,358.07373046875
2016-02-26,376.7254638671875
2016-02-29,368.84588623046875
2016-03-01,378.9197998046875
2016-03-02,385.6025390625
2016-03-03,391.8861999511719
2016-03-04,403.955078125
2016-03-07,401.0625305175781
2016-03-08,395.37725830078125
2016-03-09,395.4769592285156
2016-03-10,384.6051025390625
2016-03-11,394.08056640625
2016-03-14,399.66619873046875
2016-03-15,398.9678955078125
2016-03-16,406.6481018066406
2016-03-17,413.9292907714844
2016-03-18,426.0977478027344
2016-03-21,421.31005859375
