Date,EXPN.L
2015-08-24,1047.3975830078125
2015-08-25,1086.337890625
2015-08-26,1062.3741455078125
2015-08-27,1089.3331298828125
2015-08-28,1107.3057861328125
2015-09-01,1073.357666015625
2015-09-02,1073.357666015625
2015-09-03,1094.3255615234375
2015-09-04,1050.3929443359375
2015-09-07,1058.380615234375
2015-09-08,1060.3779296875
2015-09-09,1073.357666015625
2015-09-10,1057.3822021484375
2015-09-11,1043.4034423828125
2015-09-14,1033.418701171875
2015-09-15,1051.3912353515625
2015-09-16,1068.3653564453125
2015-09-17,1062.3741455078125
2015-09-18,1053.3883056640625
2015-09-21,1056.3836669921875
2015-09-22,1029.425048828125
2015-09-23,1033.418701171875
2015-09-24,1020.4386596679688
2015-09-25,1059.3787841796875
2015-09-28,1035.41552734375
2015-09-29,1029.425048828125
2015-09-30,1056.3836669921875
2015-10-01,1073.357666015625
2015-10-02,1032.420166015625
2015-10-05,1070.3621826171875
2015-10-06,1074.3563232421875
2015-10-07,1082.34423828125
2015-10-08,1092.32861328125
2015-10-09,1104.310302734375
2015-10-12,1102.3135986328125
2015-10-13,1083.3424072265625
2015-10-14,1083.3424072265625
2015-10-15,1090.3319091796875
2015-10-16,1084.3408203125
2015-10-19,1091.3302001953125
2015-10-20,1088.3345947265625
2015-10-21,1103.31201171875
2015-10-22,1100.31640625
2015-10-23,1125.2781982421875
2015-10-26,1116.2919921875
2015-10-27,1109.302734375
2015-10-28,1125.2781982421875
2015-10-29,1114.2950439453125
2015-10-30,1106.307373046875
2015-11-02,1112.298095703125
2015-11-03,1124.280029296875
2015-11-04,1142.2523193359375
2015-11-05,1111.2996826171875
2015-11-06,1113.2965087890625
2015-11-09,1102.3135986328125
2015-11-10,1185.1866455078125
2015-11-11,1212.1451416015625
2015-11-12,1191.177490234375
2015-11-13,1177.1986083984375
2015-11-16,1183.189697265625
2015-11-17,1191.177490234375
2015-11-18,1191.177490234375
2015-11-19,1215.1407470703125
2015-11-20,1214.1424560546875
2015-11-23,1202.16064453125
2015-11-24,1189.1805419921875
2015-11-25,1207.153076171875
2015-11-26,1215.1407470703125
2015-11-27,1220.1329345703125
2015-11-30,1229.119384765625
2015-12-01,1231.1163330078125
2015-12-02,1252.083984375
2015-12-03,1201.1622314453125
2015-12-04,1205.1561279296875
2015-12-07,1210.1483154296875
2015-12-08,1189.1805419921875
2015-12-09,1176.2005615234375
2015-12-10,1172.20654296875
2015-12-11,1153.235595703125
2015-12-14,1119.28759765625
2015-12-15,1152.237060546875
2015-12-16,1148.2432861328125
2015-12-17,1166.215576171875
2015-12-18,1164.2186279296875
2015-12-21,1159.2264404296875
2015-12-22,1173.204833984375
2015-12-23,1196.1695556640625
2015-12-24,1202.16064453125
2015-12-29,1221.131591796875
