Date,BDX
2015-08-03,128.20867919921875
2015-08-04,128.14144897460938
2015-08-05,129.41148376464844
2015-08-06,126.32465362548828
2015-08-07,125.25642395019531
2015-08-10,126.41716766357422
2015-08-11,124.98731994628906
2015-08-12,124.4237289428711
2015-08-13,124.14619445800781
2015-08-14,124.70974731445312
2015-08-17,124.98731994628906
2015-08-18,123.70882415771484
2015-08-19,123.22940063476562
2015-08-20,120.76498413085938
2015-08-21,119.36880493164062
2015-08-24,116.23986053466797
2015-08-25,115.75203704833984
2015-08-26,117.70340728759766
2015-08-27,120.2350845336914
2015-08-28,120.13416290283203
2015-08-31,118.61173248291016
2015-09-01,113.4558334350586
2015-09-02,114.99506378173828
2015-09-03,114.8352279663086
2015-09-04,113.4750747680664
2015-09-08,116.6008529663086
2015-09-09,114.80987548828125
2015-09-10,114.218505859375
2015-09-11,114.87749481201172
2015-09-14,115.11405181884766
2015-09-15,115.8912582397461
2015-09-16,117.3189468383789
2015-09-17,118.10467529296875
2015-09-18,116.86278533935547
2015-09-21,117.52171325683594
2015-09-22,116.80365753173828
2015-09-23,117.66533660888672
2015-09-24,117.29364776611328
2015-09-25,115.02108764648438
2015-09-28,110.16342163085938
2015-09-29,110.57737731933594
2015-09-30,112.07268524169922
2015-10-01,111.67562866210938
2015-10-02,114.36212921142578
2015-10-05,115.73070526123047
2015-10-06,113.70318603515625
2015-10-07,115.9419174194336
2015-10-08,115.8405532836914
2015-10-09,116.3812255859375
2015-10-12,116.97257995605469
2015-10-13,115.66312408447266
2015-10-14,114.69161224365234
2015-10-15,115.79833221435547
2015-10-16,117.90190887451172
2015-10-19,118.23136138916016
2015-10-20,118.07084655761719
2015-10-21,118.07084655761719
2015-10-22,116.96415710449219
2015-10-23,118.45947265625
2015-10-26,118.18911743164062
2015-10-27,118.90725708007812
2015-10-28,119.93790435791016
2015-10-29,121.00234985351562
2015-10-30,120.40252685546875
2015-11-02,122.3371353149414
2015-11-03,123.87474822998047
2015-11-04,127.574951171875
2015-11-05,128.6140594482422
2015-11-06,128.83377075195312
2015-11-09,128.75775146484375
2015-11-10,128.5042724609375
2015-11-11,128.3775634765625
2015-11-12,125.39540100097656
2015-11-13,125.60657501220703
2015-11-16,127.38912963867188
2015-11-17,127.53273010253906
2015-11-18,128.022705078125
2015-11-19,126.6879653930664
2015-11-20,127.75241088867188
2015-11-23,127.49896240234375
2015-11-24,127.18639373779297
2015-11-25,126.82308959960938
2015-11-27,127.81147003173828
2015-11-30,126.93296813964844
2015-12-01,128.97732543945312
2015-12-02,128.2254638671875
2015-12-03,126.66263580322266
2015-12-04,130.78524780273438
2015-12-07,129.77993774414062
2015-12-08,131.25621032714844
2015-12-09,129.70361328125
2015-12-10,130.95932006835938
2015-12-11,128.6939239501953
2015-12-14,129.97508239746094
2015-12-15,130.05992126464844
2015-12-16,132.2659149169922
2015-12-17,132.28289794921875
2015-12-18,129.9156951904297
2015-12-21,130.31448364257812
2015-12-22,130.9762420654297
2015-12-23,132.24896240234375
2015-12-24,132.28289794921875
2015-12-28,131.82469177246094
2015-12-29,132.8089599609375
2015-12-30,131.8756103515625
2015-12-31,130.73866271972656
2016-01-04,125.52919006347656
2016-01-05,125.92792510986328
2016-01-06,124.67222595214844
2016-01-07,122.62747192382812
2016-01-08,120.78628540039062
2016-01-11,119.75965881347656
2016-01-12,120.8626480102539
2016-01-13,119.9548110961914
2016-01-14,123.37410736083984
2016-01-15,120.8457260131836
2016-01-19,120.90509796142578
2016-01-20,119.51363372802734
2016-01-21,120.18387603759766
2016-01-22,122.82257843017578
2016-01-25,122.94137573242188
2016-01-26,123.458984375
2016-01-27,123.9085693359375
2016-01-28,120.71842193603516
2016-01-29,123.34012603759766
2016-02-01,123.89171600341797
2016-02-02,123.06863403320312
2016-02-03,119.7002944946289
2016-02-04,117.01066589355469
2016-02-05,114.75376892089844
2016-02-08,112.74291229248047
2016-02-09,113.981689453125
2016-02-10,115.5088882446289
2016-02-11,114.82161712646484
2016-02-12,118.62272644042969
2016-02-16,120.58267211914062
2016-02-17,122.2711410522461
2016-02-18,121.4820327758789
2016-02-19,122.94137573242188
2016-02-22,123.60318756103516
2016-02-23,124.26496124267578
2016-02-24,125.12191009521484
2016-02-25,126.14005279541016
2016-02-26,126.96310424804688
2016-02-29,125.10494995117188
2016-03-01,127.37029266357422
2016-03-02,127.87942504882812
2016-03-03,126.84432220458984
2016-03-04,126.54733276367188
2016-03-07,126.14856719970703
2016-03-08,125.44115447998047
2016-03-09,125.37300872802734
2016-03-10,126.56613159179688
2016-03-11,127.64851379394531
2016-03-14,128.4836883544922
2016-03-15,127.23090362548828
2016-03-16,127.64851379394531
2016-03-17,125.88434600830078
2016-03-18,128.04051208496094
2016-03-21,127.1286392211914
2016-03-22,127.45243072509766
2016-03-23,127.18824005126953
2016-03-24,127.0945053100586
2016-03-28,127.00934600830078
2016-03-29,129.13134765625
