Date,BAS.DE
2015-08-24,39.031253814697266
2015-08-25,40.85882568359375
2015-08-26,40.441593170166016
2015-08-27,42.0987434387207
2015-08-28,42.239784240722656
2015-08-31,42.20452880859375
2015-09-01,41.11151123046875
2015-09-02,41.38770294189453
2015-09-03,41.922462463378906
2015-09-04,40.89407730102539
2015-09-07,41.08213424682617
2015-09-08,41.52873611450195
2015-09-09,41.69915008544922
2015-09-10,41.258419036865234
2015-09-11,40.95872116088867
2015-09-14,40.94696807861328
2015-09-15,41.18203353881836
2015-09-16,41.52873611450195
2015-09-17,41.017494201660156
2015-09-18,39.56013107299805
2015-09-21,40.14189529418945
2015-09-22,39.04888153076172
2015-09-23,39.14878845214844
2015-09-24,38.631656646728516
2015-09-25,39.74817657470703
2015-09-28,38.83733367919922
2015-09-29,39.17229080200195
2015-09-30,40.14777755737305
2015-10-01,39.05476379394531
2015-10-02,39.2016716003418
2015-10-05,40.388710021972656
2015-10-06,40.86470413208008
2015-10-07,41.78730773925781
2015-10-08,42.17514419555664
2015-10-09,42.92144775390625
2015-10-12,42.70402526855469
2015-10-13,42.0987434387207
2015-10-14,41.15852355957031
2015-10-15,41.910701751708984
2015-10-16,41.73441696166992
2015-10-19,41.91658020019531
2015-10-20,41.846065521240234
2015-10-21,42.06349563598633
2015-10-22,43.656005859375
2015-10-23,45.03696823120117
2015-10-26,45.0075798034668
2015-10-27,42.886192321777344
2015-10-28,43.109493255615234
2015-10-29,43.415077209472656
2015-10-30,43.79703903198242
2015-11-02,44.16726303100586
2015-11-03,44.67262268066406
2015-11-04,44.68437576293945
2015-11-05,44.549217224121094
2015-11-06,45.32490921020508
2015-11-09,44.931190490722656
2015-11-10,44.61974334716797
2015-11-11,44.743141174316406
2015-11-12,43.855804443359375
2015-11-13,43.497344970703125
2015-11-16,43.60899353027344
2015-11-17,44.86655044555664
2015-11-18,44.86655044555664
2015-11-19,45.43656921386719
2015-11-20,45.642242431640625
2015-11-23,45.68925094604492
2015-11-24,44.96644592285156
2015-11-25,45.83616256713867
2015-11-26,46.200504302978516
2015-11-27,45.76564025878906
2015-11-30,46.03596115112305
2015-12-01,45.11335754394531
2015-12-02,44.76076889038086
2015-12-03,42.821556091308594
2015-12-04,42.521854400634766
2015-12-07,42.71577835083008
2015-12-08,41.840187072753906
2015-12-09,41.5581169128418
2015-12-10,41.4288330078125
2015-12-11,40.46510314941406
2015-12-14,39.96560287475586
2015-12-15,41.16440200805664
2015-12-16,41.26430130004883
2015-12-17,41.94596481323242
2015-12-18,41.26430130004883
2015-12-21,40.51799011230469
2015-12-22,40.54149627685547
2015-12-23,41.693275451660156
2015-12-25,41.693275451660156
2015-12-28,41.31718826293945
2015-12-29,42.028236389160156
2015-12-30,41.5581169128418
2016-01-04,39.71292495727539
2016-01-05,39.489620208740234
2016-01-06,38.83145523071289
2016-01-07,37.88534927368164
2016-01-08,37.421112060546875
2016-01-11,37.168426513671875
2016-01-12,37.791324615478516
2016-01-13,37.77370071411133
2016-01-14,37.5621452331543
2016-01-15,36.32221984863281
2016-01-18,35.72282409667969
2016-01-19,35.94612121582031
2016-01-20,35.329105377197266
2016-01-21,36.14592361450195
2016-01-22,36.98625564575195
2016-01-25,36.245826721191406
2016-01-26,36.48088455200195
2016-01-27,35.81684875488281
2016-01-28,35.64055252075195
2016-01-29,35.90499496459961
2016-02-01,35.517147064208984
2016-02-02,34.6180534362793
2016-02-03,34.56517028808594
2016-02-04,34.864864349365234
2016-02-05,34.906002044677734
2016-02-08,33.98927688598633
2016-02-09,33.730712890625
2016-02-10,34.00102996826172
2016-02-11,33.31936264038086
2016-02-12,33.99515151977539
2016-02-15,34.747337341308594
2016-02-16,34.29484939575195
2016-02-17,35.193939208984375
2016-02-18,35.47601318359375
2016-02-19,35.2820930480957
2016-02-22,36.0048942565918
2016-02-23,35.182193756103516
2016-02-24,34.12443542480469
2016-02-25,34.782596588134766
2016-02-26,35.82271957397461
2016-02-29,35.36436080932617
2016-03-01,36.475006103515625
2016-03-02,36.580780029296875
2016-03-03,36.9686279296875
2016-03-04,37.18605422973633
2016-03-07,37.35059356689453
2016-03-08,37.42698287963867
2016-03-09,37.8148307800293
2016-03-10,36.527896881103516
2016-03-11,37.85009765625
2016-03-14,38.49061965942383
2016-03-15,38.179168701171875
2016-03-16,38.37309265136719
2016-03-17,38.196800231933594
2016-03-18,39.06651306152344
2016-03-21,39.33683395385742
2016-03-22,39.55426025390625
2016-03-23,39.57188034057617
2016-03-24,38.80794906616211
2016-03-29,38.74330520629883
2016-03-30,39.44261169433594
2016-03-31,38.96073532104492
2016-04-01,38.2673225402832
2016-04-04,38.18505096435547
2016-04-05,37.045021057128906
2016-04-06,37.03326416015625
2016-04-07,36.43974685668945
2016-04-08,37.074405670166016
2016-04-11,37.67380142211914
2016-04-12,38.09690475463867
2016-04-13,39.325069427490234
2016-04-14,40.059627532958984
2016-04-15,40.112518310546875
2016-04-18,40.235923767089844
2016-04-19,41.1291389465332
2016-04-20,41.78142547607422
2016-04-21,41.75791549682617
2016-04-22,41.6815185546875
2016-04-25,41.328941345214844
2016-04-26,41.46997833251953
2016-04-27,42.269168853759766
2016-04-28,42.74515914916992
2016-04-29,42.3984489440918
2016-05-02,42.71681594848633
2016-05-03,41.70048522949219
2016-05-04,41.19843292236328
2016-05-05,41.58415222167969
2016-05-06,41.87803649902344
2016-05-09,42.110687255859375
2016-05-10,42.245384216308594
2016-05-11,41.8841552734375
2016-05-12,41.00251388549805
2016-05-13,41.46782302856445
2016-05-17,41.443336486816406
