Date,HINDPETRO.NS
2015-08-21,78.02503204345703
2015-08-24,70.01757049560547
2015-08-25,74.4792709350586
2015-08-26,73.27769470214844
2015-08-27,75.3861083984375
2015-08-28,75.18660736083984
2015-08-31,76.49246978759766
2015-09-01,73.89435577392578
2015-09-02,73.80086517333984
2015-09-03,74.69841766357422
2015-09-04,73.23054504394531
2015-09-07,71.93095397949219
2015-09-08,71.4400863647461
2015-09-09,73.35675048828125
2015-09-10,73.83358764648438
2015-09-11,73.7120590209961
2015-09-14,75.43236541748047
2015-09-15,75.43236541748047
2015-09-16,72.5293197631836
2015-09-18,71.03805541992188
2015-09-21,71.71591186523438
2015-09-22,71.67383575439453
2015-09-23,73.75411987304688
2015-09-24,72.59010314941406
2015-09-28,72.64152526855469
2015-09-29,71.5756607055664
2015-09-30,72.36103057861328
2015-10-01,72.59476470947266
2015-10-05,73.24456024169922
2015-10-06,75.44171142578125
2015-10-07,73.95513153076172
2015-10-08,73.81021118164062
2015-10-09,71.8748550415039
2015-10-12,71.37932586669922
2015-10-13,72.0711898803711
2015-10-14,71.42607116699219
2015-10-15,73.43154907226562
2015-10-16,75.23135375976562
2015-10-19,76.2738265991211
2015-10-20,76.97502136230469
2015-10-21,74.96021270751953
2015-10-23,74.5675277709961
2015-10-26,72.36103057861328
2015-10-27,72.80045318603516
2015-10-28,71.69253540039062
2015-10-29,70.77627563476562
2015-10-30,71.8468017578125
2015-11-02,73.23054504394531
2015-11-03,73.3941421508789
2015-11-04,73.97383117675781
2015-11-05,73.61388397216797
2015-11-06,73.74475860595703
2015-11-09,74.34782409667969
2015-11-10,68.62586212158203
2015-11-13,71.42607116699219
2015-11-16,72.72098541259766
2015-11-17,72.0992431640625
2015-11-18,71.71121978759766
2015-11-19,74.08135223388672
2015-11-20,74.86204528808594
2015-11-23,74.61894989013672
2015-11-24,75.74556732177734
2015-11-26,75.14251708984375
2015-11-27,75.94190979003906
2015-11-30,78.5457763671875
2015-12-01,79.2142562866211
2015-12-02,78.90571594238281
2015-12-03,78.03621673583984
2015-12-04,76.78337860107422
2015-12-07,78.4709701538086
2015-12-08,78.00817108154297
2015-12-09,75.6754379272461
2015-12-10,77.54069519042969
2015-12-11,77.20410919189453
2015-12-14,76.32056427001953
2015-12-15,75.86711120605469
2015-12-16,77.47056579589844
