Date,INFRAIETF.NS
2024-06-24,90.8499984741211
2024-06-25,90.81999969482422
2024-06-26,91.97000122070312
2024-06-27,92.80999755859375
2024-06-28,93.3499984741211
2024-07-01,93.38999938964844
2024-07-02,93.41999816894531
2024-07-03,93.45999908447266
2024-07-04,93.47000122070312
2024-07-05,94.2300033569336
2024-07-08,94.22000122070312
2024-07-09,94.80000305175781
2024-07-10,94.7699966430664
2024-07-11,94.69999694824219
2024-07-12,94.9000015258789
2024-07-15,95.52999877929688
2024-07-16,95.47000122070312
2024-07-18,95.47000122070312
2024-07-19,93.41000366210938
2024-07-22,93.69000244140625
2024-07-23,93.48999786376953
2024-07-24,93.1500015258789
2024-07-25,93.87000274658203
2024-07-26,95.55000305175781
2024-07-29,96.18000030517578
2024-07-30,96.62000274658203
2024-07-31,96.94999694824219
2024-08-01,97.19000244140625
2024-08-02,95.80000305175781
2024-08-05,93.69999694824219
2024-08-06,92.66000366210938
2024-08-07,94.05999755859375
2024-08-08,93.44999694824219
2024-08-09,93.91999816894531
2024-08-12,93.5199966430664
2024-08-13,92.73999786376953
2024-08-14,92.4000015258789
2024-08-16,93.81999969482422
2024-08-19,94.12000274658203
2024-08-20,94.44000244140625
2024-08-21,94.69999694824219
2024-08-22,95.0199966430664
2024-08-23,95.0
2024-08-26,95.6500015258789
2024-08-28,95.58999633789062
2024-08-29,95.73999786376953
2024-08-30,96.30999755859375
2024-09-02,96.01000213623047
2024-09-03,95.91000366210938
2024-09-04,96.0199966430664
2024-09-05,95.5199966430664
2024-09-06,94.27999877929688
2024-09-09,93.4000015258789
2024-09-10,94.72000122070312
2024-09-11,93.83000183105469
2024-09-12,95.86000061035156
2024-09-13,95.75
2024-09-16,95.73999786376953
2024-09-17,95.83000183105469
2024-09-18,95.44000244140625
2024-09-19,95.27999877929688
2024-09-20,96.62999725341797
2024-09-23,97.72000122070312
2024-09-24,97.79000091552734
2024-09-25,98.5
2024-09-26,98.7300033569336
2024-09-27,98.88999938964844
2024-09-30,98.18000030517578
2024-10-01,98.02999877929688
2024-10-03,97.19000244140625
2024-10-04,95.62999725341797
2024-10-07,93.4800033569336
2024-10-08,93.76000213623047
2024-10-09,93.58000183105469
2024-10-10,93.81999969482422
2024-10-11,94.02999877929688
2024-10-14,94.36000061035156
2024-10-15,94.52999877929688
2024-10-16,94.55000305175781
2024-10-17,93.56999969482422
2024-10-18,94.16000366210938
2024-10-21,93.41000366210938
2024-10-22,91.73999786376953
2024-10-23,90.88999938964844
2024-10-24,90.97000122070312
