Date,STAN.L
2015-08-24,707.6652221679688
2015-08-25,707.6652221679688
2015-08-26,671.8545532226562
2015-08-27,719.0640869140625
2015-08-28,726.6631469726562
2015-09-01,687.9076538085938
2015-09-02,681.7333984375
2015-09-03,704.245849609375
2015-09-04,677.5538330078125
2015-09-07,666.2503051757812
2015-09-08,685.0580444335938
2015-09-09,706.71533203125
2015-09-10,677.8389282226562
2015-09-11,679.9285278320312
2015-09-14,668.0550537109375
2015-09-15,684.963134765625
2015-09-16,698.2612915039062
2015-09-17,703.960693359375
2015-09-18,686.4827270507812
2015-09-21,657.4161987304688
2015-09-22,639.2734375
2015-09-23,634.3340454101562
2015-09-24,617.426025390625
2015-09-25,627.1149291992188
2015-09-28,596.3386840820312
2015-09-29,592.8239135742188
2015-09-30,608.6870727539062
2015-10-01,615.3363647460938
2015-10-02,633.2891845703125
2015-10-05,673.4694213867188
2015-10-06,678.31396484375
2015-10-07,704.245849609375
2015-10-08,711.179931640625
2015-10-09,747.275634765625
2015-10-12,724.4783935546875
2015-10-13,701.7760009765625
2015-10-14,691.517333984375
2015-10-15,707.6652221679688
2015-10-16,710.5149536132812
2015-10-19,697.5015258789062
2015-10-20,693.60693359375
2015-10-21,685.1529541015625
2015-10-22,701.9658203125
2015-10-23,706.9053955078125
2015-10-26,701.0159301757812
2015-10-27,690.5673217773438
2015-10-28,706.1455078125
2015-10-29,687.0528564453125
2015-10-30,685.2479248046875
2015-11-02,677.8389282226562
2015-11-03,632.6243286132812
2015-11-04,635.6639404296875
2015-11-05,595.5787963867188
2015-11-06,583.8950805664062
2015-11-09,581.04541015625
2015-11-10,569.5518188476562
2015-11-11,564.0426025390625
2015-11-12,552.9288940429688
2015-11-13,545.4246826171875
2015-11-16,546.944580078125
2015-11-17,553.2138061523438
2015-11-18,557.8683471679688
2015-11-19,563.2825927734375
2015-11-20,564.0426025390625
2015-11-23,558.8751831054688
2015-11-24,548.9950561523438
2015-11-25,560.0729370117188
2015-11-26,564.4639282226562
2015-11-27,557.3783569335938
2015-11-30,556.0809936523438
2015-12-01,555.5819091796875
2015-12-02,540.7118530273438
2015-12-03,527.7379150390625
2015-12-04,523.7459106445312
2015-12-07,523.147216796875
2015-12-08,518.5565185546875
2015-12-09,514.6641845703125
2015-12-10,508.1772766113281
2015-12-11,494.3551330566406
2015-12-14,475.24359130859375
2015-12-15,481.031982421875
2015-12-16,511.6701965332031
2015-12-17,548.7955932617188
2015-12-18,550.4920043945312
2015-12-21,547.8972778320312
2015-12-22,559.2745361328125
2015-12-23,582.4277954101562
2015-12-24,587.8170776367188
2015-12-29,579.633544921875
2015-12-30,564.9630126953125
2015-12-31,562.5677490234375
2016-01-04,540.6119384765625
2016-01-05,531.2308349609375
2016-01-06,514.564453125
2016-01-07,504.7840881347656
2016-01-08,504.4847412109375
2016-01-11,505.58245849609375
2016-01-12,512.8678588867188
2016-01-13,515.262939453125
2016-01-14,517.7579956054688
2016-01-15,495.3031005859375
2016-01-18,488.1175842285156
2016-01-19,490.0138244628906
2016-01-20,466.0621032714844
2016-01-21,478.2874755859375
2016-01-22,487.5188903808594
2016-01-25,477.18963623046875
2016-01-26,476.34136962890625
2016-01-27,470.4033508300781
2016-01-28,458.5271911621094
2016-01-29,470.0539855957031
2016-02-01,459.0760498046875
2016-02-02,431.8309326171875
2016-02-03,413.36810302734375
2016-02-04,436.57147216796875
2016-02-05,452.1399841308594
2016-02-08,426.1424255371094
2016-02-09,402.489990234375
2016-02-10,406.581787109375
2016-02-11,385.8734436035156
2016-02-12,428.1383361816406
2016-02-15,452.1399841308594
2016-02-16,427.98870849609375
2016-02-17,445.35369873046875
2016-02-18,420.9527587890625
2016-02-19,413.7672424316406
2016-02-22,435.4236755371094
2016-02-23,406.1325988769531
2016-02-24,388.3184509277344
2016-02-25,397.8992004394531
2016-02-26,429.1363220214844
2016-02-29,429.58544921875
2016-03-01,431.0823974609375
2016-03-02,453.93634033203125
2016-03-03,469.0061340332031
2016-03-04,485.12371826171875
2016-03-07,480.78240966796875
2016-03-08,479.53485107421875
2016-03-09,468.5569763183594
2016-03-10,447.59918212890625
2016-03-11,466.8603515625
2016-03-14,482.5787658691406
2016-03-15,463.0680847167969
2016-03-16,455.3834533691406
2016-03-17,458.1278991699219
2016-03-18,492.9079895019531
2016-03-21,487.5687255859375
2016-03-22,493.7063903808594
2016-03-23,476.64068603515625
2016-03-24,439.6651306152344
2016-03-29,438.5673522949219
2016-03-30,471.1517333984375
2016-03-31,471.600830078125
2016-04-01,452.93841552734375
2016-04-04,451.14202880859375
2016-04-05,431.8309326171875
2016-04-06,432.7790222167969
2016-04-07,432.9287109375
2016-04-08,442.65911865234375
2016-04-11,447.0502624511719
2016-04-12,469.7546081542969
2016-04-13,519.7538452148438
2016-04-14,515.5624389648438
2016-04-15,519.8538818359375
2016-04-18,521.9495239257812
2016-04-19,540.8116455078125
2016-04-20,557.877197265625
2016-04-21,555.1825561523438
2016-04-22,555.0828247070312
2016-04-25,519.5543823242188
2016-04-26,570.25244140625
2016-04-27,563.865234375
2016-04-28,569.4539184570312
2016-04-29,550.990966796875
2016-05-03,519.2550048828125
2016-05-04,506.780029296875
2016-05-05,505.9816589355469
2016-05-06,497.44891357421875
2016-05-09,476.3912658691406
2016-05-10,494.95391845703125
2016-05-11,496.30120849609375
2016-05-12,489.1156005859375
2016-05-13,505.48272705078125
2016-05-16,505.9816589355469
2016-05-17,516.6602172851562
2016-05-18,518.9554443359375
2016-05-19,510.7720947265625
2016-05-20,525.1432495117188
2016-05-23,523.446533203125
2016-05-24,534.92333984375
2016-05-25,553.4861450195312
2016-05-26,548.096923828125
2016-05-27,541.7098388671875
2016-05-31,528.23681640625
2016-06-01,521.2509765625
2016-06-02,532.6280517578125
2016-06-03,526.1412353515625
2016-06-06,537.2188110351562
2016-06-07,538.51611328125
2016-06-08,544.10498046875
2016-06-09,534.3247680664062
2016-06-10,514.8638305664062
2016-06-13,499.8939208984375
2016-06-14,491.3112487792969
2016-06-15,503.98577880859375
2016-06-16,497.74822998046875
2016-06-17,525.1432495117188
2016-06-20,550.5919799804688
2016-06-21,553.7855834960938
2016-06-22,565.561767578125
2016-06-23,577.03857421875
2016-06-24,562.168701171875
2016-06-27,526.9395141601562
2016-06-28,537.9173583984375
2016-06-29,556.1806640625
2016-06-30,563.4659423828125
2016-07-01,580.4318237304688
2016-07-04,570.8510131835938
2016-07-05,559.0748291015625
2016-07-06,561.7693481445312
2016-07-07,570.1524658203125
2016-07-08,585.621337890625
2016-07-11,591.2102661132812
2016-07-12,599.0942993164062
2016-07-13,597.796875
2016-07-14,606.2799072265625
2016-07-15,598.695068359375
2016-07-18,605.2819213867188
2016-07-19,600.5912475585938
2016-07-20,616.2598266601562
2016-07-21,614.7626953125
2016-07-22,612.1680297851562
2016-07-25,613.6650390625
2016-07-26,622.3473510742188
2016-07-27,628.8343505859375
2016-07-28,604.3836669921875
2016-07-29,603.3856201171875
2016-08-01,597.697021484375
2016-08-02,588.4157104492188
2016-08-03,613.0661010742188
2016-08-04,644.7025146484375
2016-08-05,637.3173217773438
2016-08-08,648.0958251953125
2016-08-09,666.8580322265625
2016-08-10,659.5725708007812
2016-08-11,661.26904296875
2016-08-12,655.1814575195312
2016-08-15,655.5805053710938
2016-08-16,651.7882080078125
