Date,MONIFTY500.NS
2023-10-06,17.450000762939453
2023-10-09,17.25
2023-10-10,17.360000610351562
2023-10-11,17.440000534057617
2023-10-12,17.479999542236328
2023-10-13,17.489999771118164
2023-10-16,17.469999313354492
2023-10-17,17.549999237060547
2023-10-18,17.40999984741211
2023-10-19,17.3700008392334
2023-10-20,17.309999465942383
2023-10-23,17.06999969482422
2023-10-25,16.889999389648438
2023-10-26,16.700000762939453
2023-10-27,16.860000610351562
2023-10-30,16.889999389648438
2023-10-31,16.8799991607666
2023-11-01,16.829999923706055
2023-11-02,16.959999084472656
2023-11-03,17.06999969482422
2023-11-06,17.18000030517578
2023-11-07,17.18000030517578
2023-11-08,17.25
2023-11-09,17.209999084472656
2023-11-10,17.280000686645508
2023-11-13,17.399999618530273
2023-11-15,17.520000457763672
2023-11-16,17.6299991607666
2023-11-17,17.600000381469727
2023-11-20,17.6299991607666
2023-11-21,17.670000076293945
2023-11-22,17.649999618530273
2023-11-23,17.65999984741211
2023-11-24,17.639999389648438
2023-11-28,17.790000915527344
2023-11-29,17.809999465942383
2023-11-30,18.010000228881836
2023-12-01,18.209999084472656
2023-12-04,18.549999237060547
2023-12-05,18.579999923706055
2023-12-06,18.739999771118164
2023-12-07,18.809999465942383
2023-12-08,18.700000762939453
2023-12-11,18.81999969482422
2023-12-12,18.790000915527344
2023-12-13,18.770000457763672
2023-12-14,19.020000457763672
2023-12-15,19.200000762939453
2023-12-18,19.260000228881836
2023-12-19,19.270000457763672
2023-12-20,18.950000762939453
2023-12-21,19.049999237060547
2023-12-22,19.059999465942383
2023-12-26,19.260000228881836
2023-12-27,19.350000381469727
2023-12-28,19.40999984741211
2023-12-29,19.440000534057617
2024-01-01,19.559999465942383
2024-01-02,19.549999237060547
2024-01-03,19.489999771118164
2024-01-04,19.600000381469727
2024-01-05,19.6299991607666
2024-01-08,19.520000457763672
2024-01-09,19.549999237060547
2024-01-10,19.559999465942383
2024-01-11,19.6299991607666
2024-01-12,19.709999084472656
2024-01-15,19.989999771118164
2024-01-16,19.90999984741211
2024-01-17,19.59000015258789
2024-01-19,19.600000381469727
2024-01-23,19.649999618530273
2024-01-24,19.520000457763672
2024-01-25,19.450000762939453
2024-01-29,19.649999618530273
2024-01-30,19.459999084472656
2024-01-31,19.75
2024-02-01,19.790000915527344
2024-02-02,19.920000076293945
2024-02-05,19.8700008392334
2024-02-06,19.950000762939453
2024-02-07,20.100000381469727
2024-02-08,20.049999237060547
2024-02-09,20.020000457763672
2024-02-12,19.860000610351562
2024-02-13,19.860000610351562
2024-02-14,19.90999984741211
2024-02-15,20.09000015258789
2024-02-16,20.15999984741211
2024-02-19,20.280000686645508
2024-02-20,20.290000915527344
2024-02-21,20.170000076293945
2024-02-22,20.219999313354492
2024-02-23,20.31999969482422
2024-02-26,20.299999237060547
2024-02-27,20.309999465942383
2024-02-28,20.110000610351562
2024-02-29,20.100000381469727
2024-03-01,20.329999923706055
2024-03-04,20.3700008392334
2024-03-05,20.399999618530273
2024-03-06,20.420000076293945
2024-03-07,20.450000762939453
2024-03-11,20.40999984741211
2024-03-12,20.25
2024-03-13,19.790000915527344
2024-03-14,19.969999313354492
2024-03-15,19.899999618530273
2024-03-18,19.90999984741211
2024-03-19,19.709999084472656
2024-03-20,19.709999084472656
2024-03-21,19.940000534057617
2024-03-22,20.0
2024-03-26,20.06999969482422
2024-03-27,20.149999618530273
2024-03-28,20.25
2024-04-01,20.5
2024-04-02,20.600000381469727
2024-04-03,20.65999984741211
2024-04-04,20.75
2024-04-05,20.739999771118164
2024-04-08,20.81999969482422
2024-04-09,20.8799991607666
2024-04-10,20.950000762939453
2024-04-12,20.959999084472656
2024-04-15,20.600000381469727
2024-04-16,20.510000228881836
2024-04-18,20.43000030517578
2024-04-19,20.479999542236328
2024-04-22,20.6299991607666
2024-04-23,20.690000534057617
2024-04-24,20.780000686645508
2024-04-25,20.889999389648438
2024-04-26,20.920000076293945
2024-04-29,21.010000228881836
2024-04-30,21.1200008392334
2024-05-02,21.15999984741211
2024-05-03,21.18000030517578
2024-05-06,20.959999084472656
2024-05-07,20.790000915527344
2024-05-08,20.809999465942383
2024-05-09,20.510000228881836
2024-05-10,20.6200008392334
2024-05-13,20.65999984741211
2024-05-14,20.790000915527344
2024-05-15,20.889999389648438
2024-05-16,20.989999771118164
2024-05-17,21.139999389648438
2024-05-21,21.299999237060547
2024-05-22,21.3700008392334
2024-05-23,21.520000457763672
2024-05-24,21.610000610351562
2024-05-27,21.700000762939453
2024-05-28,21.56999969482422
2024-05-29,21.510000228881836
2024-05-30,21.200000762939453
2024-05-31,21.260000228881836
2024-06-03,21.850000381469727
2024-06-04,22.0
2024-06-05,21.219999313354492
2024-06-06,21.459999084472656
2024-06-07,21.780000686645508
2024-06-10,21.8700008392334
2024-06-11,21.93000030517578
2024-06-12,22.020000457763672
2024-06-13,22.110000610351562
2024-06-14,22.420000076293945
2024-06-18,22.56999969482422
2024-06-19,22.43000030517578
2024-06-20,22.489999771118164
2024-06-21,22.420000076293945
2024-06-24,22.469999313354492
2024-06-25,22.510000228881836
2024-06-26,22.549999237060547
2024-06-27,22.59000015258789
2024-06-28,22.68000030517578
2024-07-01,22.780000686645508
2024-07-02,22.770000457763672
2024-07-03,22.90999984741211
2024-07-04,23.149999618530273
2024-07-05,23.6200008392334
2024-07-08,23.299999237060547
2024-07-09,23.59000015258789
2024-07-10,23.219999313354492
2024-07-11,23.200000762939453
2024-07-12,23.200000762939453
2024-07-15,23.34000015258789
2024-07-16,23.3700008392334
