Date,GESHIP.NS
2015-08-21,283.61419677734375
2015-08-24,257.636474609375
2015-08-25,270.5890197753906
2015-08-26,272.2580261230469
2015-08-27,268.339599609375
2015-08-28,264.8564758300781
2015-08-31,266.9972229003906
2015-09-01,262.643310546875
2015-09-02,264.13092041015625
2015-09-03,268.8838195800781
2015-09-04,259.55938720703125
2015-09-07,253.3189239501953
2015-09-08,249.11026000976562
2015-09-09,251.9765167236328
2015-09-10,258.65234375
2015-09-11,265.0379333496094
2015-09-14,268.9927062988281
2015-09-15,268.4847412109375
2015-09-16,266.7794494628906
2015-09-18,269.3917541503906
2015-09-21,265.2918701171875
2015-09-22,255.96743774414062
2015-09-23,261.5185546875
2015-09-24,268.448486328125
2015-09-28,265.43701171875
2015-09-29,261.2646179199219
2015-09-30,267.90423583984375
2015-10-01,261.7362976074219
2015-10-05,261.08319091796875
2015-10-06,259.01519775390625
2015-10-07,261.30096435546875
2015-10-08,260.865478515625
2015-10-09,261.4822998046875
2015-10-12,261.9176940917969
2015-10-13,260.79302978515625
2015-10-14,263.2238464355469
2015-10-15,259.4142761230469
2015-10-16,268.4847412109375
2015-10-19,269.6820068359375
2015-10-20,270.0447998046875
2015-10-21,264.7839660644531
2015-10-23,265.47332763671875
2015-10-26,266.6706237792969
2015-10-27,265.00164794921875
2015-10-28,264.96533203125
2015-10-29,271.60491943359375
2015-10-30,274.0358581542969
2015-11-02,277.80914306640625
2015-11-03,271.27838134765625
2015-11-04,274.65252685546875
2015-11-05,269.31915283203125
2015-11-06,270.734130859375
2015-11-09,293.4827575683594
2015-11-10,288.72991943359375
2015-11-13,290.2900085449219
2015-11-16,288.2220153808594
2015-11-17,292.140380859375
2015-11-18,286.5166320800781
2015-11-19,284.6300354003906
2015-11-20,279.47802734375
2015-11-23,279.22406005859375
2015-11-24,271.7500915527344
2015-11-26,273.99951171875
2015-11-27,276.7206726074219
2015-11-30,274.6163635253906
2015-12-01,277.6277160644531
2015-12-02,274.94281005859375
2015-12-03,269.24658203125
2015-12-04,265.1104736328125
2015-12-07,265.1104736328125
2015-12-08,262.2079772949219
2015-12-09,259.2328796386719
2015-12-10,262.8973388671875
2015-12-11,259.2691345214844
2015-12-14,259.1966247558594
2015-12-15,271.8951416015625
2015-12-16,271.4234619140625
2015-12-17,273.201416015625
2015-12-18,266.16265869140625
2015-12-21,273.6366882324219
2015-12-22,264.9290466308594
2015-12-23,266.19891357421875
2015-12-24,268.19439697265625
2015-12-28,272.1128845214844
2015-12-29,265.255615234375
2015-12-30,265.5822448730469
2015-12-31,267.1785583496094
2016-01-01,268.593505859375
2016-01-04,265.5094909667969
2016-01-05,267.0697326660156
2016-01-06,268.0855712890625
2016-01-07,266.0174865722656
2016-01-08,268.0493469238281
2016-01-11,267.6138916015625
2016-01-12,266.16265869140625
2016-01-13,260.1036376953125
2016-01-14,254.9153594970703
2016-01-15,249.6181640625
2016-01-18,240.07606506347656
2016-01-19,241.70883178710938
2016-01-20,235.9762725830078
2016-01-21,236.9196014404297
2016-01-22,242.25299072265625
2016-01-25,244.2847900390625
2016-01-27,239.35044860839844
2016-01-28,243.8494110107422
2016-01-29,244.1034698486328
2016-02-01,244.75643920898438
2016-02-02,243.30517578125
2016-02-03,242.28932189941406
2016-02-04,243.95826721191406
2016-02-05,239.38677978515625
2016-02-08,240.07606506347656
2016-02-09,236.66563415527344
2016-02-10,229.6632537841797
2016-02-11,219.43179321289062
2016-02-12,209.20034790039062
2016-02-15,222.68759155273438
2016-02-16,223.09524536132812
2016-02-17,217.68548583984375
2016-02-18,219.9456787109375
2016-02-19,218.5006866455078
2016-02-22,219.16754150390625
2016-02-23,216.79617309570312
2016-02-24,215.1658477783203
2016-02-25,209.6079864501953
2016-02-26,207.08836364746094
2016-02-29,209.64501953125
2016-03-01,207.19955444335938
2016-03-02,206.05088806152344
2016-03-03,219.0564422607422
2016-03-04,223.16925048828125
2016-03-08,228.46786499023438
2016-03-09,226.3928680419922
2016-03-10,234.76683044433594
2016-03-11,231.3950653076172
2016-03-14,229.72767639160156
2016-03-15,232.69187927246094
2016-03-16,235.24859619140625
2016-03-17,235.1346893310547
2016-03-18,230.96022033691406
2016-03-21,233.95816040039062
2016-03-22,228.37973022460938
2016-03-23,231.52947998046875
2016-03-28,231.79513549804688
2016-03-29,231.4156036376953
2016-03-30,235.43832397460938
2016-03-31,236.65264892578125
2016-04-01,254.71664428710938
2016-04-04,259.95361328125
2016-04-05,249.7831573486328
2016-04-06,248.91036987304688
2016-04-07,252.36373901367188
2016-04-08,253.50218200683594
2016-04-11,245.7225799560547
2016-04-12,249.7451934814453
2016-04-13,249.2139434814453
2016-04-18,256.3863525390625
2016-04-20,249.89706420898438
2016-04-21,253.9955596923828
2016-04-22,250.92166137695312
2016-04-25,254.18533325195312
2016-04-26,252.36373901367188
2016-04-27,253.46420288085938
2016-04-28,249.36572265625
2016-04-29,249.2139434814453
2016-05-02,251.7945098876953
2016-05-03,249.40365600585938
2016-05-04,246.48158264160156
2016-05-05,237.753173828125
2016-05-06,233.12338256835938
2016-05-09,236.7665557861328
2016-05-10,235.0967559814453
2016-05-11,233.5408477783203
2016-05-12,232.81980895996094
2016-05-13,232.85769653320312
2016-05-16,232.55406188964844
2016-05-17,233.0474853515625
2016-05-18,233.12338256835938
2016-05-19,232.55406188964844
2016-05-20,238.1326904296875
2016-05-23,234.5275115966797
2016-05-24,236.5388641357422
2016-05-25,236.57676696777344
2016-05-26,235.66604614257812
2016-05-27,235.8177490234375
2016-05-30,236.007568359375
