Date,VEDL.NS
2015-08-21,32.030357360839844
2015-08-24,27.459421157836914
2015-08-25,29.253938674926758
2015-08-26,28.966142654418945
2015-08-27,30.86223030090332
2015-08-28,32.69060134887695
2015-08-31,33.401634216308594
2015-09-01,32.081146240234375
2015-09-02,31.861066818237305
2015-09-03,33.26620101928711
2015-09-04,31.573265075683594
2015-09-07,30.422061920166016
2015-09-08,31.657917022705078
2015-09-09,33.82487487792969
2015-09-10,33.774085998535156
2015-09-11,32.84296798706055
2015-09-14,34.29889678955078
2015-09-15,32.67367172241211
2015-09-16,33.48628616333008
2015-09-18,33.50320053100586
2015-09-21,33.316986083984375
2015-09-22,31.268531799316406
2015-09-23,32.182716369628906
2015-09-24,32.36894989013672
2015-09-28,30.87915802001953
2015-09-29,29.18622398376465
2015-09-30,28.67833137512207
2015-10-01,28.238182067871094
2015-10-05,28.627552032470703
2015-10-06,29.016923904418945
2015-10-07,30.726791381835938
2015-10-08,31.45475959777832
2015-10-09,35.077640533447266
2015-10-12,37.5493278503418
2015-10-13,36.48277282714844
2015-10-14,36.53357696533203
2015-10-15,36.990665435791016
2015-10-16,36.78750228881836
2015-10-19,36.61820602416992
2015-10-20,34.28196334838867
2015-10-21,35.58552169799805
2015-10-23,34.58669662475586
2015-10-26,35.50087356567383
2015-10-27,35.483943939208984
2015-10-28,35.56859588623047
2015-10-29,36.26270294189453
2015-10-30,34.9850959777832
2015-11-02,33.93502426147461
2015-11-03,34.442562103271484
2015-11-04,34.54756546020508
2015-11-05,32.919944763183594
2015-11-06,32.272396087646484
2015-11-09,32.77994155883789
2015-11-10,31.519845962524414
2015-11-13,30.539775848388672
2015-11-16,31.344829559326172
2015-11-17,32.219905853271484
2015-11-18,31.20482635498047
2015-11-19,32.07988739013672
2015-11-20,32.604923248291016
2015-11-23,31.659852981567383
2015-11-24,31.57234764099121
2015-11-26,31.589847564697266
2015-11-27,32.16739273071289
2015-11-30,31.554851531982422
2015-12-01,32.95494842529297
2015-12-02,32.98994445800781
2015-12-03,32.23739242553711
2015-12-04,32.02738571166992
2015-12-07,31.93987274169922
2015-12-08,30.504762649536133
2015-12-09,28.789636611938477
2015-12-10,29.08716583251953
2015-12-11,29.209671020507812
2015-12-14,29.507192611694336
2015-12-15,29.33218765258789
2015-12-16,29.41968536376953
2015-12-17,30.504762649536133
2015-12-18,29.507192611694336
2015-12-21,30.29475212097168
2015-12-22,30.119739532470703
2015-12-23,31.257326126098633
2015-12-24,32.184898376464844
2015-12-28,32.16739273071289
2015-12-29,32.184898376464844
2015-12-30,32.184898376464844
2015-12-31,31.642353057861328
2016-01-01,32.07988739013672
2016-01-04,31.134811401367188
2016-01-05,32.34239959716797
2016-01-06,31.117311477661133
2016-01-07,28.404611587524414
2016-01-08,28.369604110717773
2016-01-11,29.75221824645996
2016-01-12,29.48969078063965
2016-01-13,28.33460807800293
2016-01-14,27.77456283569336
2016-01-15,25.499393463134766
2016-01-18,24.046791076660156
2016-01-19,24.239303588867188
2016-01-20,22.366666793823242
2016-01-21,21.84162712097168
2016-01-22,22.646686553955078
2016-01-25,22.541677474975586
2016-01-27,22.3316593170166
2016-01-28,23.556753158569336
2016-01-29,25.11437225341797
2016-02-01,24.641828536987305
2016-02-02,22.716693878173828
2016-02-03,21.579105377197266
2016-02-04,23.71426010131836
2016-02-05,25.866928100585938
2016-02-08,25.096860885620117
2016-02-09,24.414316177368164
2016-02-10,23.539247512817383
2016-02-11,21.806621551513672
2016-02-12,22.139144897460938
2016-02-15,26.251956939697266
2016-02-16,24.974353790283203
2016-02-17,26.04193687438965
2016-02-18,26.549474716186523
2016-02-19,26.129436492919922
2016-02-22,25.93692398071289
2016-02-23,25.56940269470215
2016-02-24,24.816850662231445
2016-02-25,24.36180877685547
2016-02-26,25.131868362426758
2016-02-29,24.711835861206055
2016-03-01,26.234453201293945
2016-03-02,27.354536056518555
2016-03-03,29.384689331054688
2016-03-04,30.59227752685547
2016-03-08,31.624847412109375
2016-03-09,30.749784469604492
2016-03-10,30.88979721069336
2016-03-11,30.57477569580078
2016-03-14,31.152315139770508
2016-03-15,30.837291717529297
2016-03-16,30.207242965698242
2016-03-17,30.189743041992188
2016-03-18,32.307403564453125
2016-03-21,32.90244674682617
2016-03-22,33.6724967956543
2016-03-23,33.9000244140625
2016-03-28,30.784793853759766
2016-03-29,30.69727897644043
2016-03-30,32.07988739013672
2016-03-31,31.449831008911133
2016-04-01,31.519845962524414
2016-04-04,31.729854583740234
2016-04-05,30.049734115600586
2016-04-06,30.644777297973633
2016-04-07,30.032224655151367
2016-04-08,30.609769821166992
2016-04-11,31.607357025146484
2016-04-12,31.71235466003418
2016-04-13,32.90244674682617
2016-04-18,34.127540588378906
2016-04-20,37.22526168823242
2016-04-21,36.77023696899414
2016-04-22,36.71773147583008
2016-04-25,35.70265579223633
2016-04-26,37.26026916503906
2016-04-27,36.700225830078125
2016-04-28,34.93259811401367
2016-04-29,36.33270263671875
2016-05-02,38.74789047241211
2016-05-03,38.502864837646484
2016-05-04,36.63022232055664
2016-05-05,36.64772033691406
2016-05-06,36.24518966674805
2016-05-09,36.297698974609375
2016-05-10,35.212615966796875
2016-05-11,34.88009262084961
2016-05-12,36.017677307128906
2016-05-13,34.302555084228516
2016-05-16,34.9850959777832
2016-05-17,35.02010726928711
2016-05-18,34.74007797241211
2016-05-19,33.23497009277344
2016-05-20,33.93502426147461
2016-05-23,34.127540588378906
2016-05-24,33.88251495361328
2016-05-25,34.75758361816406
2016-05-26,36.42021179199219
