Date,LT.NS
2015-08-03,1026.14892578125
2015-08-04,1023.4671630859375
2015-08-05,1026.2642822265625
2015-08-06,1055.76171875
2015-08-07,1057.318603515625
2015-08-10,1049.99462890625
2015-08-11,1038.69189453125
2015-08-12,1016.4029541015625
2015-08-13,1015.0476684570312
2015-08-14,1037.7403564453125
2015-08-17,1026.69677734375
2015-08-18,1038.115234375
2015-08-19,1046.5059814453125
2015-08-20,1027.5616455078125
2015-08-21,1003.4275512695312
2015-08-24,940.8862915039062
2015-08-25,936.9071655273438
2015-08-26,918.1939697265625
2015-08-27,934.25439453125
2015-08-28,932.1785888671875
2015-08-31,924.364501953125
2015-09-01,907.614990234375
2015-09-02,889.9917602539062
2015-09-03,913.9652709960938
2015-09-04,893.6036987304688
2015-09-07,879.4175415039062
2015-09-08,911.4600830078125
2015-09-09,927.7725830078125
2015-09-10,941.0845947265625
2015-09-11,933.8604736328125
2015-09-14,935.6083374023438
2015-09-15,907.7607421875
2015-09-16,902.2551879882812
2015-09-18,897.5362548828125
2015-09-21,903.1581420898438
2015-09-22,865.1151733398438
2015-09-23,871.1449584960938
2015-09-24,852.0068969726562
2015-09-28,833.1309814453125
2015-09-29,842.569091796875
2015-09-30,854.220703125
2015-10-01,868.1156005859375
2015-10-05,903.3912963867188
2015-10-06,905.8380737304688
2015-10-07,899.9539794921875
2015-10-08,893.5162963867188
2015-10-09,900.9152221679688
2015-10-12,905.3428955078125
2015-10-13,900.5657958984375
2015-10-14,897.390625
2015-10-15,909.1297607421875
2015-10-16,935.0257568359375
2015-10-19,920.9562377929688
2015-10-20,916.7325439453125
2015-10-21,903.2747802734375
2015-10-23,879.8837890625
2015-10-26,878.8060913085938
2015-10-27,870.8245849609375
2015-10-28,869.6593627929688
2015-10-29,856.8423461914062
2015-10-30,821.8870239257812
2015-11-02,809.0119018554688
2015-11-03,800.0690307617188
2015-11-04,797.0394897460938
2015-11-05,797.534912109375
2015-11-06,802.370361328125
2015-11-09,791.7672119140625
2015-11-10,785.5626831054688
2015-11-13,775.5421142578125
2015-11-16,790.6602783203125
2015-11-17,787.5143432617188
2015-11-18,783.26123046875
2015-11-19,791.7089233398438
2015-11-20,796.3114624023438
2015-11-23,797.5056762695312
2015-11-24,781.5718383789062
2015-11-26,776.3869018554688
2015-11-27,795.233642578125
2015-11-30,800.8265380859375
2015-12-01,795.1463012695312
2015-12-02,788.8251342773438
2015-12-03,785.2422485351562
2015-12-04,780.58154296875
2015-12-07,781.3388671875
2015-12-08,770.2405395507812
2015-12-09,757.773193359375
2015-12-10,763.7446899414062
2015-12-11,749.0633544921875
2015-12-14,742.451171875
2015-12-15,747.577880859375
2015-12-16,746.2379150390625
2015-12-17,755.1516723632812
2015-12-18,750.0247802734375
2015-12-21,751.7141723632812
2015-12-22,745.830078125
2015-12-23,752.1221313476562
2015-12-24,754.1611328125
2015-12-28,754.5397338867188
2015-12-29,751.2772827148438
2015-12-30,747.752685546875
2015-12-31,743.062744140625
2016-01-01,751.0733642578125
2016-01-04,731.7023315429688
2016-01-05,732.2557983398438
2016-01-06,720.5748901367188
2016-01-07,702.8351440429688
2016-01-08,686.9303588867188
2016-01-11,683.5804443359375
2016-01-12,686.9595947265625
2016-01-13,673.9095458984375
2016-01-14,661.0343627929688
2016-01-15,645.4501342773438
2016-01-18,631.263916015625
2016-01-19,654.2179565429688
2016-01-20,650.2272338867188
2016-01-21,642.4205932617188
2016-01-22,665.4329223632812
2016-01-25,649.09130859375
2016-01-27,645.391845703125
2016-01-28,625.9915771484375
2016-01-29,641.8088989257812
2016-02-01,653.6936645507812
2016-02-02,653.6062622070312
2016-02-03,645.9744262695312
2016-02-04,661.6461181640625
2016-02-05,664.0928344726562
2016-02-08,658.5001220703125
2016-02-09,649.120361328125
2016-02-10,652.8489379882812
2016-02-11,636.4198608398438
2016-02-12,613.8446044921875
2016-02-15,669.6276245117188
2016-02-16,643.1778564453125
2016-02-17,653.9266357421875
2016-02-18,669.7731323242188
2016-02-19,670.2684326171875
2016-02-22,669.8314208984375
2016-02-23,658.4126586914062
2016-02-24,648.3629760742188
2016-02-25,632.9534912109375
2016-02-26,647.0521240234375
2016-02-29,626.8654174804688
2016-03-01,654.8005981445312
2016-03-02,662.9276123046875
2016-03-03,703.2427978515625
2016-03-04,695.1448364257812
2016-03-08,691.7949829101562
2016-03-09,706.5927734375
2016-03-10,691.0377197265625
2016-03-11,690.7463989257812
2016-03-14,689.901611328125
2016-03-15,687.8916625976562
2016-03-16,689.3189697265625
2016-03-17,695.1740112304688
