Date,FFIV
2015-08-03,131.1999969482422
2015-08-04,131.36000061035156
2015-08-05,132.1999969482422
2015-08-06,129.85000610351562
2015-08-07,130.36000061035156
2015-08-10,132.33999633789062
2015-08-11,131.3699951171875
2015-08-12,132.7100067138672
2015-08-13,131.6300048828125
2015-08-14,132.61000061035156
2015-08-17,133.86000061035156
2015-08-18,133.0
2015-08-19,132.75
2015-08-20,126.55999755859375
2015-08-21,122.51000213623047
2015-08-24,117.47000122070312
2015-08-25,117.47000122070312
2015-08-26,122.44999694824219
2015-08-27,122.79000091552734
2015-08-28,122.97000122070312
2015-08-31,121.41000366210938
2015-09-01,118.38999938964844
2015-09-02,121.0
2015-09-03,121.23999786376953
2015-09-04,118.83999633789062
2015-09-08,121.70999908447266
2015-09-09,119.88999938964844
2015-09-10,119.73999786376953
2015-09-11,118.16999816894531
2015-09-14,117.08999633789062
2015-09-15,118.16999816894531
2015-09-16,119.12000274658203
2015-09-17,118.22000122070312
2015-09-18,115.18000030517578
2015-09-21,115.80999755859375
2015-09-22,113.30000305175781
2015-09-23,113.9000015258789
2015-09-24,115.87000274658203
2015-09-25,114.7699966430664
2015-09-28,114.08000183105469
2015-09-29,115.0
2015-09-30,115.80000305175781
2015-10-01,116.97000122070312
2015-10-02,119.83000183105469
2015-10-05,122.94000244140625
2015-10-06,117.95999908447266
2015-10-07,118.61000061035156
2015-10-08,118.93000030517578
2015-10-09,119.2699966430664
2015-10-12,119.4000015258789
2015-10-13,120.62000274658203
2015-10-14,117.47000122070312
2015-10-15,116.62999725341797
2015-10-16,118.30999755859375
2015-10-19,118.51000213623047
2015-10-20,119.9800033569336
2015-10-21,117.06999969482422
2015-10-22,120.54000091552734
2015-10-23,119.5
2015-10-26,119.94000244140625
2015-10-27,120.29000091552734
2015-10-28,121.33999633789062
2015-10-29,110.08000183105469
2015-10-30,110.19999694824219
2015-11-02,110.6500015258789
2015-11-03,112.77999877929688
2015-11-04,111.01000213623047
2015-11-05,109.5999984741211
2015-11-06,109.66999816894531
2015-11-09,109.5
2015-11-10,107.37999725341797
2015-11-11,107.87000274658203
2015-11-12,106.30999755859375
2015-11-13,101.97000122070312
2015-11-16,104.93000030517578
2015-11-17,104.0199966430664
2015-11-18,104.12999725341797
2015-11-19,103.47000122070312
2015-11-20,103.58999633789062
2015-11-23,102.8499984741211
2015-11-24,102.81999969482422
2015-11-25,102.79000091552734
2015-11-27,103.0
2015-11-30,103.0
2015-12-01,103.98999786376953
2015-12-02,104.81999969482422
2015-12-03,102.41999816894531
2015-12-04,104.61000061035156
2015-12-07,104.01000213623047
2015-12-08,103.44999694824219
2015-12-09,100.33999633789062
2015-12-10,99.05999755859375
2015-12-11,97.55999755859375
2015-12-14,96.30999755859375
2015-12-15,99.75
2015-12-16,100.5
2015-12-17,98.94000244140625
2015-12-18,97.62999725341797
2015-12-21,97.38999938964844
2015-12-22,97.44000244140625
2015-12-23,97.69000244140625
2015-12-24,97.44000244140625
2015-12-28,97.0
2015-12-29,97.55000305175781
2015-12-30,98.05999755859375
2015-12-31,96.95999908447266
2016-01-04,96.93000030517578
2016-01-05,96.5199966430664
2016-01-06,95.0199966430664
2016-01-07,91.81999969482422
2016-01-08,92.12999725341797
2016-01-11,93.5199966430664
2016-01-12,92.61000061035156
2016-01-13,94.0
2016-01-14,94.16000366210938
2016-01-15,93.5199966430664
2016-01-19,93.5
2016-01-20,90.0199966430664
2016-01-21,89.51000213623047
2016-01-22,93.7699966430664
2016-01-25,93.91999816894531
2016-01-26,96.41000366210938
2016-01-27,95.33999633789062
2016-01-28,92.5
2016-01-29,93.77999877929688
2016-02-01,94.01000213623047
2016-02-02,90.93000030517578
2016-02-03,91.19000244140625
2016-02-04,92.05000305175781
2016-02-05,90.22000122070312
2016-02-08,88.18000030517578
2016-02-09,87.61000061035156
2016-02-10,87.55000305175781
2016-02-11,86.95999908447266
2016-02-12,87.83000183105469
2016-02-16,89.51000213623047
2016-02-17,91.5199966430664
2016-02-18,91.87000274658203
2016-02-19,92.66999816894531
2016-02-22,94.56999969482422
2016-02-23,93.52999877929688
2016-02-24,94.30000305175781
2016-02-25,95.94999694824219
2016-02-26,97.12000274658203
2016-02-29,96.16999816894531
2016-03-01,98.66000366210938
2016-03-02,100.13999938964844
2016-03-03,100.47000122070312
2016-03-04,99.79000091552734
2016-03-07,100.87000274658203
2016-03-08,99.7699966430664
2016-03-09,99.79000091552734
2016-03-10,98.45999908447266
2016-03-11,100.66000366210938
2016-03-14,99.43000030517578
2016-03-15,99.0
2016-03-16,99.77999877929688
