Date,KO
2015-08-03,30.287330627441406
2015-08-04,30.51336097717285
2015-08-05,30.710216522216797
2015-08-06,30.56439208984375
2015-08-07,30.455028533935547
2015-08-10,30.389413833618164
2015-08-11,30.24358367919922
2015-08-12,30.08317756652832
2015-08-13,29.966524124145508
2015-08-14,30.075885772705078
2015-08-17,30.148799896240234
2015-08-18,30.112346649169922
2015-08-19,29.733213424682617
2015-08-20,29.56551742553711
2015-08-21,28.821823120117188
2015-08-24,27.98334312438965
2015-08-25,27.698986053466797
2015-08-26,28.2385311126709
2015-08-27,28.63224983215332
2015-08-28,28.763498306274414
2015-08-31,28.668699264526367
2015-09-01,28.25311279296875
2015-09-02,28.362472534179688
2015-09-03,28.55204963684082
2015-09-04,28.085412979125977
2015-09-08,28.362472534179688
2015-09-09,27.92500877380371
2015-09-10,28.012510299682617
2015-09-11,28.041929244995117
2015-09-14,28.01984977722168
2015-09-15,28.314023971557617
2015-09-16,28.79205894470215
2015-09-17,28.961200714111328
2015-09-18,28.667034149169922
2015-09-21,28.82146644592285
2015-09-22,28.52730369567871
2015-09-23,28.505239486694336
2015-09-24,28.79205894470215
2015-09-25,29.13770866394043
2015-09-28,29.07152557373047
2015-09-29,29.16712760925293
2015-09-30,29.505422592163086
2015-10-01,29.270092010498047
2015-10-02,29.703983306884766
2015-10-05,30.15996551513672
2015-10-06,30.12317657470703
2015-10-07,30.535032272338867
2015-10-08,30.873319625854492
2015-10-09,30.902742385864258
2015-10-12,30.88804054260254
2015-10-13,30.6306209564209
2015-10-14,30.65269660949707
2015-10-15,30.829191207885742
2015-10-16,30.902742385864258
2015-10-19,30.88068199157715
2015-10-20,31.101306915283203
2015-10-21,31.02776336669922
2015-10-22,31.799972534179688
2015-10-23,31.469024658203125
2015-10-26,31.32193374633789
2015-10-27,31.33664321899414
2015-10-28,31.424884796142578
2015-10-29,31.469024658203125
2015-10-30,31.14542579650879
2015-11-02,31.06453514099121
2015-11-03,31.005695343017578
2015-11-04,30.865978240966797
2015-11-05,31.13072395324707
2015-11-06,30.858604431152344
2015-11-09,30.549728393554688
2015-11-10,30.718873977661133
2015-11-11,30.917448043823242
2015-11-12,30.579143524169922
2015-11-13,30.432058334350586
2015-11-16,30.858604431152344
2015-11-17,30.64534568786621
2015-11-18,31.093952178955078
2015-11-19,31.70435333251953
2015-11-20,31.204267501831055
2015-11-23,31.594036102294922
2015-11-24,31.88822364807129
2015-11-25,31.88822364807129
2015-11-27,31.977149963378906
2015-11-30,31.58437728881836
2015-12-01,31.784475326538086
2015-12-02,31.695539474487305
2015-12-03,31.465803146362305
2015-12-04,32.080894470214844
2015-12-07,32.01420593261719
2015-12-08,31.873390197753906
2015-12-09,31.614023208618164
2015-12-10,31.688125610351562
2015-12-11,31.32500648498535
2015-12-14,31.458396911621094
2015-12-15,31.91785430908203
2015-12-16,32.48848342895508
2015-12-17,32.22910690307617
2015-12-18,31.49544906616211
2015-12-21,31.70294189453125
2015-12-22,32.080894470214844
2015-12-23,32.36248779296875
2015-12-24,32.266151428222656
2015-12-28,32.22910690307617
2015-12-29,32.39213180541992
2015-12-30,32.28839874267578
2015-12-31,31.83633804321289
2016-01-04,31.421335220336914
2016-01-05,31.532495498657227
2016-01-06,31.36205291748047
2016-01-07,30.843307495117188
2016-01-08,30.76179313659668
2016-01-11,30.813657760620117
2016-01-12,31.21382713317871
2016-01-13,31.013755798339844
2016-01-14,31.035987854003906
2016-01-15,30.754377365112305
2016-01-19,31.065624237060547
2016-01-20,30.665443420410156
2016-01-21,30.6728572845459
2016-01-22,31.169384002685547
2016-01-25,31.243480682373047
2016-01-26,31.184202194213867
2016-01-27,31.191621780395508
2016-01-28,31.547317504882812
2016-01-29,31.80669593811035
2016-02-01,31.865995407104492
2016-02-02,31.45098304748535
2016-02-03,31.658491134643555
2016-02-04,31.517669677734375
2016-02-05,31.45098304748535
2016-02-08,31.606616973876953
2016-02-09,32.08830261230469
2016-02-10,31.532495498657227
2016-02-11,31.428749084472656
2016-02-12,31.947500228881836
2016-02-16,32.13277053833008
2016-02-17,32.22910690307617
2016-02-18,32.31803512573242
2016-02-19,32.436614990234375
2016-02-22,32.56258010864258
2016-02-23,32.3773193359375
2016-02-24,32.540348052978516
2016-02-25,32.725624084472656
2016-02-26,31.969728469848633
2016-02-29,31.96232032775879
2016-03-01,32.3773193359375
2016-03-02,32.436614990234375
2016-03-03,32.57740783691406
2016-03-04,32.688575744628906
