Date,HINDUNILVR.NS
2015-08-21,754.7713623046875
2015-08-24,726.6002197265625
2015-08-25,739.234375
2015-08-26,729.8867797851562
2015-08-27,732.2769775390625
2015-08-28,729.4599609375
2015-08-31,734.92333984375
2015-09-01,728.81982421875
2015-09-02,709.057373046875
2015-09-03,711.7464599609375
2015-09-04,708.5452270507812
2015-09-07,699.8801879882812
2015-09-08,683.8740234375
2015-09-09,685.5387573242188
2015-09-10,674.5265502929688
2015-09-11,678.8801879882812
2015-09-14,678.4533081054688
2015-09-15,686.86181640625
2015-09-16,688.7826538085938
2015-09-18,681.0996704101562
2015-09-21,674.9959106445312
2015-09-22,670.8983764648438
2015-09-23,670.1300048828125
2015-09-24,667.31298828125
2015-09-28,674.9532470703125
2015-09-29,669.5750732421875
2015-09-30,695.526611328125
2015-10-01,696.9352416992188
2015-10-05,691.3009033203125
2015-10-06,707.947509765625
2015-10-07,703.0387573242188
2015-10-08,701.6304931640625
2015-10-09,698.301025390625
2015-10-12,695.6119384765625
2015-10-13,693.9473876953125
2015-10-14,680.5448608398438
2015-10-15,675.7214965820312
2015-10-16,670.1300048828125
2015-10-19,683.3862915039062
2015-10-20,677.5328979492188
2015-10-21,680.3303833007812
2015-10-23,688.8093872070312
2015-10-26,696.039794921875
2015-10-27,699.0958862304688
2015-10-28,704.561767578125
2015-10-29,689.8851928710938
2015-10-30,689.1967163085938
2015-11-02,691.0044555664062
2015-11-03,692.4677734375
2015-11-04,689.4979248046875
2015-11-05,690.9182739257812
2015-11-06,687.8193969726562
2015-11-09,690.875244140625
2015-11-10,691.6929931640625
2015-11-13,685.7965087890625
2015-11-16,674.9503784179688
2015-11-17,687.1737670898438
2015-11-18,683.0419921875
2015-11-19,683.9888916015625
2015-11-20,687.0446166992188
2015-11-23,681.0621337890625
2015-11-24,698.9237670898438
2015-11-26,699.35400390625
2015-11-27,702.5819702148438
2015-11-30,698.966796875
2015-12-01,717.3877563476562
2015-12-02,714.3749389648438
2015-12-03,702.9263305664062
2015-12-04,701.5061645507812
2015-12-07,717.4738159179688
2015-12-08,710.8026123046875
2015-12-09,705.9822998046875
2015-12-10,702.323974609375
2015-12-11,707.6608276367188
2015-12-14,722.2081909179688
2015-12-15,739.079833984375
2015-12-16,736.3253173828125
2015-12-17,743.943115234375
2015-12-18,737.74560546875
2015-12-21,733.0541381835938
2015-12-22,732.9251708984375
2015-12-23,743.08251953125
2015-12-24,743.943115234375
2015-12-28,745.3204956054688
2015-12-29,738.4772338867188
2015-12-30,738.0900268554688
2015-12-31,742.6521606445312
2016-01-01,737.315185546875
2016-01-04,739.4241333007812
2016-01-05,729.912353515625
2016-01-06,725.6943969726562
2016-01-07,706.0682983398438
2016-01-08,697.1157836914062
2016-01-11,698.7514038085938
2016-01-12,705.5947265625
2016-01-13,716.8281860351562
2016-01-14,712.09375
2016-01-15,692.29541015625
2016-01-18,697.201904296875
2016-01-19,697.6325073242188
2016-01-20,684.3760986328125
2016-01-21,667.6336669921875
2016-01-22,664.1044921875
2016-01-25,674.2619018554688
2016-01-27,661.0054321289062
