Date,UNOMINDA.NS
2015-08-21,17.968061447143555
2015-08-24,16.033679962158203
2015-08-25,16.31620979309082
2015-08-26,16.675804138183594
2015-08-27,16.969572067260742
2015-08-28,16.778539657592773
2015-08-31,16.88128089904785
2015-09-01,16.61319351196289
2015-09-02,16.26323890686035
2015-09-03,16.68703269958496
2015-09-04,16.117156982421875
2015-09-07,15.874757766723633
2015-09-08,15.849074363708496
2015-09-09,16.312997817993164
2015-09-10,16.341901779174805
2015-09-11,16.50563621520996
2015-09-14,16.383636474609375
2015-09-15,16.13802719116211
2015-09-16,16.086660385131836
2015-09-18,16.15728759765625
2015-09-21,16.847566604614258
2015-09-22,16.587509155273438
2015-09-23,16.871644973754883
2015-09-24,16.640483856201172
2015-09-28,16.581085205078125
2015-09-29,16.48476791381836
2015-09-30,16.372398376464844
2015-10-01,16.28731346130371
2015-10-05,16.272871017456055
2015-10-06,16.223106384277344
2015-10-07,16.23594856262207
2015-10-08,16.17815589904785
2015-10-09,16.051340103149414
2015-10-12,16.155683517456055
2015-10-13,16.37881851196289
2015-10-14,16.459087371826172
2015-10-15,16.431795120239258
2015-10-16,16.32423973083496
2015-10-19,16.521692276000977
2015-10-20,16.383636474609375
2015-10-21,16.41092300415039
2015-10-23,16.253602981567383
2015-10-26,16.41734504699707
2015-10-27,16.51526641845703
2015-10-28,16.436613082885742
2015-10-29,16.50885009765625
2015-10-30,16.698274612426758
2015-11-02,18.27146339416504
2015-11-03,18.61980628967285
2015-11-04,22.34248924255371
2015-11-05,22.684417724609375
2015-11-06,23.99755096435547
2015-11-09,23.687726974487305
2015-11-10,23.288005828857422
2015-11-13,23.45014190673828
2015-11-16,24.024839401245117
2015-11-17,23.857887268066406
2015-11-18,23.665250778198242
2015-11-19,23.995941162109375
2015-11-20,26.094058990478516
2015-11-23,27.400772094726562
2015-11-24,26.976970672607422
2015-11-26,29.567914962768555
2015-11-27,28.349502563476562
2015-11-30,27.802095413208008
2015-12-01,28.476318359375
2015-12-02,28.61758804321289
2015-12-03,28.320606231689453
2015-12-04,27.769989013671875
2015-12-07,27.590198516845703
2015-12-08,27.246658325195312
2015-12-09,25.95921516418457
2015-12-10,27.129474639892578
2015-12-11,26.37017059326172
2015-12-14,27.68811798095703
2015-12-15,28.495576858520508
2015-12-16,28.392845153808594
2015-12-17,28.4024715423584
2015-12-18,28.196998596191406
2015-12-21,28.068574905395508
2015-12-22,29.20191192626953
2015-12-23,28.863197326660156
2015-12-24,28.996435165405273
2015-12-28,29.269330978393555
2015-12-29,28.975563049316406
2015-12-30,30.001346588134766
2015-12-31,29.701156616210938
2016-01-01,29.4459171295166
2016-01-04,30.240537643432617
2016-01-05,30.165090560913086
2016-01-06,29.392940521240234
2016-01-07,27.92409324645996
2016-01-08,28.518056869506836
2016-01-11,28.829483032226562
2016-01-12,27.721830368041992
2016-01-13,26.91757583618164
2016-01-14,26.04108428955078
2016-01-15,25.95279312133789
2016-01-18,23.711801528930664
2016-01-19,24.93503761291504
2016-01-20,24.288105010986328
2016-01-21,24.422950744628906
2016-01-22,25.272151947021484
2016-01-25,25.896608352661133
2016-01-27,25.882164001464844
2016-01-28,25.7152099609375
2016-01-29,26.00095558166504
2016-02-01,26.241744995117188
2016-02-02,26.720129013061523
2016-02-03,28.9129581451416
2016-02-04,28.368762969970703
2016-02-05,28.318998336791992
2016-02-08,28.100685119628906
2016-02-09,27.182449340820312
2016-02-10,26.75383758544922
2016-02-11,25.212020874023438
2016-02-12,24.89463233947754
2016-02-15,26.32206153869629
2016-02-16,24.562746047973633
2016-02-17,24.248584747314453
2016-02-18,24.791519165039062
2016-02-19,25.311908721923828
2016-02-22,25.2136287689209
2016-02-23,24.70935821533203
2016-02-24,24.274362564086914
2016-02-25,25.125022888183594
2016-02-26,25.75012969970703
2016-02-29,24.75124168395996
2016-03-01,26.76189613342285
2016-03-02,26.555675506591797
2016-03-03,27.153390884399414
2016-03-04,31.944786071777344
2016-03-08,30.612407684326172
2016-03-09,30.307910919189453
2016-03-10,29.455646514892578
2016-03-11,29.444364547729492
2016-03-14,29.860027313232422
2016-03-15,29.36542320251465
2016-03-16,30.14358139038086
2016-03-17,30.11618423461914
2016-03-18,29.97119903564453
2016-03-21,29.851972579956055
2016-03-22,32.8018913269043
2016-03-23,30.69618797302246
2016-03-28,30.233802795410156
2016-03-29,29.98085594177246
2016-03-30,30.757402420043945
2016-03-31,32.300838470458984
2016-04-01,32.2154541015625
2016-04-04,32.34916687011719
2016-04-05,32.49094009399414
2016-04-06,32.62306213378906
2016-04-07,32.41038513183594
2016-04-08,32.138118743896484
2016-04-11,32.708438873291016
2016-04-12,32.83732986450195
2016-04-13,32.51995086669922
2016-04-18,32.39588928222656
2016-04-20,32.4119987487793
2016-04-21,32.31211853027344
2016-04-22,32.25411605834961
2016-04-25,32.24283218383789
2016-04-26,32.34756088256836
2016-04-27,32.37656784057617
2016-04-28,32.168724060058594
2016-04-29,32.07689666748047
2016-05-02,32.41360855102539
2016-05-03,32.42166519165039
2016-05-04,32.115562438964844
2016-05-05,32.65205383300781
2016-05-06,32.26055908203125
2016-05-09,33.945762634277344
2016-05-10,33.963478088378906
2016-05-11,34.082706451416016
2016-05-12,34.657867431640625
2016-05-13,34.84153366088867
2016-05-16,34.9881477355957
2016-05-17,35.17180633544922
2016-05-18,35.41991424560547
2016-05-19,35.24269485473633
2016-05-20,35.619693756103516
2016-05-23,37.242061614990234
2016-05-24,36.43168640136719
2016-05-25,37.6641731262207
2016-05-26,37.694786071777344
