Date,LUND-B.ST
2015-08-24,173.859130859375
2015-08-25,177.4927215576172
2015-08-26,178.87254333496094
2015-08-27,182.41412353515625
2015-08-28,183.24203491210938
2015-08-31,187.61148071289062
2015-09-01,183.19601440429688
2015-09-02,184.5298614501953
2015-09-03,188.20944213867188
2015-09-04,184.62185668945312
2015-09-07,185.95570373535156
2015-09-08,187.10557556152344
2015-09-09,189.08331298828125
2015-09-10,188.347412109375
2015-09-11,187.65750122070312
2015-09-14,185.49574279785156
2015-09-15,184.75985717773438
2015-09-16,188.1634521484375
2015-09-17,188.02545166015625
2015-09-18,185.8637237548828
2015-09-21,186.73760986328125
2015-09-22,182.92007446289062
2015-09-23,184.62185668945312
2015-09-24,181.86221313476562
2015-09-25,184.85182189941406
2015-09-28,181.4482421875
2015-09-29,181.58621215820312
2015-09-30,185.72573852539062
2015-10-01,183.4259796142578
2015-10-02,184.7138671875
2015-10-05,188.9453582763672
2015-10-06,190.18719482421875
2015-10-07,188.11744689941406
2015-10-08,190.04922485351562
2015-10-09,191.7510223388672
2015-10-12,194.74063110351562
2015-10-13,191.98097229003906
2015-10-14,188.5313720703125
2015-10-15,189.26731872558594
2015-10-16,189.17532348632812
2015-10-19,190.6011505126953
2015-10-20,191.47503662109375
2015-10-21,188.99131774902344
2015-10-22,192.21095275878906
2015-10-23,195.9365234375
2015-10-26,196.94837951660156
2015-10-27,196.8563995361328
2015-10-28,199.52406311035156
2015-10-29,199.43209838867188
2015-10-30,200.39797973632812
2015-11-02,200.9038848876953
2015-11-03,202.46771240234375
2015-11-04,205.04342651367188
2015-11-05,207.3891143798828
2015-11-06,209.5968780517578
2015-11-09,208.9989471435547
2015-11-10,207.80308532714844
2015-11-11,208.9989471435547
2015-11-12,207.5730743408203
2015-11-13,206.28524780273438
2015-11-16,207.06716918945312
2015-11-17,209.18289184570312
2015-11-18,207.94107055664062
2015-11-19,209.5968780517578
2015-11-20,209.18289184570312
2015-11-23,208.6309814453125
2015-11-24,206.60723876953125
2015-11-25,206.92916870117188
2015-11-26,208.40101623535156
2015-11-27,208.1710205078125
2015-11-30,214.3343048095703
2015-12-01,216.9559783935547
2015-12-02,219.3477020263672
2015-12-03,214.88626098632812
2015-12-04,215.11619567871094
2015-12-07,218.42779541015625
2015-12-08,213.9203643798828
2015-12-09,211.48263549804688
2015-12-10,210.83871459960938
2015-12-11,206.92916870117188
2015-12-14,206.92916870117188
2015-12-15,210.60873413085938
2015-12-16,210.14878845214844
2015-12-17,210.14878845214844
2015-12-18,210.19479370117188
2015-12-21,207.94107055664062
2015-12-22,207.94107055664062
2015-12-23,211.48263549804688
2015-12-28,211.48263549804688
2015-12-29,214.84022521972656
2015-12-30,214.84022521972656
2016-01-04,209.7808380126953
2016-01-05,209.872802734375
2016-01-07,203.20361328125
2016-01-08,201.82379150390625
2016-01-11,200.39797973632812
2016-01-12,203.8475341796875
2016-01-13,203.9855499267578
2016-01-14,199.0181427001953
2016-01-15,194.60267639160156
2016-01-18,192.9468536376953
2016-01-19,195.98251342773438
2016-01-20,190.18719482421875
2016-01-21,192.3029327392578
2016-01-22,197.45431518554688
2016-01-25,198.09825134277344
2016-01-26,198.69615173339844
2016-01-27,198.42018127441406
2016-01-28,198.42018127441406
2016-01-29,201.3638458251953
2016-02-01,198.09825134277344
2016-02-02,197.08636474609375
2016-02-03,194.41868591308594
2016-02-04,194.2806854248047
2016-02-05,191.7510223388672
2016-02-08,184.11590576171875
2016-02-09,186.82960510253906
2016-02-10,189.35928344726562
2016-02-11,185.1737823486328
2016-02-12,188.7153778076172
2016-02-15,193.82073974609375
2016-02-16,191.42906188964844
2016-02-17,195.9365234375
2016-02-18,196.0284881591797
2016-02-19,195.7985076904297
2016-02-22,198.32821655273438
2016-02-23,196.25845336914062
2016-02-24,196.53445434570312
2016-02-25,199.70803833007812
2016-02-26,200.67391967773438
2016-02-29,199.1561279296875
2016-03-01,202.6977081298828
2016-03-02,200.1220245361328
2016-03-03,199.29409790039062
2016-03-04,200.85792541503906
2016-03-07,198.69615173339844
2016-03-08,197.08636474609375
2016-03-09,197.45431518554688
2016-03-10,195.84449768066406
2016-03-11,198.55819702148438
2016-03-14,199.9380340576172
2016-03-15,198.83416748046875
2016-03-16,199.9380340576172
2016-03-17,199.61607360839844
2016-03-18,200.39797973632812
2016-03-21,201.45584106445312
2016-03-22,201.0419158935547
2016-03-23,203.57159423828125
2016-03-24,202.375732421875
2016-03-29,201.31785583496094
2016-03-30,204.72145080566406
2016-03-31,204.2154998779297
2016-04-01,206.19325256347656
2016-04-04,206.0552978515625
2016-04-05,204.90545654296875
2016-04-06,206.46922302246094
2016-04-07,202.42173767089844
2016-04-08,206.65321350097656
2016-04-11,205.77932739257812
2016-04-12,205.18141174316406
2016-04-13,206.65321350097656
2016-04-14,206.92916870117188
2016-04-15,203.9855499267578
2016-04-18,204.3074951171875
2016-04-19,209.9188232421875
2016-04-20,208.90696716308594
2016-04-21,208.9529266357422
2016-04-22,202.9496307373047
2016-04-25,203.04269409179688
2016-04-26,203.88038635253906
2016-04-27,205.3695526123047
2016-04-28,204.85763549804688
2016-04-29,202.9496307373047
2016-05-02,202.43768310546875
2016-05-03,200.7158203125
2016-05-04,201.55349731445312
2016-05-06,201.3673553466797
2016-05-09,204.81112670898438
2016-05-10,206.62606811523438
2016-05-11,204.7645721435547
2016-05-12,204.7180633544922
2016-05-13,207.09146118164062
2016-05-16,207.88259887695312
2016-05-17,209.41831970214844
2016-05-18,210.11636352539062
2016-05-19,208.72023010253906
