Date,SHRIRAMFIN.NS
2015-08-03,156.3086700439453
2015-08-04,154.61392211914062
2015-08-05,153.88153076171875
2015-08-06,153.03839111328125
2015-08-07,153.01283264160156
2015-08-10,151.15626525878906
2015-08-11,149.57225036621094
2015-08-12,149.57225036621094
2015-08-13,140.50234985351562
2015-08-14,147.749755859375
2015-08-17,145.5525665283203
2015-08-18,145.94427490234375
2015-08-19,146.94070434570312
2015-08-20,144.91383361816406
2015-08-21,144.58168029785156
2015-08-24,140.3916778564453
2015-08-25,138.55215454101562
2015-08-26,138.35626220703125
2015-08-27,139.5570526123047
2015-08-28,139.36968994140625
2015-08-31,138.4840087890625
2015-09-01,139.43783569335938
2015-09-02,146.71929931640625
2015-09-03,147.5028076171875
2015-09-04,145.9783935546875
2015-09-07,136.8488311767578
2015-09-08,139.82102966308594
2015-09-09,142.955078125
2015-09-10,148.3544464111328
2015-09-11,149.73403930664062
2015-09-14,147.69015502929688
2015-09-15,147.69015502929688
2015-09-16,148.76321411132812
2015-09-18,154.74163818359375
2015-09-21,154.86944580078125
2015-09-22,151.6162109375
2015-09-23,150.0917510986328
2015-09-24,149.30824279785156
2015-09-28,151.4117889404297
2015-09-29,159.46824645996094
2015-09-30,157.5605926513672
2015-10-01,158.35260009765625
2015-10-05,160.95858764648438
2015-10-06,162.8151397705078
2015-10-07,165.787353515625
2015-10-08,161.61434936523438
2015-10-09,163.240966796875
2015-10-12,166.4856719970703
2015-10-13,171.5955047607422
2015-10-14,168.6829071044922
2015-10-15,170.01145935058594
2015-10-16,170.01145935058594
2015-10-19,164.79095458984375
2015-10-20,165.77880859375
2015-10-21,158.96575927734375
2015-10-23,161.341796875
2015-10-26,160.98416137695312
2015-10-27,160.8989715576172
2015-10-28,158.91470336914062
2015-10-29,160.36244201660156
2015-10-30,160.6775360107422
2015-11-02,160.1239776611328
2015-11-03,162.15089416503906
2015-11-04,162.9429168701172
2015-11-05,156.30645751953125
2015-11-06,159.45364379882812
2015-11-09,152.19290161132812
2015-11-10,148.07078552246094
2015-11-13,151.9021453857422
2015-11-16,149.67860412597656
2015-11-17,148.82339477539062
2015-11-18,145.6249542236328
2015-11-19,145.7532196044922
2015-11-20,145.3683319091797
2015-11-23,142.52049255371094
2015-11-24,144.72694396972656
2015-11-26,144.9835205078125
2015-11-27,150.38841247558594
2015-11-30,150.38841247558594
2015-12-01,150.59368896484375
2015-12-02,151.7311248779297
2015-12-03,147.07875061035156
2015-12-04,144.58157348632812
2015-12-07,146.5314178466797
2015-12-08,146.4630126953125
2015-12-09,145.96701049804688
2015-12-10,141.03244018554688
2015-12-11,138.15892028808594
2015-12-14,136.26034545898438
2015-12-15,135.25978088378906
2015-12-16,135.9525146484375
2015-12-17,137.36361694335938
2015-12-18,140.47657775878906
2015-12-21,144.23094177246094
2015-12-22,145.35122680664062
2015-12-23,145.58216857910156
2015-12-24,145.9755401611328
2015-12-28,145.67623901367188
2015-12-29,145.04336547851562
2015-12-30,145.4880828857422
