Date,RI.PA
2015-08-24,72.65896606445312
2015-08-25,74.9976806640625
2015-08-26,74.62378692626953
2015-08-27,73.34306335449219
2015-08-28,73.84423828125
2015-08-31,74.39309692382812
2015-09-01,72.42826080322266
2015-09-02,72.77828216552734
2015-09-03,74.4646987915039
2015-09-04,72.5873794555664
2015-09-07,72.62712860107422
2015-09-08,72.90557098388672
2015-09-09,73.31124877929688
2015-09-10,71.83961486816406
2015-09-11,71.30664825439453
2015-09-14,70.5668716430664
2015-09-15,70.78958129882812
2015-09-16,72.61123657226562
2015-09-17,73.66126251220703
2015-09-18,72.68282318115234
2015-09-21,73.708984375
2015-09-22,71.99872589111328
2015-09-23,72.30892944335938
2015-09-24,71.19527435302734
2015-09-25,72.38053894042969
2015-09-28,71.3623275756836
2015-09-29,70.23274993896484
2015-09-30,71.73619842529297
2015-10-01,71.99872589111328
2015-10-02,73.02486419677734
2015-10-05,75.6181411743164
2015-10-06,76.6363525390625
2015-10-07,75.70562744140625
2015-10-08,76.54884338378906
2015-10-09,77.13749694824219
2015-10-12,77.77388000488281
2015-10-13,77.71820068359375
2015-10-14,77.86137390136719
2015-10-15,78.86370086669922
2015-10-16,78.68868255615234
2015-10-19,78.76823425292969
2015-10-20,78.66481018066406
2015-10-21,78.36254119873047
2015-10-22,82.4512939453125
2015-10-23,84.6786117553711
2015-10-26,83.92291259765625
2015-10-27,83.52519226074219
2015-10-28,84.3206787109375
2015-10-29,85.75253295898438
2015-10-30,85.27523040771484
2015-11-02,84.43998718261719
2015-11-03,85.07636260986328
2015-11-04,85.51388549804688
2015-11-05,86.62754821777344
2015-11-06,85.51388549804688
2015-11-09,84.40021514892578
2015-11-10,84.9172592163086
2015-11-11,85.75253295898438
2015-11-12,84.83773040771484
2015-11-13,84.28089141845703
2015-11-16,84.38526153564453
2015-11-17,86.79397583007812
2015-11-18,86.31224060058594
2015-11-19,86.59324645996094
2015-11-20,86.63339233398438
2015-11-23,86.07137298583984
2015-11-24,85.18817138671875
2015-11-25,87.07499694824219
2015-11-26,86.31224060058594
2015-11-27,86.55310821533203
2015-11-30,86.47281646728516
2015-12-01,86.71369171142578
2015-12-02,87.39613342285156
2015-12-03,84.06410217285156
2015-12-04,83.58235931396484
2015-12-07,84.50570678710938
2015-12-08,83.66263580322266
2015-12-09,82.2977066040039
2015-12-10,82.65901184082031
2015-12-11,81.8962631225586
2015-12-14,80.6517562866211
2015-12-15,82.25755310058594
2015-12-16,83.34151458740234
2015-12-17,85.06773376464844
2015-12-18,83.62249755859375
2015-12-21,82.45829772949219
2015-12-22,82.1772689819336
2015-12-23,83.86337280273438
2015-12-24,84.30497741699219
2015-12-28,83.50206756591797
2015-12-29,85.26846313476562
2015-12-30,85.14803314208984
2016-01-04,81.8962631225586
2016-01-05,81.8962631225586
2016-01-06,81.49481964111328
2016-01-07,80.2743911743164
2016-01-08,79.61602020263672
2016-01-11,79.65615844726562
2016-01-12,80.410888671875
2016-01-13,80.7320556640625
2016-01-14,79.1985092163086
2016-01-15,77.9540023803711
2016-01-18,77.48831176757812
2016-01-19,79.2707748413086
2016-01-20,77.84159088134766
