Date,CENCOSUD.SN
2015-08-24,908.6049194335938
2015-08-25,916.5894165039062
2015-08-26,896.7705688476562
2015-08-27,947.8151245117188
2015-08-28,978.8267822265625
2015-08-31,1004.2062377929688
2015-09-01,985.1002197265625
2015-09-02,1008.0559692382812
2015-09-03,1052.0426025390625
2015-09-04,1027.4471435546875
2015-09-07,1043.27392578125
2015-09-08,1059.813232421875
2015-09-09,1036.1446533203125
2015-09-10,1058.957763671875
2015-09-11,1048.4066162109375
2015-09-14,1040.3509521484375
2015-09-15,1035.0040283203125
2015-09-16,1061.310302734375
2015-09-17,1075.497314453125
2015-09-21,1054.6090087890625
2015-09-22,1030.655029296875
2015-09-23,998.6454467773438
2015-09-24,970.2716064453125
2015-09-25,974.976806640625
2015-09-28,952.5202026367188
2015-09-29,962.6436157226562
2015-09-30,966.279296875
2015-10-01,981.1791381835938
2015-10-02,978.75537109375
2015-10-05,1000.9267578125
2015-10-06,1011.6204833984375
2015-10-07,1020.1043090820312
2015-10-08,1019.7478637695312
2015-10-09,1026.1639404296875
2015-10-13,1014.47216796875
2015-10-14,1008.7688598632812
2015-10-15,1026.3775634765625
2015-10-16,1015.5414428710938
2015-10-19,1019.5337524414062
2015-10-20,1016.04052734375
2015-10-21,1002.1387329101562
2015-10-22,1001.5685424804688
2015-10-23,999.6436157226562
2015-10-26,1042.2041015625
2015-10-27,1053.68212890625
2015-10-28,1048.54931640625
2015-10-29,1048.4779052734375
2015-10-30,1082.4127197265625
2015-11-02,1084.76513671875
2015-11-03,1099.5223388671875
2015-11-04,1102.5877685546875
2015-11-05,1103.5859375
2015-11-06,1101.6612548828125
2015-11-09,1094.246826171875
2015-11-10,1094.4605712890625
2015-11-11,1097.6688232421875
2015-11-12,1102.445556640625
2015-11-13,1119.7689208984375
2015-11-16,1106.651611328125
2015-11-17,1115.99072265625
2015-11-18,1122.977294921875
2015-11-19,1134.169921875
2015-11-20,1169.1024169921875
2015-11-23,1126.755615234375
2015-11-24,1105.7957763671875
2015-11-25,1099.2373046875
2015-11-26,1099.379638671875
2015-11-27,1101.3048095703125
2015-11-30,1079.3333740234375
2015-12-01,1059.2349853515625
2015-12-02,1051.022705078125
2015-12-03,1048.4293212890625
2015-12-04,1057.07373046875
2015-12-07,1044.7554931640625
2015-12-09,1020.4067993164062
2015-12-10,1023.4325561523438
2015-12-11,1034.3819580078125
2015-12-14,1018.7500610351562
2015-12-15,1028.47509765625
2015-12-16,1028.1868896484375
2015-12-17,1031.500732421875
2015-12-18,1023.720458984375
2015-12-21,1019.0382080078125
2015-12-22,1022.8562622070312
2015-12-23,1027.8988037109375
2015-12-24,1015.1481323242188
2015-12-28,1014.4998779296875
2015-12-29,1020.1906127929688
2015-12-30,1019.3262939453125
2015-12-31,1019.3262939453125
2016-01-04,1006.359619140625
2016-01-05,1023.8646850585938
2016-01-06,1000.5247192382812
2016-01-07,951.3231201171875
2016-01-08,972.790283203125
2016-01-11,971.4215087890625
2016-01-12,976.1760864257812
2016-01-13,978.1931762695312
2016-01-14,1000.3084716796875
2016-01-15,981.7228393554688
2016-01-18,972.790283203125
2016-01-19,983.5238037109375
2016-01-20,971.3496704101562
2016-01-21,979.9219970703125
2016-01-22,1005.35107421875
2016-01-25,998.2914428710938
2016-01-26,1000.5967407226562
2016-01-27,1007.0078125
2016-01-28,1019.1099853515625
2016-01-29,1041.441650390625
2016-02-01,1045.331787109375
2016-02-02,1041.297607421875
2016-02-03,1016.3006591796875
2016-02-04,1048.8614501953125
2016-02-05,1047.2767333984375
2016-02-08,1047.2767333984375
2016-02-09,1044.827392578125
2016-02-10,1046.05224609375
2016-02-11,1045.475830078125
2016-02-12,1043.3148193359375
2016-02-15,1050.3743896484375
2016-02-16,1068.1676025390625
2016-02-17,1075.5872802734375
2016-02-18,1085.0244140625
2016-02-19,1092.011962890625
2016-02-22,1099.503662109375
2016-02-23,1087.4736328125
2016-02-24,1070.1846923828125
2016-02-25,1071.4813232421875
2016-02-26,1087.257568359375
2016-02-29,1091.93994140625
2016-03-01,1082.430908203125
2016-03-02,1071.91357421875
2016-03-03,1098.495361328125
2016-03-04,1142.5819091796875
2016-03-07,1144.455078125
2016-03-08,1140.27685546875
2016-03-09,1146.5439453125
2016-03-10,1175.718994140625
2016-03-11,1178.384521484375
2016-03-14,1177.3040771484375
2016-03-15,1177.9522705078125
2016-03-16,1173.918212890625
2016-03-17,1203.09326171875
2016-03-18,1234.429443359375
2016-03-21,1223.9119873046875
2016-03-22,1219.73388671875
2016-03-23,1220.88623046875
2016-03-24,1214.4031982421875
2016-03-28,1204.2457275390625
2016-03-29,1213.7547607421875
2016-03-30,1221.0303955078125
2016-03-31,1217.1405029296875
2016-04-01,1223.9837646484375
2016-04-04,1238.751708984375
2016-04-05,1229.531005859375
2016-04-06,1227.2977294921875
2016-04-07,1218.941162109375
2016-04-08,1240.1202392578125
2016-04-11,1237.3109130859375
2016-04-12,1237.8150634765625
2016-04-13,1258.4180908203125
2016-04-14,1302.936767578125
2016-04-15,1323.683349609375
2016-04-18,1329.446533203125
2016-04-19,1364.3846435546875
2016-04-20,1361.5030517578125
2016-04-21,1358.4775390625
2016-04-22,1353.3626708984375
2016-04-25,1338.0908203125
2016-04-26,1326.9251708984375
2016-04-27,1332.9764404296875
2016-04-28,1346.8072509765625
2016-04-29,1279.16455078125
2016-05-02,1231.40380859375
2016-05-03,1243.218017578125
2016-05-04,1256.04052734375
2016-05-05,1292.779541015625
2016-05-06,1281.7578125
2016-05-09,1265.4053955078125
