Date,CCI
2015-08-03,54.180782318115234
2015-08-04,54.26018142700195
2015-08-05,54.42560577392578
2015-08-06,54.28667449951172
2015-08-07,54.485172271728516
2015-08-10,55.285831451416016
2015-08-11,55.70273208618164
2015-08-12,56.21223831176758
2015-08-13,56.14604187011719
2015-08-14,56.95334243774414
2015-08-17,57.131988525390625
2015-08-18,56.46369552612305
2015-08-19,56.52983093261719
2015-08-20,55.841670989990234
2015-08-21,54.703529357910156
2015-08-24,52.890445709228516
2015-08-25,52.62577438354492
2015-08-26,54.021968841552734
2015-08-27,55.59684753417969
2015-08-28,55.41815948486328
2015-08-31,55.17996597290039
2015-09-01,53.90285873413086
2015-09-02,54.4388427734375
2015-09-03,54.471923828125
2015-09-04,53.62495803833008
2015-09-08,54.5050163269043
2015-09-09,53.46613693237305
2015-09-10,52.46697235107422
2015-09-11,52.030242919921875
2015-09-14,52.08316421508789
2015-09-15,51.858184814453125
2015-09-16,52.393150329589844
2015-09-17,52.152408599853516
2015-09-18,51.76457595825195
2015-09-21,51.925045013427734
2015-09-22,51.209537506103516
2015-09-23,51.376705169677734
2015-09-24,51.3432731628418
2015-09-25,52.66062927246094
2015-09-28,51.87156295776367
2015-09-29,51.844810485839844
2015-09-30,52.74087905883789
2015-10-01,53.22234344482422
2015-10-02,53.45640182495117
2015-10-05,54.44607925415039
2015-10-06,53.998043060302734
2015-10-07,54.332393646240234
2015-10-08,54.59319305419922
2015-10-09,54.29227066040039
2015-10-12,54.49956130981445
2015-10-13,54.25883483886719
2015-10-14,53.817508697509766
2015-10-15,54.379215240478516
2015-10-16,54.606563568115234
2015-10-19,55.20838928222656
2015-10-20,55.6163215637207
2015-10-21,55.589561462402344
2015-10-22,58.03702163696289
2015-10-23,57.05403137207031
2015-10-26,57.75617218017578
2015-10-27,57.36164474487305
2015-10-28,57.5020751953125
2015-10-29,57.288063049316406
2015-10-30,57.14765167236328
2015-11-02,58.67897415161133
2015-11-03,58.605430603027344
2015-11-04,58.40481185913086
2015-11-05,57.869850158691406
2015-11-06,56.652809143066406
2015-11-09,56.13120651245117
2015-11-10,56.39202117919922
2015-11-11,56.592620849609375
2015-11-12,56.27165222167969
2015-11-13,55.9439697265625
2015-11-16,56.559207916259766
2015-11-17,56.739715576171875
2015-11-18,57.421817779541016
2015-11-19,57.60905838012695
2015-11-20,58.21089553833008
2015-11-23,58.44493865966797
2015-11-24,57.996917724609375
2015-11-25,57.74277114868164
2015-11-27,57.55556106567383
2015-11-30,57.44856643676758
2015-12-01,58.36470413208008
2015-12-02,57.39507293701172
2015-12-03,56.67954635620117
2015-12-04,56.91359329223633
2015-12-07,57.802978515625
2015-12-08,57.488685607910156
2015-12-09,57.10751724243164
2015-12-10,57.12090301513672
2015-12-11,56.71968078613281
2015-12-14,56.97379684448242
2015-12-15,57.3750114440918
2015-12-16,58.08784103393555
2015-12-17,57.87839126586914
2015-12-18,57.310829162597656
2015-12-21,58.060821533203125
2015-12-22,58.81081771850586
2015-12-23,58.98649215698242
2015-12-24,58.74327087402344
2015-12-28,58.83786392211914
2015-12-29,59.45948791503906
2015-12-30,58.79730987548828
2015-12-31,58.41217041015625
2016-01-04,57.695953369140625
2016-01-05,58.87835693359375
2016-01-06,58.3851318359375
2016-01-07,56.93247604370117
2016-01-08,56.135154724121094
2016-01-11,56.54730987548828
2016-01-12,56.79730987548828
2016-01-13,55.932437896728516
2016-01-14,56.72974395751953
2016-01-15,53.4594612121582
2016-01-19,53.71623229980469
2016-01-20,52.85136413574219
2016-01-21,53.46623611450195
2016-01-22,55.148658752441406
2016-01-25,54.85811996459961
2016-01-26,56.49325942993164
2016-01-27,56.20945739746094
2016-01-28,57.304073333740234
2016-01-29,58.24325942993164
2016-02-01,58.66218185424805
2016-02-02,58.25
2016-02-03,58.628379821777344
2016-02-04,58.25676345825195
2016-02-05,56.79730987548828
2016-02-08,55.20270538330078
2016-02-09,55.54056167602539
2016-02-10,55.29053497314453
2016-02-11,55.07433319091797
2016-02-12,56.16893005371094
2016-02-16,56.75675582885742
2016-02-17,57.216224670410156
2016-02-18,58.121639251708984
2016-02-19,57.74325180053711
2016-02-22,58.621620178222656
2016-02-23,58.34459686279297
2016-02-24,58.31080627441406
2016-02-25,58.608123779296875
2016-02-26,57.96622085571289
2016-02-29,58.44597244262695
2016-03-01,59.283790588378906
2016-03-02,59.73650360107422
2016-03-03,59.3851432800293
2016-03-04,58.95270919799805
2016-03-07,58.290550231933594
2016-03-08,57.75678253173828
2016-03-09,57.58110046386719
2016-03-10,57.43245315551758
2016-03-11,57.959476470947266
2016-03-14,57.43245315551758
2016-03-15,57.63514709472656
2016-03-16,58.0413818359375
2016-03-17,58.70366287231445
2016-03-18,59.00407409667969
2016-03-21,58.6627082824707
2016-03-22,58.71733093261719
2016-03-23,58.48517608642578
2016-03-24,58.430564880371094
2016-03-28,58.50566482543945
2016-03-29,59.024566650390625
2016-03-30,59.352294921875
2016-03-31,59.05870056152344
2016-04-01,59.47518539428711
2016-04-04,59.413719177246094
2016-04-05,58.819740295410156
2016-04-06,59.39325714111328
2016-04-07,59.24303436279297
2016-04-08,60.116981506347656
2016-04-11,59.74830627441406
2016-04-12,59.86436080932617
2016-04-13,60.01455307006836
2016-04-14,59.50934982299805
2016-04-15,59.59126281738281
2016-04-18,59.79608154296875
2016-04-19,60.144290924072266
2016-04-20,59.80973815917969
2016-04-21,58.642215728759766
2016-04-22,59.912139892578125
2016-04-25,59.522979736328125
2016-04-26,59.78242111206055
2016-04-27,59.90531921386719
