Date,ASML.AS
2015-08-24,67.71924591064453
2015-08-25,71.44071197509766
2015-08-26,69.5844955444336
2015-08-27,73.34217071533203
2015-08-28,74.7999267578125
2015-08-31,73.9578628540039
2015-09-01,72.72643280029297
2015-09-02,72.44573974609375
2015-09-03,76.10377502441406
2015-09-04,74.38341522216797
2015-09-07,75.04439544677734
2015-09-08,75.48809051513672
2015-09-09,74.83615112304688
2015-09-10,73.87635040283203
2015-09-11,72.78980255126953
2015-09-14,72.69927215576172
2015-09-15,74.57357025146484
2015-09-16,75.1077880859375
2015-09-17,73.93975067138672
2015-09-18,71.95677947998047
2015-09-21,72.9799575805664
2015-09-22,70.26358795166016
2015-09-23,68.27156829833984
2015-09-24,66.6779556274414
2015-09-25,69.85612487792969
2015-09-28,67.11258697509766
2015-09-29,68.30780792236328
2015-09-30,70.77063751220703
2015-10-01,68.97784423828125
2015-10-02,69.90139770507812
2015-10-05,71.83908081054688
2015-10-06,72.22845458984375
2015-10-07,71.80287170410156
2015-10-08,72.84414672851562
2015-10-09,72.39143371582031
2015-10-12,71.79383087158203
2015-10-13,70.52617645263672
2015-10-14,67.42950439453125
2015-10-15,70.39940643310547
2015-10-16,70.21832275390625
2015-10-19,70.9336166381836
2015-10-20,70.2998046875
2015-10-21,72.66305541992188
2015-10-22,74.6912841796875
2015-10-23,77.09075164794922
2015-10-26,75.9498519897461
2015-10-27,75.18024444580078
2015-10-28,76.6017837524414
2015-10-29,76.28487396240234
2015-10-30,76.61083221435547
2015-11-02,77.34426879882812
2015-11-03,78.0686264038086
2015-11-04,79.3453140258789
2015-11-05,79.17330932617188
2015-11-06,80.5495834350586
2015-11-09,80.31417083740234
2015-11-10,79.20951843261719
2015-11-11,79.4087142944336
2015-11-12,78.5304183959961
2015-11-13,77.15411376953125
2015-11-16,76.93680572509766
2015-11-17,78.48514556884766
2015-11-18,78.54853057861328
2015-11-19,78.49421691894531
2015-11-20,78.44892120361328
2015-11-23,77.29900360107422
2015-11-24,76.15811157226562
2015-11-25,77.78793334960938
2015-11-26,79.0284194946289
2015-11-27,79.08274841308594
2015-11-30,79.20046997070312
2015-12-01,79.37248992919922
2015-12-02,79.47208404541016
2015-12-03,76.21243286132812
2015-12-04,76.00419616699219
2015-12-07,76.58369445800781
2015-12-08,74.85427856445312
2015-12-09,74.60977935791016
2015-12-10,73.69527435302734
2015-12-11,72.34614562988281
2015-12-14,70.3631820678711
2015-12-15,73.96692657470703
2015-12-16,72.8894271850586
2015-12-17,74.0121841430664
2015-12-18,73.13388061523438
2015-12-21,73.7043228149414
2015-12-22,73.85824584960938
2015-12-23,75.80501556396484
2015-12-24,75.21644592285156
2015-12-28,74.99913024902344
2015-12-29,76.1399917602539
2015-12-30,76.1399917602539
2016-01-04,72.50911712646484
2016-01-05,73.07954406738281
2016-01-06,71.3772964477539
2016-01-07,69.71127319335938
2016-01-08,66.76850891113281
2016-01-11,68.5341796875
2016-01-12,68.80577850341797
2016-01-13,68.22628784179688
2016-01-14,68.06332397460938
2016-01-15,64.96665954589844
2016-01-18,65.61859130859375
2016-01-19,66.82283020019531
2016-01-20,69.9285659790039
2016-01-21,72.97089385986328
2016-01-22,75.69634246826172
2016-01-25,75.4790267944336
2016-01-26,75.1530532836914
2016-01-27,75.27076721191406
2016-01-28,73.79486846923828
2016-01-29,76.25772094726562
2016-02-01,76.5112533569336
2016-02-02,74.47394561767578
2016-02-03,73.71338653564453
2016-02-04,74.02123260498047
2016-02-05,72.03827667236328
2016-02-08,69.24946594238281
2016-02-09,68.77863311767578
2016-02-10,66.7775650024414
2016-02-11,65.24734497070312
2016-02-12,65.3469467163086
2016-02-15,67.87315368652344
2016-02-16,67.4023208618164
2016-02-17,69.57544708251953
2016-02-18,70.20926666259766
2016-02-19,71.52215576171875
2016-02-22,72.2555923461914
2016-02-23,72.2103042602539
2016-02-24,72.04733276367188
2016-02-25,73.2063217163086
2016-02-26,75.22550964355469
2016-02-29,76.61991119384766
2016-03-01,77.87849426269531
2016-03-02,77.61590576171875
2016-03-03,77.6249771118164
2016-03-04,78.38555145263672
2016-03-07,78.48514556884766
2016-03-08,77.5796890258789
2016-03-09,77.4710464477539
2016-03-10,77.52537536621094
2016-03-11,78.7296142578125
2016-03-14,79.19139099121094
2016-03-15,78.71153259277344
2016-03-16,78.63908386230469
2016-03-17,78.12296295166016
2016-03-18,78.76582336425781
2016-03-21,78.43986511230469
2016-03-22,79.31816864013672
2016-03-23,79.77996826171875
2016-03-24,78.31311798095703
2016-03-29,79.82526397705078
2016-03-30,80.848388671875
2016-03-31,80.83932495117188
2016-04-01,79.5988540649414
2016-04-04,81.02946472167969
2016-04-05,79.3362808227539
2016-04-06,79.49927520751953
2016-04-07,79.89766693115234
2016-04-08,80.26890563964844
2016-04-11,79.95199584960938
2016-04-12,80.04253387451172
2016-04-13,81.74478912353516
2016-04-14,80.40473175048828
2016-04-15,80.35945892333984
2016-04-18,79.3906021118164
2016-04-19,79.9067153930664
2016-04-20,76.65612030029297
2016-04-21,77.03643798828125
2016-04-22,77.29900360107422
2016-04-25,77.33521270751953
2016-04-26,77.49818420410156
2016-04-27,78.67528533935547
2016-04-28,79.4087142944336
2016-04-29,76.42071533203125
2016-05-02,76.81007385253906
2016-05-03,75.14147186279297
2016-05-04,74.8022232055664
2016-05-05,75.11396026611328
2016-05-06,73.76622772216797
2016-05-09,74.49053192138672
2016-05-10,75.00395965576172
2016-05-11,74.371337890625
2016-05-12,73.26200103759766
2016-05-13,74.53634643554688
2016-05-16,77.1767578125
