Date,ENT.L
2015-08-24,408.6524658203125
2015-08-25,420.12872314453125
2015-08-26,421.6256408691406
2015-08-27,434.0997619628906
2015-08-28,447.0728454589844
2015-09-01,450.56561279296875
2015-09-02,449.0686950683594
2015-09-03,452.0624694824219
2015-09-04,434.0997619628906
2015-09-07,411.64630126953125
2015-09-08,408.1535339355469
2015-09-09,405.6587219238281
2015-09-10,399.172119140625
2015-09-11,406.6566467285156
2015-09-14,404.16180419921875
2015-09-15,404.16180419921875
2015-09-16,405.1597595214844
2015-09-17,404.16180419921875
2015-09-18,395.679443359375
2015-09-21,401.6669921875
2015-09-22,406.6566467285156
2015-09-23,409.1515197753906
2015-09-24,407.65460205078125
2015-09-25,409.1515197753906
2015-09-28,407.65460205078125
2015-09-29,406.6566467285156
2015-09-30,406.6566467285156
2015-10-01,417.6338806152344
2015-10-02,418.1328430175781
2015-10-05,418.1328430175781
2015-10-06,418.1328430175781
2015-10-07,418.1328430175781
2015-10-08,419.13079833984375
2015-10-09,417.6338806152344
2015-10-12,416.13702392578125
2015-10-13,411.64630126953125
2015-10-14,411.64630126953125
2015-10-15,400.7638854980469
2015-10-16,394.2757568359375
2015-10-19,384.29412841796875
2015-10-20,371.81707763671875
2015-10-21,399.2666320800781
2015-10-22,396.7712097167969
2015-10-23,399.2666320800781
2015-10-26,399.2666320800781
2015-10-27,399.2666320800781
2015-10-28,397.7694091796875
2015-10-29,397.7694091796875
2015-10-30,397.7694091796875
2015-11-02,397.7694091796875
2015-11-03,397.7694091796875
2015-11-04,397.7694091796875
2015-11-05,397.7694091796875
2015-11-06,400.2648620605469
2015-11-09,399.7657470703125
2015-11-10,400.2648620605469
2015-11-11,400.2648620605469
2015-11-12,399.2666320800781
2015-11-13,397.2702941894531
2015-11-16,395.7730407714844
2015-11-17,388.2867736816406
2015-11-18,380.8005676269531
2015-11-19,383.29595947265625
2015-11-20,383.7950439453125
2015-11-23,383.7950439453125
2015-11-24,382.7969055175781
2015-11-25,381.2995910644531
2015-11-26,379.30328369140625
2015-11-27,375.31060791015625
2015-11-30,371.81707763671875
2015-12-01,371.3179626464844
2015-12-02,373.3142395019531
2015-12-03,377.8060607910156
2015-12-04,384.29412841796875
2015-12-07,396.7712097167969
2015-12-08,400.2648620605469
2015-12-09,400.7638854980469
2015-12-10,402.76025390625
2015-12-11,414.7381896972656
2015-12-14,411.7436828613281
2015-12-15,414.2391357421875
2015-12-16,440.1914978027344
2015-12-17,446.6795654296875
2015-12-18,450.6722412109375
2015-12-21,456.6611633300781
2015-12-22,463.1493225097656
2015-12-23,459.1565856933594
2015-12-24,459.1565856933594
2015-12-29,462.6502380371094
2015-12-30,462.6502380371094
2015-12-31,462.6502380371094
2016-01-04,473.1309509277344
2016-01-05,476.1254577636719
2016-01-06,481.1163330078125
2016-01-07,471.6336975097656
2016-01-08,468.6391906738281
2016-01-11,464.1474304199219
2016-01-12,463.1493225097656
2016-01-13,462.6502380371094
2016-01-14,461.6520080566406
2016-01-15,462.15106201171875
2016-01-18,463.1493225097656
2016-01-19,461.1529235839844
2016-01-20,456.6611633300781
2016-01-21,453.16754150390625
2016-01-22,453.6666564941406
2016-01-25,453.6666564941406
2016-01-26,448.1767883300781
2016-01-27,420.7271728515625
2016-01-28,434.2025146484375
2016-01-29,435.2006530761719
2016-02-01,466.143798828125
2016-02-02,510.06317138671875
2016-02-03,508.56585693359375
2016-02-04,498.0851745605469
2016-02-05,491.09796142578125
2016-02-08,479.1199645996094
2016-02-09,455.1639404296875
2016-02-10,460.9034118652344
2016-02-11,443.1860046386719
2016-02-12,445.930908203125
2016-02-15,456.4116516113281
2016-02-16,445.930908203125
2016-02-17,452.9181213378906
2016-02-18,461.1529235839844
2016-02-19,459.90521240234375
2016-02-22,467.64105224609375
2016-02-23,462.8997497558594
2016-02-24,464.8960876464844
2016-02-25,464.1474304199219
2016-02-26,487.1052551269531
2016-02-29,488.10345458984375
2016-03-01,498.3346862792969
2016-03-02,493.5934143066406
2016-03-03,484.8594055175781
2016-03-04,477.1236267089844
2016-03-07,482.8630676269531
2016-03-08,477.3731384277344
2016-03-09,486.10711669921875
2016-03-10,482.364013671875
2016-03-11,492.09613037109375
2016-03-14,489.8503112792969
2016-03-15,485.8575744628906
2016-03-16,485.10894775390625
2016-03-17,490.848388671875
2016-03-18,504.07415771484375
2016-03-21,500.58050537109375
2016-03-22,504.57318115234375
2016-03-23,498.0851745605469
2016-03-24,500.0814208984375
2016-03-29,494.0924987792969
2016-03-30,503.075927734375
2016-03-31,504.07415771484375
2016-04-01,511.0613098144531
2016-04-04,513.0575561523438
2016-04-05,514.554931640625
2016-04-06,516.052001953125
2016-04-07,513.0575561523438
2016-04-08,513.0575561523438
2016-04-11,513.0575561523438
2016-04-12,511.0613098144531
2016-04-13,514.0557861328125
2016-04-14,519.545654296875
2016-04-15,519.046630859375
2016-04-18,523.5383911132812
2016-04-19,531.5237426757812
2016-04-20,514.0557861328125
2016-04-21,517.05029296875
2016-04-22,522.540283203125
2016-04-25,546.4961547851562
2016-04-26,547.4942626953125
2016-04-27,542.5034790039062
2016-04-28,540.5072021484375
2016-04-29,541.0062866210938
2016-05-03,544.0008544921875
2016-05-04,542.0044555664062
2016-05-05,555.4797973632812
2016-05-06,559.472412109375
2016-05-09,553.4833984375
2016-05-10,542.5034790039062
2016-05-11,540.5072021484375
2016-05-12,543.0025634765625
2016-05-13,541.5053100585938
2016-05-16,547.9934692382812
2016-05-17,547.9934692382812
2016-05-18,542.0044555664062
2016-05-19,532.5220336914062
2016-05-20,552.4851684570312
2016-05-23,568.9548950195312
2016-05-24,575.9421997070312
2016-05-25,578.9366455078125
2016-05-26,588.9182739257812
2016-05-27,588.9182739257812
2016-05-31,600.8963012695312
2016-06-01,603.8906860351562
2016-06-02,607.38427734375
2016-06-03,614.3714599609375
2016-06-06,611.3770141601562
2016-06-07,606.8854370117188
2016-06-08,598.4008178710938
2016-06-09,598.8999633789062
2016-06-10,591.413818359375
2016-06-13,580.433837890625
2016-06-14,569.9532470703125
2016-06-15,568.9548950195312
2016-06-16,565.46142578125
2016-06-17,564.4631958007812
2016-06-20,576.441162109375
2016-06-21,573.9456787109375
2016-06-22,568.4559326171875
2016-06-23,575.443115234375
2016-06-24,564.4631958007812
2016-06-27,527.5310668945312
2016-06-28,542.0044555664062
2016-06-29,554.9805908203125
2016-06-30,561.9677734375
2016-07-01,603.8906860351562
2016-07-04,590.41552734375
2016-07-05,569.4541625976562
2016-07-06,574.4448852539062
2016-07-07,594.9072265625
