Date,LIFCO-B.ST
2015-08-24,29.79787826538086
2015-08-25,30.361820220947266
2015-08-26,29.543195724487305
2015-08-27,30.380014419555664
2015-08-28,31.107669830322266
2015-08-31,32.38108825683594
2015-09-01,31.908109664916992
2015-09-02,31.416934967041016
2015-09-03,31.43512725830078
2015-09-04,31.380552291870117
2015-09-07,32.38108825683594
2015-09-08,32.89044952392578
2015-09-09,33.527164459228516
2015-09-10,32.61758041381836
2015-09-11,32.32651138305664
2015-09-14,31.762575149536133
2015-09-15,31.39874267578125
2015-09-16,31.47150421142578
2015-09-17,31.544273376464844
2015-09-18,31.65342140197754
2015-09-21,32.19917297363281
2015-09-22,31.79896354675293
2015-09-23,31.908109664916992
2015-09-24,31.23501205444336
2015-09-25,31.980865478515625
2015-09-28,31.83533477783203
2015-09-29,32.472049713134766
2015-09-30,33.19970703125
2015-10-01,31.689809799194336
2015-10-02,31.58066177368164
2015-10-05,33.017799377441406
2015-10-06,33.65449905395508
2015-10-07,33.8000373840332
2015-10-08,33.327049255371094
2015-10-09,33.327049255371094
2015-10-12,33.272483825683594
2015-10-13,32.653961181640625
2015-10-14,32.69035339355469
2015-10-15,32.56300354003906
2015-10-16,32.41747283935547
2015-10-19,32.781307220458984
2015-10-20,33.12694549560547
2015-10-21,32.67215347290039
2015-10-22,32.581199645996094
2015-10-23,32.926841735839844
2015-10-26,33.145137786865234
2015-10-27,33.017799377441406
2015-10-28,33.527164459228516
2015-10-29,34.10929870605469
2015-10-30,34.5276985168457
2015-11-02,35.20079040527344
2015-11-03,37.98410415649414
2015-11-04,39.05741882324219
2015-11-05,38.56624984741211
2015-11-06,38.43889617919922
2015-11-09,38.72996520996094
2015-11-10,38.7845458984375
2015-11-11,38.74816131591797
2015-11-12,38.40251922607422
2015-11-13,37.83857345581055
2015-11-16,37.96592330932617
2015-11-17,38.91187286376953
2015-11-18,38.91187286376953
2015-11-19,38.74816131591797
2015-11-20,39.02103042602539
2015-11-23,40.2034912109375
2015-11-24,39.78508377075195
2015-11-25,40.2944450378418
2015-11-26,40.64008331298828
2015-11-27,41.422325134277344
2015-11-30,41.87712478637695
2015-12-01,42.20457077026367
2015-12-02,42.38648223876953
2015-12-03,41.840736389160156
2015-12-04,40.67646789550781
2015-12-07,40.2944450378418
2015-12-08,39.475830078125
2015-12-09,40.13072204589844
2015-12-10,39.65773391723633
2015-12-11,39.839656829833984
2015-12-14,39.65773391723633
2015-12-15,39.65773391723633
2015-12-16,39.002845764160156
2015-12-17,39.002845764160156
2015-12-18,38.93007278442383
2015-12-21,39.639549255371094
