Date,GSFC.NS
2015-08-21,56.43186950683594
2015-08-24,52.16260528564453
2015-08-25,52.356658935546875
2015-08-26,52.395484924316406
2015-08-27,53.55982208251953
2015-08-28,53.98674774169922
2015-08-31,53.46571731567383
2015-09-01,53.14508819580078
2015-09-02,52.343502044677734
2015-09-03,52.30342102050781
2015-09-04,51.34151840209961
2015-09-07,49.698265075683594
2015-09-08,49.37763214111328
2015-09-09,51.822471618652344
2015-09-10,51.1411247253418
2015-09-11,52.70421600341797
2015-09-14,53.94667434692383
2015-09-15,53.14508819580078
2015-09-16,52.14310836791992
2015-09-18,52.8244514465332
2015-09-21,53.86650848388672
2015-09-22,52.62405014038086
2015-09-23,52.42365646362305
2015-09-24,52.14310836791992
2015-09-28,53.06492233276367
2015-09-29,53.105010986328125
2015-09-30,56.151031494140625
2015-10-01,56.832374572753906
2015-10-05,57.27324676513672
2015-10-06,56.9926872253418
2015-10-07,56.511741638183594
2015-10-08,58.07483673095703
2015-10-09,57.35340881347656
2015-10-12,56.511741638183594
2015-10-13,55.670074462890625
2015-10-14,55.309364318847656
2015-10-15,55.62999725341797
2015-10-16,55.309364318847656
2015-10-19,55.549842834472656
2015-10-20,55.42960739135742
2015-10-21,55.670074462890625
2015-10-23,55.75023651123047
2015-10-26,60.5196533203125
2015-10-27,58.5557861328125
2015-10-28,59.87840270996094
2015-10-29,59.19704818725586
2015-10-30,57.99467468261719
2015-11-02,57.433570861816406
2015-11-03,57.15300750732422
2015-11-04,56.87245559692383
2015-11-05,56.47166061401367
2015-11-06,55.5097541809082
2015-11-09,55.42960739135742
2015-11-10,54.748252868652344
2015-11-13,54.82841110229492
2015-11-16,55.42960739135742
2015-11-17,55.910552978515625
2015-11-18,56.19110870361328
2015-11-19,56.31134796142578
2015-11-20,57.07284927368164
2015-11-23,57.433570861816406
2015-11-24,58.83633804321289
2015-11-26,59.11689758300781
2015-11-27,58.9164924621582
2015-11-30,58.75618362426758
2015-12-01,59.998634338378906
2015-12-02,60.03871536254883
2015-12-03,59.63793182373047
2015-12-04,58.676021575927734
2015-12-07,58.27522277832031
2015-12-08,57.313323974609375
2015-12-09,55.75023651123047
2015-12-10,56.31134796142578
2015-12-11,56.31134796142578
2015-12-14,56.79229736328125
2015-12-15,56.9926872253418
2015-12-16,57.11293029785156
2015-12-17,57.71411895751953
2015-12-18,57.07284927368164
2015-12-21,57.39347839355469
2015-12-22,57.79427719116211
2015-12-23,57.91451644897461
2015-12-24,57.63395690917969
2015-12-28,57.75419235229492
2015-12-29,57.433570861816406
2015-12-30,57.63395690917969
2015-12-31,59.317283630371094
2016-01-01,60.80021286010742
2016-01-04,67.97440338134766
2016-01-05,66.93234252929688
2016-01-06,65.81012725830078
2016-01-07,63.32522201538086
2016-01-08,64.48751831054688
2016-01-11,64.56768035888672
2016-01-12,65.48949432373047
2016-01-13,63.726009368896484
2016-01-14,62.00259017944336
2016-01-15,60.63990783691406
2016-01-18,57.35340881347656
2016-01-19,58.595863342285156
2016-01-20,57.674034118652344
2016-01-21,56.832374572753906
2016-01-22,55.75023651123047
2016-01-25,56.110958099365234
2016-01-27,55.75023651123047
2016-01-28,56.27125549316406
2016-01-29,55.99070739746094
2016-02-01,55.83039474487305
2016-02-02,54.98872375488281
2016-02-03,53.98674774169922
2016-02-04,53.58595275878906
2016-02-05,53.66611862182617
2016-02-08,53.024845123291016
2016-02-09,51.742305755615234
2016-02-10,51.461753845214844
2016-02-11,48.936763763427734
2016-02-12,47.213356018066406
2016-02-15,48.856605529785156
2016-02-16,47.41374588012695
2016-02-17,47.293514251708984
2016-02-18,47.453834533691406
2016-02-19,49.578025817871094
2016-02-22,50.49985122680664
2016-02-23,48.89667892456055
2016-02-24,48.41573715209961
2016-02-25,48.576053619384766
2016-02-26,48.455814361572266
2016-02-29,50.66017150878906
2016-03-01,50.53993225097656
2016-03-02,51.461753845214844
2016-03-03,52.46372985839844
2016-03-04,51.42168045043945
2016-03-08,51.34151840209961
2016-03-09,51.5018424987793
2016-03-10,52.98476791381836
2016-03-11,52.14310836791992
2016-03-14,51.742305755615234
2016-03-15,52.74429702758789
2016-03-16,52.42365646362305
2016-03-17,51.78239059448242
2016-03-18,51.62207794189453
2016-03-21,52.06294250488281
2016-03-22,51.2613639831543
2016-03-23,51.42168045043945
2016-03-28,50.49985122680664
2016-03-29,50.620094299316406
2016-03-30,52.42365646362305
2016-03-31,51.5018424987793
2016-04-01,53.14508819580078
2016-04-04,56.19110870361328
2016-04-05,55.1490478515625
2016-04-06,56.030799865722656
2016-04-07,56.39150619506836
2016-04-08,56.672054290771484
2016-04-11,57.63395690917969
2016-04-12,58.35539245605469
2016-04-13,58.35539245605469
2016-04-18,58.315303802490234
2016-04-20,60.760135650634766
2016-04-21,59.79824447631836
2016-04-22,58.75618362426758
2016-04-25,59.47760772705078
2016-04-26,59.83831787109375
2016-04-27,60.3994140625
2016-04-28,59.317283630371094
2016-04-29,59.59784698486328
2016-05-02,62.40339279174805
2016-05-03,61.842281341552734
2016-05-04,62.363304138183594
2016-05-05,62.40339279174805
2016-05-06,61.962528228759766
2016-05-09,61.64189529418945
2016-05-10,63.004581451416016
2016-05-11,63.64584732055664
2016-05-12,65.4093246459961
2016-05-13,66.77202606201172
2016-05-16,67.29305267333984
2016-05-17,67.05257415771484
2016-05-18,66.45138549804688
2016-05-19,65.32917022705078
2016-05-20,62.76410675048828
2016-05-23,63.164894104003906
2016-05-24,63.84624099731445
2016-05-25,58.956581115722656
2016-05-26,58.07483673095703
2016-05-27,58.435550689697266
