Date,T
2015-08-03,12.742365837097168
2015-08-04,12.712952613830566
2015-08-05,12.70927906036377
2015-08-06,12.587958335876465
2015-08-07,12.576927185058594
2015-08-10,12.786478042602539
2015-08-11,12.738689422607422
2015-08-12,12.507076263427734
2015-08-13,12.429874420166016
2015-08-14,12.518110275268555
2015-08-17,12.584280014038086
2015-08-18,12.628397941589355
2015-08-19,12.632073402404785
2015-08-20,12.481338500976562
2015-08-21,12.271784782409668
2015-08-24,11.900470733642578
2015-08-25,11.690916061401367
2015-08-26,12.018115997314453
2015-08-27,12.293844223022461
2015-08-28,12.238701820373535
2015-08-31,12.205613136291504
2015-09-01,11.88209056854248
2015-09-02,12.065910339355469
2015-09-03,12.146791458129883
2015-09-04,11.970320701599121
2015-09-08,12.183551788330078
2015-09-09,12.051203727722168
2015-09-10,12.040176391601562
2015-09-11,12.029145240783691
2015-09-14,11.96665096282959
2015-09-15,12.080615043640137
2015-09-16,12.110025405883789
2015-09-17,12.051203727722168
2015-09-18,11.96665096282959
2015-09-21,11.970320701599121
2015-09-22,11.863703727722168
2015-09-23,11.837973594665527
2015-09-24,11.804886817932129
2015-09-25,11.885763168334961
2015-09-28,11.727682113647461
2015-09-29,11.790181159973145
2015-09-30,11.977680206298828
2015-10-01,11.959293365478516
2015-10-02,11.999732971191406
2015-10-05,12.290169715881348
2015-10-06,12.246048927307129
2015-10-07,12.407999038696289
2015-10-08,12.512899398803711
2015-10-09,12.415492057800293
2015-10-12,12.475434303283691
2015-10-13,12.445462226867676
2015-10-14,12.464193344116211
2015-10-15,12.546619415283203
2015-10-16,12.673994064331055
2015-10-19,12.599063873291016
2015-10-20,12.644021034240723
2015-10-21,12.587824821472168
2015-10-22,12.722696304321289
2015-10-23,12.640275955200195
2015-10-26,12.61030387878418
2015-10-27,12.441720008850098
2015-10-28,12.520389556884766
2015-10-29,12.569095611572266
2015-10-30,12.554107666015625
2015-11-02,12.591572761535645
2015-11-03,12.599063873291016
2015-11-04,12.542869567871094
2015-11-05,12.4904203414917
2015-11-06,12.422989845275879
2015-11-09,12.30310344696045
2015-11-10,12.284371376037598
2015-11-11,12.3330717086792
2015-11-12,12.246907234191895
2015-11-13,12.104540824890137
2015-11-16,12.378029823303223
2015-11-17,12.460445404052734
2015-11-18,12.565348625183105
2015-11-19,12.595318794250488
2015-11-20,12.61030387878418
2015-11-23,12.535377502441406
2015-11-24,12.509153366088867
2015-11-25,12.531631469726562
2015-11-27,12.576586723327637
2015-11-30,12.614051818847656
2015-12-01,12.65151596069336
2015-12-02,12.572842597961426
2015-12-03,12.400507926940918
2015-12-04,12.778892517089844
2015-12-07,12.83883285522461
2015-12-08,12.681488037109375
2015-12-09,12.576586723327637
2015-12-10,12.614051818847656
2015-12-11,12.426734924316406
2015-12-14,12.587824821472168
2015-12-15,12.666504859924316
2015-12-16,12.88753890991211
