Date,AIAENG.NS
2015-08-21,906.0588989257812
2015-08-24,881.5821533203125
2015-08-25,857.5267333984375
2015-08-26,852.0509643554688
2015-08-27,840.4913330078125
2015-08-28,852.5189819335938
2015-08-31,858.4627075195312
2015-09-01,852.659423828125
2015-09-02,844.0480346679688
2015-09-03,861.1771240234375
2015-09-04,857.4330444335938
2015-09-07,852.8934936523438
2015-09-08,852.4254150390625
2015-09-09,857.6201782226562
2015-09-10,886.420166015625
2015-09-11,908.1851806640625
2015-09-14,936.796142578125
2015-09-15,912.1512451171875
2015-09-16,916.258544921875
2015-09-18,896.334716796875
2015-09-21,905.30517578125
2015-09-22,897.7039794921875
2015-09-23,901.1504516601562
2015-09-24,921.1214599609375
2015-09-28,908.0436401367188
2015-09-29,894.5406494140625
2015-09-30,936.41845703125
2015-10-01,916.1170043945312
2015-10-05,923.1515502929688
2015-10-06,916.49462890625
2015-10-07,918.2886962890625
2015-10-08,943.7364501953125
2015-10-09,955.917236328125
2015-10-12,947.3717651367188
2015-10-13,923.2932739257812
2015-10-14,943.7364501953125
2015-10-15,960.4498291015625
2015-10-16,940.6676635742188
2015-10-19,947.9384155273438
2015-10-20,958.3251342773438
2015-10-21,957.0975952148438
2015-10-23,942.933837890625
2015-10-26,936.8904418945312
2015-10-27,927.4479370117188
2015-10-28,912.8592529296875
2015-10-29,905.069091796875
2015-10-30,905.6829223632812
2015-11-02,892.4633178710938
2015-11-03,879.4324951171875
2015-11-04,865.835205078125
2015-11-05,879.76318359375
2015-11-06,876.9303588867188
2015-11-09,868.6680908203125
2015-11-10,881.7459716796875
2015-11-13,876.0804443359375
2015-11-16,872.6339721679688
2015-11-17,868.5264282226562
2015-11-18,867.7711181640625
2015-11-19,868.5736083984375
2015-11-20,878.0634155273438
2015-11-23,884.5315551757812
2015-11-24,856.9592895507812
2015-11-26,851.5298461914062
2015-11-27,844.2119140625
2015-11-30,829.0565185546875
2015-12-01,845.9114990234375
2015-12-02,857.8091430664062
