Date,PERSISTENT.NS
2015-08-21,312.9315490722656
2015-08-24,301.193603515625
2015-08-25,296.1502685546875
2015-08-26,301.4167785644531
2015-08-27,304.9203186035156
2015-08-28,312.68609619140625
2015-08-31,312.8646240234375
2015-09-01,312.530029296875
2015-09-02,314.4267272949219
2015-09-03,314.5605773925781
2015-09-04,309.1379699707031
2015-09-07,306.0361328125
2015-09-08,316.41278076171875
2015-09-09,313.5340881347656
2015-09-10,310.25372314453125
2015-09-11,305.4112243652344
2015-09-14,303.24658203125
2015-09-15,302.1532287597656
2015-09-16,307.0402526855469
2015-09-18,303.9384765625
2015-09-21,306.1922302246094
2015-09-22,305.1881103515625
2015-09-23,299.2075500488281
2015-09-24,296.6635437011719
2015-09-28,303.4028625488281
2015-09-29,293.4500732421875
2015-09-30,297.0875549316406
2015-10-01,288.2059631347656
2015-10-05,288.4737548828125
2015-10-06,288.78607177734375
2015-10-07,289.9466247558594
2015-10-08,288.3175354003906
2015-10-09,297.288330078125
2015-10-12,299.9662780761719
2015-10-13,304.8310546875
2015-10-14,308.1337890625
2015-10-15,311.94976806640625
2015-10-16,307.3973693847656
2015-10-19,307.7990417480469
2015-10-20,305.1881103515625
2015-10-21,302.7557678222656
2015-10-23,296.3511657714844
2015-10-26,298.7388916015625
2015-10-27,295.5700378417969
2015-10-28,289.6564025878906
2015-10-29,290.68292236328125
2015-10-30,288.00506591796875
2015-11-02,291.6648864746094
2015-11-03,302.28704833984375
2015-11-04,296.1949157714844
2015-11-05,289.03155517578125
2015-11-06,293.918701171875
2015-11-09,292.73602294921875
2015-11-10,292.49053955078125
2015-11-13,291.4194030761719
2015-11-16,290.7275390625
2015-11-17,294.47662353515625
2015-11-18,294.2088317871094
2015-11-19,298.9397277832031
2015-11-20,295.45849609375
2015-11-23,298.716552734375
2015-11-24,300.3233337402344
2015-11-26,298.82818603515625
2015-11-27,303.2689208984375
2015-11-30,297.221435546875
2015-12-01,298.0470886230469
2015-12-02,298.5157470703125
2015-12-03,295.0567932128906
2015-12-04,295.9717712402344
2015-12-07,303.3359375
2015-12-08,304.116943359375
2015-12-09,300.2786560058594
2015-12-10,300.814208984375
2015-12-11,299.2522277832031
2015-12-14,295.8378601074219
2015-12-15,294.94525146484375
2015-12-16,294.3426513671875
2015-12-17,295.63702392578125
2015-12-18,296.4850158691406
2015-12-21,296.93133544921875
2015-12-22,293.7625732421875
2015-12-23,292.9368591308594
2015-12-24,290.3036193847656
2015-12-28,288.6522216796875
2015-12-29,287.3580017089844
2015-12-30,289.187744140625
2015-12-31,286.3537292480469
2016-01-01,289.70098876953125
2016-01-04,288.85302734375
2016-01-05,286.3537292480469
2016-01-06,286.91156005859375
2016-01-07,279.7705993652344
2016-01-08,281.06488037109375
2016-01-11,275.7314758300781
2016-01-12,281.22113037109375
2016-01-13,279.1234436035156
2016-01-14,278.20849609375
2016-01-15,275.6645812988281
2016-01-18,267.27386474609375
2016-01-19,274.5934143066406
2016-01-20,267.0730285644531
2016-01-21,271.08984375
2016-01-22,262.74383544921875
2016-01-25,271.6477966308594
2016-01-27,283.11798095703125
2016-01-28,285.0816955566406
2016-01-29,295.8601989746094
2016-02-01,295.8601989746094
2016-02-02,299.81756591796875
2016-02-03,295.6353454589844
2016-02-04,289.4294128417969
2016-02-05,288.3951416015625
2016-02-08,286.48388671875
2016-02-09,280.2554016113281
2016-02-10,275.1288757324219
2016-02-11,269.7099304199219
2016-02-12,263.458984375
2016-02-15,276.4104919433594
2016-02-16,275.2862243652344
2016-02-17,287.248291015625
2016-02-18,290.4862060546875
2016-02-19,292.8696594238281
2016-02-22,295.343017578125
2016-02-23,289.5867614746094
2016-02-24,283.15606689453125
2016-02-25,281.9643249511719
2016-02-26,278.8838806152344
2016-02-29,273.2850646972656
2016-03-01,276.92767333984375
2016-03-02,274.6341857910156
2016-03-03,270.7666931152344
2016-03-04,272.40814208984375
2016-03-08,273.86968994140625
2016-03-09,271.801025390625
2016-03-10,269.5300598144531
2016-03-11,269.55255126953125
2016-03-14,269.6873474121094
2016-03-15,275.3087463378906
2016-03-16,297.8838806152344
2016-03-17,295.5347595214844
2016-03-18,303.6437072753906
2016-03-21,334.56591796875
2016-03-22,323.52069091796875
2016-03-23,328.4447326660156
2016-03-28,334.6336975097656
2016-03-29,339.828857421875
2016-03-30,341.3421936035156
2016-03-31,344.3011779785156
2016-04-01,334.7918395996094
2016-04-04,339.3771057128906
2016-04-05,337.6378173828125
2016-04-06,333.8656921386719
2016-04-07,328.1736755371094
2016-04-08,329.0997314453125
2016-04-11,324.1531066894531
2016-04-12,324.98883056640625
2016-04-13,327.2249450683594
2016-04-18,348.4120788574219
2016-04-20,345.8822326660156
2016-04-21,337.1634826660156
2016-04-22,336.71173095703125
2016-04-25,324.6500549316406
2016-04-26,330.1388244628906
2016-04-27,338.6542663574219
2016-04-28,333.030029296875
2016-04-29,335.4468078613281
2016-05-02,334.0690612792969
2016-05-03,330.1613464355469
2016-05-04,332.5556335449219
2016-05-05,329.50634765625
2016-05-06,327.6541442871094
2016-05-09,326.231201171875
2016-05-10,324.0175476074219
2016-05-11,327.2249450683594
2016-05-12,332.78155517578125
2016-05-13,332.7588806152344
2016-05-16,323.94976806640625
2016-05-17,326.0504455566406
2016-05-18,331.7651062011719
2016-05-19,326.18597412109375
2016-05-20,327.4508972167969
2016-05-23,329.0093994140625
2016-05-24,328.6029052734375
2016-05-25,326.9765625
2016-05-26,330.4324035644531
2016-05-27,331.3584289550781
2016-05-30,332.5556335449219
2016-05-31,332.46527099609375
