Date,DOM.L
2015-08-24,288.11688232421875
2015-08-25,292.76922607421875
2015-08-26,285.6245422363281
2015-08-27,285.6245422363281
2015-08-28,287.618408203125
2015-09-01,284.2951965332031
2015-09-02,280.6397705078125
2015-09-03,283.6305847167969
2015-09-04,278.6458740234375
2015-09-07,283.4645080566406
2015-09-08,278.1474609375
2015-09-09,281.63671875
2015-09-10,280.8058776855469
2015-09-11,283.2982177734375
2015-09-14,284.129150390625
2015-09-15,283.6305847167969
2015-09-16,293.433837890625
2015-09-17,293.60003662109375
2015-09-18,294.5970153808594
2015-09-21,293.1016540527344
2015-09-22,289.11376953125
2015-09-23,291.107666015625
2015-09-24,290.11083984375
2015-09-25,298.9170837402344
2015-09-28,292.6031188964844
2015-09-29,292.6031188964844
2015-09-30,295.0954895019531
2015-10-01,299.08319091796875
2015-10-02,296.25848388671875
2015-10-05,298.0863037109375
2015-10-06,301.7416687011719
2015-10-07,293.60003662109375
2015-10-08,292.2706604003906
2015-10-09,288.9476013183594
2015-10-12,293.1016540527344
2015-10-13,295.760009765625
2015-10-14,332.9794006347656
2015-10-15,336.63470458984375
2015-10-16,328.9915466308594
2015-10-19,333.3116455078125
2015-10-20,338.62860107421875
2015-10-21,342.6164245605469
2015-10-22,343.94573974609375
2015-10-23,346.27197265625
2015-10-26,346.6042175292969
2015-10-27,346.27197265625
2015-10-28,355.9090576171875
2015-10-29,361.5583190917969
2015-10-30,362.5553283691406
2015-11-02,360.5614318847656
2015-11-03,351.92132568359375
2015-11-04,350.5920104980469
2015-11-05,354.57977294921875
2015-11-06,353.582763671875
2015-11-09,354.57977294921875
2015-11-10,352.9182434082031
2015-11-11,363.88470458984375
2015-11-12,361.8907470703125
2015-11-13,353.91522216796875
2015-11-16,358.8998718261719
2015-11-17,363.5522155761719
2015-11-18,362.88763427734375
2015-11-19,357.570556640625
2015-11-20,348.2658996582031
2015-11-23,343.94573974609375
2015-11-24,332.64697265625
2015-11-25,341.951904296875
2015-11-26,342.6164245605469
2015-11-27,344.9427185058594
2015-11-30,349.26275634765625
2015-12-01,351.25665283203125
2015-12-02,350.5920104980469
2015-12-03,339.2933044433594
2015-12-04,337.6317138671875
2015-12-07,342.2842102050781
2015-12-08,338.96099853515625
2015-12-09,334.64080810546875
2015-12-10,338.2963562011719
2015-12-11,330.81927490234375
2015-12-14,331.1515808105469
2015-12-15,322.012939453125
2015-12-16,328.9915466308594
2015-12-17,347.2688293457031
2015-12-18,345.9396057128906
2015-12-21,342.6164245605469
2015-12-22,338.96099853515625
2015-12-23,338.2963562011719
2015-12-24,338.96099853515625
2015-12-29,346.6042175292969
2015-12-30,353.2505798339844
2015-12-31,349.59503173828125
2016-01-04,344.9427185058594
2016-01-05,341.2871398925781
2016-01-06,346.6042175292969
2016-01-07,340.95489501953125
2016-01-08,345.2750244140625
2016-01-11,345.6072998046875
2016-01-12,334.97320556640625
2016-01-13,332.64697265625
2016-01-14,323.3421936035156
2016-01-15,323.5083923339844
2016-01-18,317.02825927734375
2016-01-19,319.188232421875
2016-01-20,305.06500244140625
2016-01-21,301.7416687011719
2016-01-22,307.0587158203125
2016-01-25,316.1973876953125
2016-01-26,314.0374450683594
2016-01-27,322.1790466308594
2016-01-28,320.5175476074219
2016-01-29,327.16375732421875
2016-02-01,328.1607666015625
2016-02-02,327.8284912109375
2016-02-03,320.35137939453125
2016-02-04,316.0313720703125
2016-02-05,296.0923767089844
2016-02-08,284.4613342285156
2016-02-09,284.6275329589844
2016-02-10,313.04052734375
2016-02-11,317.8590393066406
2016-02-12,319.85296630859375
2016-02-15,324.3392028808594
2016-02-16,324.5052795410156
2016-02-17,331.9824523925781
2016-02-18,334.97320556640625
2016-02-19,335.3055114746094
2016-02-22,338.96099853515625
2016-02-23,337.9640808105469
2016-02-24,340.6224670410156
2016-02-25,350.5920104980469
2016-02-26,346.27197265625
2016-02-29,347.9334716796875
2016-03-01,352.9182434082031
2016-03-02,348.5980529785156
2016-03-03,344.9427185058594
2016-03-04,351.5888671875
2016-03-07,353.91522216796875
2016-03-08,347.2688293457031
2016-03-09,342.2842102050781
2016-03-10,330.8570556640625
2016-03-11,332.0202941894531
2016-03-14,330.8570556640625
2016-03-15,330.5247497558594
2016-03-16,333.34967041015625
2016-03-17,336.6730651855469
2016-03-18,338.9996643066406
2016-03-21,339.33197021484375
2016-03-22,339.33197021484375
2016-03-23,343.32025146484375
2016-03-24,336.00848388671875
2016-03-29,338.6672668457031
2016-03-30,337.6702880859375
2016-03-31,335.011474609375
2016-04-01,337.0055236816406
2016-04-04,337.6702880859375
2016-04-05,337.6702880859375
2016-04-06,355.6172180175781
2016-04-07,342.9879455566406
2016-04-08,344.64959716796875
2016-04-11,338.9996643066406
2016-04-12,337.0055236816406
2016-04-13,335.3437194824219
2016-04-14,328.8629150390625
2016-04-15,328.6966247558594
2016-04-18,325.53936767578125
2016-04-19,319.72314453125
2016-04-20,317.72906494140625
2016-04-21,311.7467041015625
2016-04-22,311.0820007324219
2016-04-25,311.5805969238281
2016-04-26,308.0909118652344
2016-04-27,307.42620849609375
2016-04-28,310.7496337890625
2016-04-29,305.265869140625
2016-05-03,310.2510986328125
2016-05-04,315.5688171386719
2016-05-05,318.06146240234375
2016-05-06,316.23345947265625
2016-05-09,323.8776550292969
2016-05-10,325.0408630371094
2016-05-11,325.0408630371094
2016-05-12,331.1893615722656
2016-05-13,332.6849670410156
2016-05-16,334.34674072265625
2016-05-17,338.3349914550781
2016-05-18,340.6613464355469
2016-05-19,338.3349914550781
2016-05-20,344.9820251464844
2016-05-23,349.30267333984375
2016-05-24,350.63201904296875
2016-05-25,350.9643859863281
2016-05-26,350.63201904296875
2016-05-27,348.97027587890625
2016-05-31,350.63201904296875
2016-06-01,345.97906494140625
2016-06-02,350.2996520996094
2016-06-03,350.9643859863281
2016-06-06,351.96142578125
2016-06-07,354.6202087402344
2016-06-08,364.9232177734375
2016-06-09,365.25555419921875
2016-06-10,353.6231689453125
2016-06-13,345.6466979980469
2016-06-14,337.3379211425781
2016-06-15,335.6761474609375
2016-06-16,321.0526428222656
2016-06-17,330.5247497558594
2016-06-20,346.643798828125
2016-06-21,346.31146240234375
2016-06-22,335.6761474609375
2016-06-23,341.99090576171875
2016-06-24,335.6761474609375
2016-06-27,306.0968322753906
2016-06-28,322.4485168457031
2016-06-29,320.5540466308594
2016-06-30,331.3224182128906
