Date,GPC
2015-08-03,66.40117645263672
2015-08-04,66.35614013671875
2015-08-05,66.791259765625
2015-08-06,66.55122375488281
2015-08-07,66.00357818603516
2015-08-10,66.86629486083984
2015-08-11,66.01104736328125
2015-08-12,65.74848937988281
2015-08-13,66.06356048583984
2015-08-14,66.37117004394531
2015-08-17,66.25113677978516
2015-08-18,65.94353485107422
2015-08-19,65.56845092773438
2015-08-20,64.278076171875
2015-08-21,62.59009552001953
2015-08-24,60.90961456298828
2015-08-25,59.664283752441406
2015-08-26,60.81209182739258
2015-08-27,62.665122985839844
2015-08-28,62.80012893676758
2015-08-31,62.63512420654297
2015-09-01,60.91712951660156
2015-09-02,61.72220993041992
2015-09-03,61.88850784301758
2015-09-04,61.17037582397461
2015-09-08,63.22652816772461
2015-09-09,62.735164642333984
2015-09-10,62.8712158203125
2015-09-11,63.06779098510742
2015-09-14,62.7729606628418
2015-09-15,64.17899322509766
2015-09-16,65.0558853149414
2015-09-17,64.2999496459961
2015-09-18,62.931705474853516
2015-09-21,63.27186584472656
2015-09-22,62.485694885253906
2015-09-23,62.50840759277344
2015-09-24,63.04508972167969
2015-09-25,63.46840286254883
2015-09-28,62.485694885253906
2015-09-29,62.39498519897461
2015-09-30,62.65955352783203
2015-10-01,61.593711853027344
2015-10-02,62.0472412109375
2015-10-05,63.370155334472656
2015-10-06,62.644447326660156
2015-10-07,63.86906051635742
2015-10-08,64.98027801513672
2015-10-09,64.68547821044922
2015-10-12,64.41332244873047
2015-10-13,63.778343200683594
2015-10-14,62.9921989440918
2015-10-15,63.28700256347656
2015-10-16,62.95439529418945
2015-10-19,63.9975700378418
2015-10-20,64.76863098144531
2015-10-21,65.07101440429688
2015-10-22,66.77941131591797
2015-10-23,67.42198944091797
2015-10-26,67.96623229980469
2015-10-27,66.9759521484375
2015-10-28,68.10985565185547
2015-10-29,68.1929931640625
2015-10-30,68.60877990722656
2015-11-02,69.4327621459961
2015-11-03,69.2286605834961
2015-11-04,69.03211212158203
2015-11-05,69.50835418701172
2015-11-06,67.67143249511719
2015-11-09,67.21029663085938
2015-11-10,67.86798858642578
2015-11-11,67.56559753417969
2015-11-12,65.96302032470703
2015-11-13,64.88201904296875
2015-11-16,66.3712158203125
2015-11-17,66.56017303466797
2015-11-18,66.83234405517578
2015-11-19,67.28590393066406
2015-11-20,68.21569061279297
2015-11-23,68.36689758300781
2015-11-24,67.77723693847656
2015-11-25,68.47271728515625
2015-11-27,68.69950103759766
2015-11-30,68.51048278808594
2015-12-01,68.4953842163086
2015-12-02,67.47933959960938
2015-12-03,67.06831359863281
