Date,FBK.MI
2015-08-24,4.723290920257568
2015-08-25,5.020081043243408
2015-08-26,4.980266571044922
2015-08-27,5.09246826171875
2015-08-28,5.012841701507568
2015-08-31,5.005602836608887
2015-09-01,4.839111328125
2015-09-02,4.79567813873291
2015-09-03,4.94769287109375
2015-09-04,4.632806777954102
2015-09-07,4.665380954742432
2015-09-08,4.712432861328125
2015-09-09,4.705194473266602
2015-09-10,4.716052055358887
2015-09-11,4.705194473266602
2015-09-14,4.589373588562012
2015-09-15,4.643664836883545
2015-09-16,4.592992782592773
2015-09-17,4.61832857131958
2015-09-18,4.560418128967285
2015-09-21,4.506127834320068
2015-09-22,4.433740615844727
2015-09-23,4.364973068237305
2015-09-24,4.155048370361328
2015-09-25,4.343255996704102
2015-09-28,4.245532035827637
2015-09-29,4.227436542510986
2015-09-30,4.299823760986328
2015-10-01,4.33963680267334
2015-10-02,4.422882080078125
2015-10-05,4.58575439453125
2015-10-06,4.672619342803955
2015-10-07,4.65452241897583
2015-10-08,4.647283554077148
2015-10-09,4.592992782592773
2015-10-12,4.469933986663818
2015-10-13,4.415642738342285
2015-10-14,4.415642738342285
2015-10-15,4.491650104522705
2015-10-16,4.636425971984863
2015-10-19,4.712432861328125
2015-10-20,4.69071626663208
2015-10-21,4.770342826843262
2015-10-22,4.792058944702148
2015-10-23,5.01646089553833
2015-10-26,4.958549976348877
2015-10-27,4.907878875732422
2015-10-28,5.005602836608887
2015-10-29,5.034557342529297
2015-10-30,4.98388671875
2015-11-02,4.918737411499023
2015-11-03,4.951312065124512
2015-11-04,4.958549976348877
2015-11-05,4.922357082366943
2015-11-06,5.175713062286377
2015-11-09,5.05265474319458
2015-11-10,5.128661632537842
2015-11-11,5.2227654457092285
2015-11-12,5.240861415863037
2015-11-13,5.240861415863037
2015-11-16,5.143139362335205
2015-11-17,5.266197204589844
2015-11-18,5.29153299331665
2015-11-19,5.240861415863037
2015-11-20,5.255340099334717
2015-11-23,5.266197204589844
2015-11-24,5.128661632537842
2015-11-25,5.240861415863037
2015-11-26,5.255340099334717
2015-11-27,5.240861415863037
2015-11-30,5.349443435668945
2015-12-01,5.29153299331665
2015-12-02,5.306011199951172
2015-12-03,5.219145774841309
2015-12-04,5.255340099334717
2015-12-07,5.345824718475342
2015-12-08,5.244481086730957
2015-12-09,5.211906909942627
2015-12-10,5.168474197387695
2015-12-11,5.128661632537842
2015-12-14,5.1322808265686035
2015-12-15,5.266197204589844
2015-12-16,5.324107646942139
2015-12-17,5.4218316078186035
2015-12-18,5.418212413787842
2015-12-21,5.3856377601623535
2015-12-22,5.29153299331665
2015-12-23,5.309630393981934
2015-12-28,5.345824718475342
2015-12-29,5.483360767364502
2015-12-30,5.51955509185791
2015-12-31,5.51955509185791
2016-01-04,5.353062629699707
2016-01-05,5.320487976074219
2016-01-06,5.172093391418457
2016-01-07,5.139519691467285
2016-01-08,5.26257848739624
2016-01-11,5.1322808265686035
2016-01-12,5.266197204589844
2016-01-13,5.3132500648498535
2016-01-14,5.193809986114502
2016-01-15,5.04541540145874
2016-01-18,4.929595947265625
2016-01-19,5.074370861053467
2016-01-20,4.65814208984375
2016-01-21,4.821013450622559
2016-01-22,4.965789318084717
2016-01-25,4.965789318084717
2016-01-26,5.05265474319458
2016-01-27,5.211906909942627
2016-01-28,5.04903507232666
2016-01-29,5.146759033203125
2016-02-01,5.164855480194092
2016-02-02,5.125041961669922
2016-02-03,4.889781951904297
2016-02-04,4.792058944702148
2016-02-05,4.741387367248535
2016-02-08,4.567657470703125
2016-02-09,4.343255996704102
2016-02-10,4.455456733703613
2016-02-11,4.484411716461182
2016-02-12,4.582135200500488
2016-02-15,4.784820556640625
2016-02-16,4.734148979187012
2016-02-17,4.813775062561035
2016-02-18,4.7667236328125
2016-02-19,4.712432861328125
