Date,SANB11.SA
2015-08-24,6.929261207580566
2015-08-25,6.834885120391846
2015-08-26,7.351473808288574
2015-08-27,7.525328636169434
2015-08-28,7.321671962738037
2015-08-31,7.167686939239502
2015-09-01,7.073310375213623
2015-09-02,7.550161838531494
2015-09-03,7.733948707580566
2015-09-04,7.301803112030029
2015-09-08,7.122982025146484
2015-09-09,7.127949237823486
2015-09-10,7.330565929412842
2015-09-11,7.140571117401123
2015-09-14,7.425561428070068
2015-09-15,7.499448299407959
2015-09-16,7.705273628234863
2015-09-17,7.689443111419678
2015-09-18,7.2883429527282715
2015-09-21,7.151127815246582
2015-09-22,7.188069820404053
2015-09-23,6.924191474914551
2015-09-24,7.013909816741943
2015-09-25,6.897802829742432
2015-09-28,6.750030517578125
2015-09-29,6.697253704071045
2015-09-30,6.655033588409424
2015-10-01,6.8133625984191895
2015-10-02,7.098350524902344
2015-10-05,7.298899173736572
2015-10-06,7.356953144073486
2015-10-07,8.006093978881836
2015-10-08,8.011372566223145
2015-10-09,8.180256843566895
2015-10-13,7.4519500732421875
2015-10-14,7.341121196746826
2015-10-15,7.415004253387451
2015-10-16,7.599721908569336
2015-10-19,7.599721908569336
2015-10-20,7.436118125915527
2015-10-21,7.4677839279174805
2015-10-22,7.510001182556152
2015-10-23,7.657777309417725
2015-10-26,7.578609943389893
2015-10-27,7.4519500732421875
2015-10-28,7.589166164398193
2015-10-29,7.21445894241333
2015-10-30,7.298899173736572
2015-11-03,7.78443717956543
2015-11-04,8.069426536560059
2015-11-05,8.174979209899902
2015-11-06,7.794992446899414
2015-11-09,7.652493476867676
2015-11-10,7.731660842895508
2015-11-11,8.037759780883789
2015-11-12,7.953320026397705
2015-11-13,7.758049011230469
2015-11-16,7.8424882888793945
2015-11-17,7.995541095733643
2015-11-18,7.995541095733643
2015-11-19,8.38608169555664
2015-11-23,8.31219482421875
2015-11-24,8.285804748535156
2015-11-25,8.037759780883789
2015-11-26,8.185535430908203
2015-11-27,7.72110652923584
2015-11-30,7.810824394226074
2015-12-01,7.758049011230469
2015-12-02,7.847769737243652
2015-12-03,8.180256843566895
2015-12-04,8.116926193237305
2015-12-07,8.291086196899414
2015-12-08,8.148591995239258
2015-12-09,8.338582038879395
2015-12-10,8.185535430908203
2015-12-11,8.254142761230469
2015-12-14,8.354415893554688
2015-12-15,8.412468910217285
2015-12-16,8.41774845123291
2015-12-17,8.649962425231934
2015-12-18,8.227752685546875
2015-12-21,8.132757186889648
2015-12-22,8.180256843566895
2015-12-23,8.391359329223633
2015-12-28,8.54440975189209
2015-12-29,8.481078147888184
2015-12-30,8.465245246887207
2016-01-04,8.154382705688477
2016-01-05,8.031929016113281
2016-01-06,7.848245620727539
2016-01-07,7.631165981292725
2016-01-08,7.631165981292725
2016-01-11,7.647862911224365
2016-01-12,7.742488384246826
2016-01-13,7.670130729675293
2016-01-14,7.503145217895508
2016-01-15,7.263801097869873
