Date,UHS
2015-08-03,139.8206787109375
2015-08-04,140.2425994873047
2015-08-05,138.05615234375
2015-08-06,136.67515563964844
2015-08-07,136.88613891601562
2015-08-10,137.40399169921875
2015-08-11,135.60110473632812
2015-08-12,136.2628631591797
2015-08-13,136.44500732421875
2015-08-14,137.2218475341797
2015-08-17,139.53289794921875
2015-08-18,139.48500061035156
2015-08-19,139.98367309570312
2015-08-20,135.35177612304688
2015-08-21,134.92022705078125
2015-08-24,127.40176391601562
2015-08-25,126.75924682617188
2015-08-26,131.28565979003906
2015-08-27,135.188720703125
2015-08-28,134.70889282226562
2015-08-31,131.60916137695312
2015-09-01,126.46533203125
2015-09-02,130.84141540527344
2015-09-03,129.73785400390625
2015-09-04,129.57470703125
2015-09-08,132.24258422851562
2015-09-09,129.5938720703125
2015-09-10,129.26759338378906
2015-09-11,127.8376693725586
2015-09-14,129.8049774169922
2015-09-15,129.85301208496094
2015-09-16,130.822265625
2015-09-17,133.40371704101562
2015-09-18,131.69554138183594
2015-09-21,133.38455200195312
2015-09-22,133.7012481689453
2015-09-23,133.67245483398438
2015-09-24,128.19271850585938
2015-09-25,124.77635955810547
2015-09-28,119.85319519042969
2015-09-29,116.2736587524414
2015-09-30,119.77645111083984
2015-10-01,121.35989379882812
2015-10-02,122.05084228515625
2015-10-05,125.06423950195312
2015-10-06,122.74180603027344
2015-10-07,124.41166687011719
2015-10-08,122.30034637451172
2015-10-09,123.31764221191406
2015-10-12,124.05656433105469
2015-10-13,122.60746002197266
2015-10-14,121.19673919677734
2015-10-15,120.17949676513672
2015-10-16,123.288818359375
2015-10-19,124.18128967285156
2015-10-20,122.9913330078125
2015-10-21,120.40982818603516
2015-10-22,107.22393035888672
2015-10-23,111.27375793457031
2015-10-26,113.135498046875
2015-10-27,111.36014556884766
2015-10-28,115.8130111694336
2015-10-29,117.24288940429688
2015-10-30,117.16614532470703
2015-11-02,120.0931396484375
2015-11-03,117.88591003417969
2015-11-04,119.98758697509766
2015-11-05,117.95307922363281
2015-11-06,120.78408813476562
2015-11-09,119.4213638305664
2015-11-10,120.05472564697266
2015-11-11,115.937744140625
2015-11-12,112.87642669677734
2015-11-13,114.93008422851562
2015-11-16,115.38113403320312
2015-11-17,117.7131576538086
2015-11-18,119.4213638305664
2015-11-19,114.27753448486328
2015-11-20,117.55958557128906
2015-11-23,118.42330169677734
2015-11-24,119.29661560058594
2015-11-25,118.75919342041016
2015-11-27,119.66201782226562
2015-11-30,116.71341705322266
2015-12-01,120.37274169921875
2015-12-02,118.07727813720703
2015-12-03,113.48635864257812
2015-12-04,114.7253189086914
2015-12-07,112.45865631103516
2015-12-08,115.5224838256836
