Date,JKLAKSHMI.NS
2015-08-21,338.7389831542969
2015-08-24,311.067626953125
2015-08-25,309.279296875
2015-08-26,313.4676818847656
2015-08-27,326.07977294921875
2015-08-28,335.3036193847656
2015-08-31,331.72698974609375
2015-09-01,326.07977294921875
2015-09-02,326.7386474609375
2015-09-03,334.5506591796875
2015-09-04,335.0682678222656
2015-09-07,337.51544189453125
2015-09-08,338.9272766113281
2015-09-09,344.24505615234375
2015-09-10,345.0450744628906
2015-09-11,349.045166015625
2015-09-14,349.42169189453125
2015-09-15,349.186279296875
2015-09-16,349.3756103515625
2015-09-18,350.41650390625
2015-09-21,350.9369812011719
2015-09-22,350.17999267578125
2015-09-23,346.3473815917969
2015-09-24,347.3410339355469
2015-09-28,350.2745666503906
2015-09-29,349.84869384765625
2015-09-30,352.8769226074219
2015-10-01,357.7976989746094
2015-10-05,358.17620849609375
2015-10-06,359.595703125
2015-10-07,361.0624084472656
2015-10-08,362.8131408691406
2015-10-09,364.18524169921875
2015-10-12,363.2862854003906
2015-10-13,364.2325744628906
2015-10-14,357.5137634277344
2015-10-15,356.14166259765625
2015-10-16,351.45751953125
2015-10-19,354.2017822265625
2015-10-20,360.2107849121094
2015-10-21,360.73126220703125
2015-10-23,355.2900085449219
2015-10-26,353.87054443359375
2015-10-27,358.3655090332031
2015-10-28,354.0597839355469
2015-10-29,349.65948486328125
2015-10-30,354.39105224609375
2015-11-02,351.9306335449219
2015-11-03,356.236328125
2015-11-04,347.6248779296875
2015-11-05,341.14276123046875
2015-11-06,334.1401062011719
2015-11-09,332.4367370605469
2015-11-10,338.49310302734375
2015-11-13,335.03912353515625
2015-11-16,329.4085998535156
2015-11-17,326.09649658203125
2015-11-18,325.9546203613281
2015-11-19,327.27935791015625
2015-11-20,325.85986328125
2015-11-23,327.6106262207031
2015-11-24,331.7743835449219
2015-11-26,333.80889892578125
2015-11-27,340.0544738769531
2015-11-30,342.56219482421875
2015-12-01,337.641357421875
2015-12-02,331.5377502441406
2015-12-03,328.3676452636719
2015-12-04,308.1167297363281
2015-12-07,313.3687438964844
2015-12-08,312.6589660644531
2015-12-09,307.83282470703125
2015-12-10,306.7445373535156
2015-12-11,310.3878173828125
2015-12-14,314.598876953125
2015-12-15,318.1948547363281
2015-12-16,314.2677307128906
2015-12-17,320.18212890625
2015-12-18,312.7536315917969
2015-12-21,311.0029296875
2015-12-22,307.7381896972656
2015-12-23,310.5297546386719
2015-12-24,311.0029296875
2015-12-28,313.0374755859375
2015-12-29,309.25225830078125
2015-12-30,312.6589660644531
2015-12-31,309.39422607421875
2016-01-01,315.8763427734375
2016-01-04,316.9173278808594
2016-01-05,316.349609375
2016-01-06,312.6589660644531
2016-01-07,307.927490234375
2016-01-08,305.27783203125
2016-01-11,300.4043273925781
2016-01-12,293.7802734375
2016-01-13,295.388916015625
