Date,BAJAJHLDNG.NS
2015-08-03,1271.6558837890625
2015-08-04,1293.6883544921875
2015-08-05,1311.159423828125
2015-08-06,1341.067138671875
2015-08-07,1361.464599609375
2015-08-10,1376.6978759765625
2015-08-11,1361.2923583984375
2015-08-12,1355.95654296875
2015-08-13,1377.257568359375
2015-08-14,1416.07275390625
2015-08-17,1416.58935546875
2015-08-18,1426.185546875
2015-08-19,1432.68359375
2015-08-20,1428.8966064453125
2015-08-21,1425.3250732421875
2015-08-24,1392.7923583984375
2015-08-25,1387.2408447265625
2015-08-26,1355.6121826171875
2015-08-27,1364.26171875
2015-08-28,1399.7635498046875
2015-08-31,1363.6591796875
2015-09-01,1388.7901611328125
2015-09-02,1339.9482421875
2015-09-03,1387.1119384765625
2015-09-04,1367.360107421875
2015-09-07,1337.022216796875
2015-09-08,1288.8685302734375
2015-09-09,1291.579345703125
2015-09-10,1377.47265625
2015-09-11,1411.1241455078125
2015-09-14,1391.3292236328125
2015-09-15,1377.0423583984375
2015-09-16,1377.9891357421875
2015-09-18,1392.2757568359375
2015-09-21,1336.634765625
2015-09-22,1354.10595703125
2015-09-23,1367.96240234375
2015-09-24,1358.3233642578125
2015-09-28,1347.8663330078125
2015-09-29,1340.120361328125
2015-09-30,1351.954345703125
2015-10-01,1369.640869140625
2015-10-05,1371.3189697265625
2015-10-06,1365.2083740234375
2015-10-07,1363.0567626953125
2015-10-08,1363.96044921875
2015-10-09,1369.33935546875
2015-10-12,1353.2022705078125
2015-10-13,1361.120361328125
2015-10-14,1358.3663330078125
2015-10-15,1355.3109130859375
2015-10-16,1348.03857421875
2015-10-19,1368.6080322265625
2015-10-20,1374.8046875
2015-10-21,1402.0440673828125
2015-10-23,1395.6754150390625
2015-10-26,1398.7305908203125
2015-10-27,1435.39453125
2015-10-28,1421.1937255859375
2015-10-29,1420.2900390625
2015-10-30,1427.691650390625
2015-11-02,1444.0440673828125
2015-11-03,1430.3597412109375
2015-11-04,1437.3740234375
2015-11-05,1446.28173828125
2015-11-06,1433.242919921875
2015-11-09,1423.431640625
2015-11-10,1421.23681640625
2015-11-13,1423.474365234375
2015-11-16,1426.2288818359375
2015-11-17,1436.8145751953125
2015-11-18,1435.1363525390625
2015-11-19,1430.230712890625
2015-11-20,1432.7265625
2015-11-23,1437.9766845703125
2015-11-24,1449.939697265625
2015-11-26,1457.771484375
2015-11-27,1471.36962890625
2015-11-30,1473.435546875
2015-12-01,1479.3306884765625
2015-12-02,1492.0684814453125
2015-12-03,1484.7958984375
2015-12-04,1488.1524658203125
2015-12-07,1480.4063720703125
