Date,KALYANKJIL.NS
2021-03-26,74.81171417236328
2021-03-30,70.48417663574219
2021-03-31,67.74837493896484
2021-04-01,71.03134155273438
2021-04-05,69.5390853881836
2021-04-06,69.98676300048828
2021-04-07,69.5390853881836
2021-04-08,72.4738540649414
2021-04-09,70.63340759277344
2021-04-12,67.99708557128906
2021-04-13,68.94218444824219
2021-04-15,68.64373016357422
2021-04-16,68.54425048828125
2021-04-19,66.50483703613281
2021-04-20,66.80329132080078
2021-04-22,66.35560607910156
2021-04-23,65.26128387451172
2021-04-26,63.520320892333984
2021-04-27,61.08297348022461
2021-04-28,61.33168411254883
2021-04-29,60.933746337890625
2021-04-30,59.590721130371094
2021-05-03,58.34717559814453
2021-05-04,57.94923782348633
2021-05-05,57.800010681152344
2021-05-06,56.40724182128906
2021-05-07,58.49639892578125
2021-05-10,61.182456970214844
2021-05-11,63.27161407470703
2021-05-12,62.0280647277832
2021-05-14,60.48606872558594
2021-05-17,60.43632888793945
2021-05-18,60.933746337890625
2021-05-19,60.88400650024414
2021-05-20,59.78968048095703
2021-05-21,61.58039093017578
2021-05-24,62.67470932006836
2021-05-25,67.49966430664062
2021-05-26,70.83236694335938
2021-05-27,68.14631652832031
2021-05-28,67.5494155883789
2021-05-31,66.45509338378906
2021-06-01,67.59915161132812
2021-06-02,69.88727569580078
2021-06-03,70.7328872680664
2021-06-04,80.43254852294922
2021-06-07,82.7704086303711
2021-06-08,81.17867279052734
2021-06-09,84.95905303955078
2021-06-10,85.85440826416016
2021-06-11,84.76007843017578
2021-06-14,83.26782989501953
2021-06-15,82.82015228271484
2021-06-16,81.37764739990234
2021-06-17,81.47712707519531
2021-06-18,80.0843505859375
2021-06-21,79.43771362304688
2021-06-22,81.07919311523438
2021-06-23,80.43254852294922
2021-06-24,79.33822631835938
2021-06-25,78.79106140136719
2021-06-28,78.44287109375
2021-06-29,77.05009460449219
2021-06-30,77.8459701538086
2021-07-01,75.95578002929688
2021-07-02,77.64700317382812
2021-07-05,76.60242462158203
2021-07-06,76.30397033691406
2021-07-07,77.09984588623047
2021-07-08,77.54751586914062
2021-07-09,77.09984588623047
2021-07-12,76.25423431396484
2021-07-13,76.10501098632812
2021-07-14,75.65733337402344
2021-07-15,74.71223449707031
2021-07-16,74.61274719238281
2021-07-19,72.42411041259766
2021-07-20,72.02618408203125
2021-07-22,72.9215316772461
2021-07-23,71.92669677734375
2021-07-26,71.72772979736328
2021-07-27,71.67798614501953
2021-07-28,70.48417663574219
2021-07-29,70.58366394042969
2021-07-30,70.58366394042969
2021-08-02,71.37953186035156
2021-08-03,73.91637420654297
2021-08-04,72.02618408203125
2021-08-05,70.48417663574219
2021-08-06,66.50483703613281
2021-08-09,66.50483703613281
2021-08-10,65.65922546386719
2021-08-11,66.65406036376953
2021-08-12,66.7535400390625
2021-08-13,65.75869750976562
2021-08-16,64.66438293457031
2021-08-17,63.66954803466797
2021-08-18,62.525482177734375
2021-08-20,61.48090744018555
2021-08-23,61.7296142578125
2021-08-24,61.97832489013672
2021-08-25,62.97315979003906
2021-08-26,62.62497329711914
2021-08-27,62.57522964477539
2021-08-30,62.62497329711914
2021-08-31,66.7535400390625
2021-09-01,65.95767974853516
2021-09-02,64.6146469116211
2021-09-03,65.85818481445312
2021-09-06,66.30586242675781
2021-09-07,66.90276336669922
2021-09-08,66.60430908203125
2021-09-09,65.6094741821289
2021-09-13,65.46025848388672
2021-09-14,66.30586242675781
2021-09-15,70.9318618774414
2021-09-16,72.27488708496094
2021-09-17,71.52875518798828
2021-09-20,69.2903823852539
2021-09-21,67.5494155883789
2021-09-22,70.28521728515625
2021-09-23,69.5390853881836
2021-09-24,69.14115142822266
2021-09-27,68.74321746826172
2021-09-28,68.6934814453125
2021-09-29,69.68830871582031
2021-09-30,72.52359771728516
2021-10-01,73.12049865722656
2021-10-04,73.02101135253906
2021-10-05,71.92669677734375
2021-10-06,70.18572998046875
2021-10-07,79.53718566894531
2021-10-08,77.59725952148438
2021-10-11,77.64700317382812
2021-10-12,78.59210205078125
2021-10-13,77.59725952148438
2021-10-14,78.39313507080078
2021-10-18,77.54751586914062
2021-10-19,75.11016845703125
2021-10-20,74.6624984741211
2021-10-21,75.20965576171875
2021-10-22,75.01068878173828
2021-10-25,73.76714324951172
2021-10-26,75.40862274169922
2021-10-27,75.8563003540039
2021-10-28,76.15475463867188
2021-10-29,75.8563003540039
2021-11-01,76.25423431396484
2021-11-02,77.54751586914062
2021-11-03,77.14958953857422
2021-11-04,77.59725952148438
2021-11-08,77.89571380615234
2021-11-09,78.24390411376953
2021-11-10,81.07919311523438
2021-11-11,79.43771362304688
2021-11-12,77.64700317382812
2021-11-15,75.40862274169922
2021-11-16,74.96094512939453
2021-11-17,74.2148208618164
2021-11-18,72.4738540649414
2021-11-22,68.14631652832031
2021-11-23,69.73805236816406
2021-11-24,71.0810775756836
2021-11-25,70.38469696044922
2021-11-26,67.05199432373047
2021-11-29,66.0571517944336
2021-11-30,66.70380401611328
2021-12-01,67.5494155883789
2021-12-02,67.64889526367188
2021-12-03,68.84269714355469
2021-12-06,67.3504409790039
2021-12-07,67.49966430664062
2021-12-08,68.34527587890625
2021-12-09,70.135986328125
2021-12-10,71.37953186035156
2021-12-13,70.08624267578125
2021-12-14,69.43960571289062
2021-12-15,68.94218444824219
2021-12-16,69.93701934814453
2021-12-17,67.8976058959961
2021-12-20,66.35560607910156
2021-12-21,66.90276336669922
2021-12-22,67.25096130371094
2021-12-23,67.20121765136719
2021-12-24,67.40018463134766
