Date,BEZ.L
2015-08-24,317.75579833984375
2015-08-25,329.3323059082031
2015-08-26,327.63568115234375
2015-08-27,329.83123779296875
2015-08-28,334.0227966308594
2015-09-01,328.1346740722656
2015-09-02,329.63165283203125
2015-09-03,332.1266174316406
2015-09-04,324.94122314453125
2015-09-07,327.2364807128906
2015-09-08,339.0126953125
2015-09-09,343.3039245605469
2015-09-10,342.3059997558594
2015-09-11,343.3039245605469
2015-09-14,344.3019714355469
2015-09-15,349.8906555175781
2015-09-16,352.8845520019531
2015-09-17,355.9783020019531
2015-09-18,356.1778259277344
2015-09-21,355.6788635253906
2015-09-22,351.0881652832031
2015-09-23,354.8804626464844
2015-09-24,352.3855895996094
2015-09-25,360.5689392089844
2015-09-28,358.2735900878906
2015-09-29,352.9842529296875
2015-09-30,356.2776794433594
2015-10-01,356.1778259277344
2015-10-02,354.2816467285156
2015-10-05,355.2796325683594
2015-10-06,354.2816467285156
2015-10-07,351.0881652832031
2015-10-08,348.1940612792969
2015-10-09,344.3019714355469
2015-10-12,344.3019714355469
2015-10-13,346.9964904785156
2015-10-14,344.80096435546875
2015-10-15,347.0962219238281
2015-10-16,350.0901794433594
2015-10-19,353.5830993652344
2015-10-20,354.8804626464844
2015-10-21,355.8785095214844
2015-10-22,357.97418212890625
2015-10-23,360.7685241699219
2015-10-26,362.56488037109375
2015-10-27,359.97021484375
2015-10-28,363.4631042480469
2015-10-29,363.4631042480469
2015-10-30,362.86431884765625
2015-11-02,364.4610900878906
2015-11-03,360.8683776855469
2015-11-04,362.3653259277344
2015-11-05,366.2574157714844
2015-11-06,365.5588073730469
2015-11-09,360.9681396484375
2015-11-10,361.6667175292969
2015-11-11,366.9560241699219
2015-11-12,360.1697692871094
2015-11-13,360.0699157714844
2015-11-16,370.84814453125
2015-11-17,386.0173645019531
2015-11-18,386.1170959472656
2015-11-19,383.82183837890625
2015-11-20,383.72198486328125
2015-11-23,382.6241760253906
2015-11-24,380.82794189453125
2015-11-25,385.3187561035156
2015-11-26,382.92364501953125
2015-11-27,385.4185791015625
2015-11-30,392.8035888671875
2015-12-01,398.0928955078125
2015-12-02,391.20684814453125
2015-12-03,390.00927734375
2015-12-04,386.2169494628906
2015-12-07,383.82183837890625
2015-12-08,385.6181335449219
2015-12-09,386.8157043457031
2015-12-10,387.813720703125
2015-12-11,384.9195861816406
2015-12-14,381.3268127441406
2015-12-15,390.6080322265625
2015-12-16,391.20684814453125
2015-12-17,392.2048034667969
2015-12-18,393.9013671875
2015-12-21,386.8157043457031
2015-12-22,385.3187561035156
2015-12-23,386.7159423828125
2015-12-24,386.7159423828125
2015-12-29,388.11309814453125
2015-12-30,390.2088317871094
2015-12-31,389.9094543457031
2016-01-04,379.9296569824219
2016-01-05,382.0254821777344
2016-01-06,381.22711181640625
2016-01-07,379.2310485839844
2016-01-08,380.6282653808594
2016-01-11,376.8359375
2016-01-12,381.22711181640625
2016-01-13,380.92767333984375
2016-01-14,363.6626892089844
2016-01-15,361.76654052734375
2016-01-18,363.3632507324219
2016-01-19,365.8582458496094
2016-01-20,356.2776794433594
2016-01-21,361.1677551269531
2016-01-22,362.26544189453125
2016-01-25,368.95196533203125
2016-01-26,367.3551940917969
2016-01-27,371.84613037109375
2016-01-28,367.854248046875
2016-01-29,374.2412414550781
2016-02-01,375.6383972167969
2016-02-02,370.34918212890625
2016-02-03,360.5689392089844
2016-02-04,360.66876220703125
2016-02-05,357.275634765625
2016-02-08,353.3835754394531
2016-02-09,355.7786865234375
2016-02-10,368.25341796875
2016-02-11,360.7685241699219
2016-02-12,362.56488037109375
2016-02-15,365.5588073730469
2016-02-16,370.94793701171875
2016-02-17,375.4388427734375
2016-02-18,375.2392272949219
2016-02-19,370.84814453125
2016-02-22,373.6424255371094
2016-02-23,369.25140380859375
2016-02-24,372.3450927734375
2016-02-25,359.335205078125
2016-02-26,358.53668212890625
2016-02-29,358.63641357421875
2016-03-01,362.6290283203125
2016-03-02,355.1429443359375
2016-03-03,354.3443298339844
2016-03-04,356.73992919921875
2016-03-07,347.9562072753906
2016-03-08,345.0615539550781
2016-03-09,348.455322265625
2016-03-10,339.6715393066406
2016-03-11,347.0578918457031
2016-03-14,347.3573303222656
2016-03-15,347.55694580078125
2016-03-16,351.549560546875
2016-03-17,354.2445983886719
2016-03-18,359.335205078125
2016-03-21,359.2353210449219
2016-03-22,360.1336364746094
2016-03-23,360.33331298828125
2016-03-24,355.1429443359375
2016-03-29,357.8379211425781
2016-03-30,361.2316589355469
2016-03-31,359.135498046875
2016-04-01,356.6401062011719
2016-04-04,354.5440368652344
2016-04-05,351.1502990722656
2016-04-06,356.2408447265625
2016-04-07,347.2575378417969
2016-04-08,348.0560302734375
2016-04-11,342.06707763671875
2016-04-12,338.8729553222656
2016-04-13,336.4774169921875
2016-04-14,333.7823791503906
2016-04-15,328.9913024902344
2016-04-18,319.4090270996094
2016-04-19,322.20379638671875
2016-04-20,324.3998107910156
2016-04-21,325.89703369140625
2016-04-22,332.38507080078125
2016-04-25,326.9949951171875
2016-04-26,326.495849609375
2016-04-27,326.5957336425781
2016-04-28,326.69549560546875
2016-04-29,325.2981262207031
2016-05-03,324.3998107910156
2016-05-04,328.8914794921875
2016-05-05,332.88409423828125
2016-05-06,337.57537841796875
2016-05-09,343.46453857421875
2016-05-10,340.5698547363281
2016-05-11,342.16693115234375
2016-05-12,341.2685852050781
2016-05-13,340.07080078125
2016-05-16,341.867431640625
2016-05-17,348.35546875
2016-05-18,348.75469970703125
2016-05-19,346.5587463378906
2016-05-20,350.95062255859375
2016-05-23,352.74737548828125
2016-05-24,357.1391906738281
2016-05-25,362.7289123535156
2016-05-26,364.8250427246094
2016-05-27,367.4201965332031
2016-05-31,364.4257507324219
2016-06-01,365.5237121582031
2016-06-02,360.1336364746094
2016-06-03,358.7362976074219
2016-06-06,358.33697509765625
2016-06-07,359.2353210449219
2016-06-08,359.0357360839844
2016-06-09,361.83056640625
2016-06-10,353.34625244140625
2016-06-13,353.7454833984375
2016-06-14,348.6549072265625
2016-06-15,349.4534606933594
2016-06-16,350.850830078125
2016-06-17,358.13739013671875
2016-06-20,370.6142578125
2016-06-21,372.01171875
2016-06-22,376.8028259277344
2016-06-23,384.1891784667969
2016-06-24,363.3277893066406
2016-06-27,330.7879638671875
2016-06-28,349.6530456542969
2016-06-29,353.2463684082031
2016-06-30,363.3277893066406
2016-07-01,369.0172424316406
2016-07-04,365.5237121582031
2016-07-05,361.9303894042969
2016-07-06,369.51629638671875
2016-07-07,375.00616455078125
2016-07-08,379.99688720703125
2016-07-11,387.982177734375
2016-07-12,391.7751159667969
2016-07-13,383.5902404785156
2016-07-14,379.29815673828125
2016-07-15,377.60137939453125
2016-07-18,384.4885559082031
2016-07-19,387.283447265625
2016-07-20,393.57177734375
2016-07-21,386.1854248046875
2016-07-22,388.98028564453125
2016-07-25,402.35552978515625
2016-07-26,401.6568298339844
2016-07-27,397.66424560546875
2016-07-28,395.66790771484375
2016-07-29,395.5680847167969
2016-08-01,387.6827087402344
2016-08-02,400.15966796875
2016-08-03,387.5828552246094
2016-08-04,391.61077880859375
2016-08-05,397.5004577636719
2016-08-08,398.4986877441406
2016-08-09,402.4916687011719
2016-08-10,402.4916687011719
2016-08-11,403.4898681640625
2016-08-12,398.4986877441406
2016-08-15,399.4969177246094
2016-08-16,394.9049987792969
2016-08-17,393.3077697753906
2016-08-18,393.8069152832031
2016-08-19,391.01190185546875
2016-08-22,393.5074768066406
2016-08-23,395.9032287597656
2016-08-24,393.7071228027344
2016-08-25,392.3096008300781
2016-08-26,393.5074768066406
2016-08-30,391.01190185546875
2016-08-31,388.9155578613281
2016-09-01,394.60546875
2016-09-02,404.3882751464844
2016-09-05,401.6930847167969
2016-09-06,397.6002197265625
2016-09-07,399.2972717285156
2016-09-08,403.19036865234375
2016-09-09,397.5004577636719
2016-09-12,395.9032287597656
2016-09-13,400.9942626953125
2016-09-14,395.7035827636719
2016-09-15,398.7981262207031
