Date,MARUTI.NS
2015-08-21,4145.2861328125
2015-08-24,3849.8193359375
2015-08-25,3810.974853515625
2015-08-26,3841.150390625
2015-08-27,3838.137451171875
2015-08-28,3840.054931640625
2015-08-31,3804.766845703125
2015-09-01,3708.21337890625
2015-09-02,3679.4990234375
2015-09-03,3782.899658203125
2015-09-04,3709.903076171875
2015-09-07,3715.65478515625
2015-09-08,3779.29248046875
2015-09-09,3930.718505859375
2015-09-10,3927.34033203125
2015-09-11,3942.222900390625
2015-09-14,3943.820068359375
2015-09-15,3948.84228515625
2015-09-16,3976.780517578125
2015-09-18,4018.094970703125
2015-09-21,4099.7197265625
2015-09-22,4084.015380859375
2015-09-23,4106.4765625
2015-09-24,4169.4755859375
2015-09-28,4141.71826171875
2015-09-29,4275.0673828125
2015-09-30,4278.080078125
2015-10-01,4181.98388671875
2015-10-05,4030.14697265625
2015-10-06,3975.320556640625
2015-10-07,3984.90625
2015-10-08,3975.091796875
2015-10-09,3904.4228515625
2015-10-12,3863.79345703125
2015-10-13,3902.140625
2015-10-14,3880.136474609375
2015-10-15,3996.68408203125
2015-10-16,4060.231201171875
2015-10-19,4071.14208984375
2015-10-20,4116.61083984375
2015-10-21,4085.52197265625
2015-10-23,3999.88037109375
2015-10-26,4003.76025390625
2015-10-27,4105.8828125
2015-10-28,4104.2392578125
2015-10-29,4053.429931640625
2015-10-30,4062.05712890625
2015-11-02,4104.7412109375
2015-11-03,4092.68896484375
2015-11-04,4127.384765625
2015-11-05,4132.908203125
2015-11-06,4129.43896484375
2015-11-09,4225.671875
2015-11-10,4302.822265625
2015-11-13,4218.00146484375
2015-11-16,4242.74560546875
2015-11-17,4229.3701171875
2015-11-18,4138.97998046875
2015-11-19,4245.8955078125
2015-11-20,4325.830078125
2015-11-23,4324.32421875
2015-11-24,4236.35400390625
2015-11-26,4205.90576171875
2015-11-27,4181.708984375
2015-11-30,4158.837890625
2015-12-01,4159.93408203125
2015-12-02,4217.08984375
2015-12-03,4224.62158203125
2015-12-04,4200.24365234375
2015-12-07,4167.23876953125
2015-12-08,4147.47119140625
2015-12-09,4089.5390625
2015-12-10,4106.88720703125
2015-12-11,4091.045166015625
2015-12-14,4178.7421875
2015-12-15,4218.18505859375
2015-12-16,4217.63720703125
2015-12-17,4260.869140625
2015-12-18,4218.59521484375
2015-12-21,4235.62353515625
2015-12-22,4215.6279296875
2015-12-23,4231.83544921875
2015-12-24,4198.46337890625
2015-12-28,4236.4453125
2015-12-29,4233.615234375
2015-12-30,4188.23779296875
2015-12-31,4219.9658203125
2016-01-01,4235.07568359375
2016-01-04,4182.25732421875
2016-01-05,4169.7490234375
2016-01-06,4091.090576171875
2016-01-07,3896.708740234375
2016-01-08,3848.180419921875
2016-01-11,3900.816650390625
2016-01-12,3897.712646484375
2016-01-13,3918.028076171875
2016-01-14,3878.76708984375
2016-01-15,3901.683837890625
2016-01-18,3867.765380859375
2016-01-19,3833.024658203125
2016-01-20,3705.93115234375
2016-01-21,3553.227783203125
2016-01-22,3747.930419921875
2016-01-25,3726.383056640625
2016-01-27,3754.32177734375
2016-01-28,3746.423828125
2016-01-29,3739.621826171875
2016-02-01,3604.85888671875
2016-02-02,3537.93408203125
2016-02-03,3495.38720703125
2016-02-04,3464.617919921875
2016-02-05,3399.56494140625
2016-02-08,3407.919189453125
2016-02-09,3339.03125
2016-02-10,3358.615966796875
2016-02-11,3233.439697265625
2016-02-12,3240.92626953125
2016-02-15,3388.471435546875
2016-02-16,3382.94775390625
2016-02-17,3423.0751953125
2016-02-18,3335.51611328125
2016-02-19,3267.86083984375
2016-02-22,3214.585205078125
2016-02-23,3184.09033203125
2016-02-24,3186.190673828125
2016-02-25,3117.211181640625
2016-02-26,3112.692138671875
2016-02-29,2955.01220703125
2016-03-01,3190.481689453125
2016-03-02,3298.447021484375
2016-03-03,3294.794921875
2016-03-04,3245.902587890625
2016-03-08,3161.493408203125
2016-03-09,3265.35009765625
2016-03-10,3311.731689453125
2016-03-11,3324.51416015625
2016-03-14,3330.859619140625
2016-03-15,3336.70263671875
2016-03-16,3348.389892578125
2016-03-17,3319.263916015625
2016-03-18,3306.436279296875
2016-03-21,3350.398681640625
2016-03-22,3377.789306640625
2016-03-23,3411.069091796875
2016-03-28,3322.460205078125
2016-03-29,3405.545654296875
2016-03-30,3403.262451171875
2016-03-31,3393.082763671875
2016-04-01,3399.382568359375
2016-04-04,3362.9072265625
2016-04-05,3245.6748046875
2016-04-06,3262.291259765625
2016-04-07,3169.1171875
2016-04-08,3132.2763671875
