Date,BF-B
2015-08-03,36.68812561035156
2015-08-04,37.00579071044922
2015-08-05,37.40453338623047
2015-08-06,37.44508361816406
2015-08-07,37.10716247558594
2015-08-10,37.350467681884766
2015-08-11,37.374114990234375
2015-08-12,36.752342224121094
2015-08-13,36.715152740478516
2015-08-14,36.66448211669922
2015-08-17,36.752342224121094
2015-08-18,36.55635452270508
2015-08-19,36.025821685791016
2015-08-20,35.46486282348633
2015-08-21,34.54909133911133
2015-08-24,33.46774673461914
2015-08-25,33.190643310546875
2015-08-26,33.20754623413086
2015-08-27,33.03184127807617
2015-08-28,33.27512741088867
2015-08-31,33.15010070800781
2015-09-01,32.423580169677734
2015-09-02,32.720943450927734
2015-09-03,33.02775955200195
2015-09-04,32.27851486206055
2015-09-08,33.207435607910156
2015-09-09,32.6005859375
2015-09-10,33.048095703125
2015-09-11,32.59380340576172
2015-09-14,32.4039421081543
2015-09-15,32.76670837402344
2015-09-16,32.97689437866211
2015-09-17,32.84807586669922
2015-09-18,33.478660583496094
2015-09-21,33.861751556396484
2015-09-22,33.62444305419922
2015-09-23,33.4210319519043
2015-09-24,33.424415588378906
2015-09-25,33.760040283203125
2015-09-28,32.6175422668457
2015-09-29,32.38361358642578
2015-09-30,32.85146713256836
2015-10-01,33.2888069152832
2015-10-02,33.80411911010742
2015-10-05,34.92630386352539
2015-10-06,34.99411392211914
2015-10-07,35.187339782714844
2015-10-08,35.75690460205078
2015-10-09,35.834869384765625
2015-10-12,36.09592819213867
2015-10-13,36.034908294677734
2015-10-14,35.851837158203125
2015-10-15,35.90947341918945
2015-10-16,36.336647033691406
2015-10-19,36.42816925048828
2015-10-20,36.604469299316406
2015-10-21,36.64854049682617
2015-10-22,36.9434814453125
2015-10-23,36.77735900878906
2015-10-26,36.4349479675293
2015-10-27,36.455299377441406
2015-10-28,36.458683013916016
2015-10-29,36.1840705871582
2015-10-30,35.99761199951172
2015-11-02,36.23493194580078
2015-11-03,36.13999938964844
2015-11-04,36.22477340698242
2015-11-05,36.23493194580078
2015-11-06,35.407711029052734
2015-11-09,35.20429611206055
2015-11-10,35.29582214355469
2015-11-11,35.668758392333984
2015-11-12,35.24836730957031
2015-11-13,34.72288513183594
2015-11-16,35.400936126708984
2015-11-17,35.706050872802734
2015-11-18,35.9908332824707
2015-11-19,36.112884521484375
2015-11-20,35.71961975097656
2015-11-23,35.79081344604492
2015-11-24,35.5738410949707
2015-11-25,35.624691009521484
2015-11-27,36.1094856262207
2015-11-30,34.76355743408203
2015-12-01,35.33842849731445
2015-12-02,34.705745697021484
2015-12-03,34.53227233886719
2015-12-04,35.61734390258789
2015-12-07,35.076507568359375
2015-12-08,35.04249572753906
2015-12-09,34.91322708129883
2015-12-10,34.178504943847656
2015-12-11,34.02882766723633
