Date,EZJ.L
2015-08-24,1603.3128662109375
2015-08-25,1671.15673828125
2015-08-26,1673.152099609375
2015-08-27,1701.0880126953125
2015-08-28,1679.1383056640625
2015-09-01,1650.2049560546875
2015-09-02,1668.16357421875
2015-09-03,1757.9571533203125
2015-09-04,1742.9915771484375
2015-09-07,1758.954833984375
2015-09-08,1788.8861083984375
2015-09-09,1775.9158935546875
2015-09-10,1755.961669921875
2015-09-11,1755.961669921875
2015-09-14,1753.9661865234375
2015-09-15,1750.97314453125
2015-09-16,1756.9593505859375
2015-09-17,1751.970947265625
2015-09-18,1739.000732421875
2015-09-21,1744.9869384765625
2015-09-22,1696.099609375
2015-09-23,1754.964111328125
2015-09-24,1751.970947265625
2015-09-25,1791.879150390625
2015-09-28,1766.9364013671875
2015-09-29,1739.99853515625
2015-09-30,1772.9227294921875
2015-10-01,1760.9503173828125
2015-10-02,1743.9892578125
2015-10-05,1803.8516845703125
2015-10-06,1755.961669921875
2015-10-07,1668.16357421875
2015-10-08,1700.0904541015625
2015-10-09,1691.1109619140625
2015-10-12,1701.0880126953125
2015-10-13,1719.046875
2015-10-14,1700.0904541015625
2015-10-15,1717.0513916015625
2015-10-16,1719.046875
2015-10-19,1742.9915771484375
2015-10-20,1727.0283203125
2015-10-21,1722.0399169921875
2015-10-22,1716.0537109375
2015-10-23,1761.9478759765625
2015-10-26,1770.92724609375
2015-10-27,1777.911376953125
2015-10-28,1765.938720703125
2015-10-29,1741.993896484375
2015-10-30,1745.984619140625
2015-11-02,1709.06982421875
2015-11-03,1719.046875
2015-11-04,1728.026123046875
2015-11-05,1767.9342041015625
2015-11-06,1793.8746337890625
2015-11-09,1779.9066162109375
2015-11-10,1776.9134521484375
2015-11-11,1797.8653564453125
2015-11-12,1776.9134521484375
2015-11-13,1785.8929443359375
2015-11-16,1778.908935546875
2015-11-17,1706.0765380859375
2015-11-18,1690.1134033203125
2015-11-19,1710.0675048828125
2015-11-20,1681.1337890625
2015-11-23,1642.223388671875
2015-11-24,1590.3426513671875
2015-11-25,1600.31982421875
2015-11-26,1623.2669677734375
2015-11-27,1628.2554931640625
2015-11-30,1649.207275390625
2015-12-01,1642.223388671875
2015-12-02,1659.1842041015625
2015-12-03,1626.260009765625
2015-12-04,1671.15673828125
2015-12-07,1701.0880126953125
2015-12-08,1687.1199951171875
2015-12-09,1681.1337890625
2015-12-10,1695.101806640625
2015-12-11,1654.1959228515625
2015-12-14,1645.2164306640625
2015-12-15,1692.1087646484375
2015-12-16,1709.06982421875
2015-12-17,1711.065185546875
2015-12-18,1682.13134765625
2015-12-21,1703.08349609375
2015-12-22,1706.0765380859375
2015-12-23,1720.0445556640625
2015-12-24,1717.0513916015625
2015-12-29,1754.964111328125
2015-12-30,1739.99853515625
2015-12-31,1736.0076904296875
2016-01-04,1733.0145263671875
2016-01-05,1757.9571533203125
2016-01-06,1753.9661865234375
2016-01-07,1665.1705322265625
2016-01-08,1709.06982421875
2016-01-11,1714.0582275390625
2016-01-12,1716.0537109375
2016-01-13,1686.122314453125
2016-01-14,1638.232421875
2016-01-15,1608.301513671875
2016-01-18,1597.3265380859375
2016-01-19,1628.2554931640625
2016-01-20,1617.28076171875
2016-01-21,1626.260009765625
2016-01-22,1636.2369384765625
2016-01-25,1627.2576904296875
2016-01-26,1575.376953125
2016-01-27,1569.3907470703125
2016-01-28,1522.4986572265625
2016-01-29,1544.4482421875
2016-02-01,1597.3265380859375
2016-02-02,1583.358642578125
2016-02-03,1547.44140625
2016-02-04,1528.485107421875
2016-02-05,1517.5101318359375
2016-02-08,1465.62939453125
2016-02-09,1498.5537109375
2016-02-10,1510.5262451171875
2016-02-11,1458.6455078125
2016-02-12,1482.59033203125
2016-02-15,1504.539794921875
2016-02-16,1534.4713134765625
2016-02-17,1551.4322509765625
2016-02-18,1558.4161376953125
2016-02-19,1549.436767578125
2016-02-22,1541.4552001953125
2016-02-23,1518.5079345703125
2016-02-24,1510.5262451171875
2016-02-25,1492.1136474609375
2016-02-26,1491.11572265625
2016-02-29,1503.0924072265625
2016-03-01,1540.021240234375
2016-03-02,1507.0848388671875
2016-03-03,1482.1331787109375
2016-03-04,1549.0037841796875
2016-03-07,1530.04052734375
2016-03-08,1533.034912109375
2016-03-09,1530.04052734375
2016-03-10,1491.11572265625
2016-03-11,1518.063720703125
2016-03-14,1541.0194091796875
2016-03-15,1504.090576171875
2016-03-16,1513.0732421875
2016-03-17,1482.1331787109375
2016-03-18,1511.0770263671875
2016-03-21,1498.10205078125
2016-03-22,1501.096435546875
2016-03-23,1512.0751953125
2016-03-24,1498.10205078125
2016-03-29,1522.0560302734375
2016-03-30,1517.0655517578125
2016-03-31,1516.0675048828125
2016-04-01,1525.05029296875
2016-04-04,1525.05029296875
2016-04-05,1519.061767578125
2016-04-06,1473.1505126953125
2016-04-07,1448.19873046875
2016-04-08,1451.1929931640625
2016-04-11,1453.189208984375
2016-04-12,1452.1910400390625
2016-04-13,1469.158203125
2016-04-14,1474.1485595703125
2016-04-15,1444.20654296875
2016-04-18,1454.1871337890625
2016-04-19,1464.16796875
2016-04-20,1470.1563720703125
2016-04-21,1444.20654296875
2016-04-22,1444.20654296875
2016-04-25,1442.21044921875
2016-04-26,1458.1795654296875
2016-04-27,1510.0791015625
2016-04-28,1512.0751953125
2016-04-29,1470.1563720703125
2016-05-03,1432.2298583984375
2016-05-04,1437.219970703125
2016-05-05,1437.219970703125
2016-05-06,1413.2662353515625
2016-05-09,1467.162109375
2016-05-10,1507.0848388671875
2016-05-11,1483.131103515625
2016-05-12,1454.1871337890625
2016-05-13,1430.233642578125
2016-05-16,1438.21826171875
2016-05-17,1434.225830078125
2016-05-18,1484.129150390625
2016-05-19,1458.1795654296875
2016-05-20,1467.162109375
2016-05-23,1495.10791015625
2016-05-24,1515.0693359375
2016-05-25,1552.99609375
2016-05-26,1529.0426025390625
2016-05-27,1549.0037841796875
2016-05-31,1530.04052734375
2016-06-01,1505.0885009765625
2016-06-02,1511.0770263671875
2016-06-03,1521.057861328125
2016-06-06,1505.0885009765625
2016-06-07,1518.063720703125
2016-06-08,1487.1234130859375
2016-06-09,1485.1273193359375
2016-06-10,1432.2298583984375
2016-06-13,1420.2530517578125
2016-06-14,1392.306884765625
2016-06-15,1403.28564453125
2016-06-16,1392.306884765625
2016-06-17,1438.21826171875
2016-06-20,1519.061767578125
2016-06-21,1517.0655517578125
2016-06-22,1514.0712890625
2016-06-23,1530.04052734375
2016-06-24,1310.465087890625
2016-06-27,1018.0308227539062
2016-06-28,1066.9364013671875
2016-06-29,1084.9014892578125
2016-06-30,1083.903564453125
2016-07-01,1089.8919677734375
2016-07-04,1078.9132080078125
2016-07-05,1053.96142578125
2016-07-06,1016.0347290039062
2016-07-07,1045.9769287109375
2016-07-08,1067.934326171875
2016-07-11,1092.8861083984375
