Date,MSI
2015-08-03,50.86212921142578
2015-08-04,51.25364685058594
2015-08-05,54.50487518310547
2015-08-06,54.300594329833984
2015-08-07,54.632537841796875
2015-08-10,54.462318420410156
2015-08-11,53.917606353759766
2015-08-12,54.981483459472656
2015-08-13,54.760196685791016
2015-08-14,55.30491256713867
2015-08-17,55.55171585083008
2015-08-18,55.97727584838867
2015-08-19,55.619815826416016
2015-08-20,54.3772087097168
2015-08-21,53.15160369873047
2015-08-24,51.73876953125
2015-08-25,51.44088363647461
2015-08-26,53.73887634277344
2015-08-27,54.717655181884766
2015-08-28,54.93892288208008
2015-08-31,55.168731689453125
2015-09-01,54.34315872192383
2015-09-02,55.0836181640625
2015-09-03,55.41554641723633
2015-09-04,56.4368782043457
2015-09-08,59.24554443359375
2015-09-09,58.13057327270508
2015-09-10,58.80295944213867
2015-09-11,57.37458038330078
2015-09-14,57.1693000793457
2015-09-15,57.4344596862793
2015-09-16,57.708152770996094
2015-09-17,57.33182144165039
2015-09-18,57.38312530517578
2015-09-21,57.34893035888672
2015-09-22,56.94692611694336
2015-09-23,57.99040603637695
2015-09-24,58.08449935913086
2015-09-25,59.1878547668457
2015-09-28,58.10158920288086
2015-09-29,57.69105529785156
2015-09-30,58.486473083496094
2015-10-01,57.95618438720703
2015-10-02,58.50361633300781
2015-10-05,59.658267974853516
2015-10-06,59.17927932739258
2015-10-07,59.692501068115234
2015-10-08,59.4444465637207
2015-10-09,58.828609466552734
2015-10-12,59.38455581665039
2015-10-13,59.05098342895508
2015-10-14,58.760189056396484
2015-10-15,59.24770736694336
2015-10-16,59.23917770385742
2015-10-19,59.04245376586914
2015-10-20,59.42735290527344
2015-10-21,59.418800354003906
2015-10-22,60.28266143798828
2015-10-23,60.28266143798828
2015-10-26,59.91487121582031
2015-10-27,59.837867736816406
2015-10-28,60.18858337402344
2015-10-29,59.983306884765625
2015-10-30,59.846412658691406
2015-11-02,60.49647903442383
2015-11-03,61.03532791137695
2015-11-04,55.80079650878906
2015-11-05,57.64828109741211
2015-11-06,58.170021057128906
2015-11-09,58.3325309753418
2015-11-10,58.45228576660156
2015-11-11,59.88920974731445
2015-11-12,59.39311218261719
2015-11-13,59.04245376586914
2015-11-16,59.88920974731445
2015-11-17,60.77017593383789
2015-11-18,61.56562805175781
2015-11-19,61.96761703491211
2015-11-20,61.7452392578125
2015-11-23,61.7879753112793
2015-11-24,61.54853439331055
2015-11-25,61.43733596801758
2015-11-27,61.5998420715332
2015-11-30,61.394561767578125
2015-12-01,61.62550354003906
2015-12-02,61.48862838745117
2015-12-03,60.795841217041016
2015-12-04,61.676815032958984
2015-12-07,60.19712448120117
2015-12-08,59.658267974853516
2015-12-09,59.28194046020508
2015-12-10,59.333251953125
2015-12-11,59.03212356567383
2015-12-14,58.62773132324219
2015-12-15,59.47950744628906
2015-12-16,59.815067291259766
