Date,SREN.SW
2015-08-24,42.56742858886719
2015-08-25,44.32194900512695
2015-08-26,43.83607864379883
2015-08-27,44.72684097290039
2015-08-28,44.591880798339844
2015-08-31,44.834815979003906
2015-09-01,43.94405746459961
2015-09-02,44.186988830566406
2015-09-03,45.023765563964844
2015-09-04,44.45691680908203
2015-09-07,44.618865966796875
2015-09-08,45.15872573852539
2015-09-09,45.5366096496582
2015-09-10,45.40165328979492
2015-09-11,45.48263931274414
2015-09-14,45.40165328979492
2015-09-15,45.37466812133789
2015-09-16,46.13045883178711
2015-09-17,45.67158508300781
2015-09-18,45.21270751953125
2015-09-21,45.80654525756836
2015-09-22,44.45691680908203
2015-09-23,44.591880798339844
2015-09-24,43.91706466674805
2015-09-25,45.29369354248047
2015-09-28,44.86180877685547
2015-09-29,44.42992401123047
2015-09-30,45.13172912597656
2015-10-01,45.07773971557617
2015-10-02,44.915794372558594
2015-10-05,46.10346221923828
2015-10-06,46.37339401245117
2015-10-07,46.37339401245117
2015-10-08,46.75129318237305
2015-10-09,46.616329193115234
2015-10-12,46.72430419921875
2015-10-13,46.29241943359375
2015-10-14,46.022491455078125
2015-10-15,46.400386810302734
2015-10-16,46.80527114868164
2015-10-19,46.85926818847656
2015-10-20,46.94023513793945
2015-10-21,47.129188537597656
2015-10-22,47.88498306274414
2015-10-23,48.47882080078125
2015-10-26,48.66777038574219
2015-10-27,48.856719970703125
2015-10-28,49.34259033203125
2015-10-29,49.55852508544922
2015-10-30,49.612510681152344
2015-11-02,50.42228698730469
2015-11-03,50.58424377441406
2015-11-04,50.287322998046875
2015-11-05,50.773197174072266
2015-11-06,50.827178955078125
2015-11-09,50.5572509765625
2015-11-10,50.98912811279297
2015-11-11,51.6639518737793
2015-11-12,51.69094467163086
2015-11-13,51.25905990600586
2015-11-16,51.367034912109375
2015-11-17,52.25779342651367
2015-11-18,52.284786224365234
2015-11-19,52.20381164550781
2015-11-20,52.176815032958984
2015-11-23,52.06884002685547
2015-11-24,51.6639518737793
2015-11-25,52.98659896850586
2015-11-26,52.85163879394531
2015-11-27,53.06758117675781
2015-11-30,52.932613372802734
2015-12-01,52.932613372802734
2015-12-02,53.25651931762695
2015-12-03,52.50072479248047
2015-12-04,53.01358413696289
2015-12-07,53.040584564208984
2015-12-08,52.63568878173828
2015-12-09,52.608707427978516
2015-12-10,52.20381164550781
2015-12-11,51.52899169921875
2015-12-14,51.04312515258789
2015-12-15,52.5277214050293
2015-12-16,52.39275360107422
2015-12-17,53.175537109375
2015-12-18,52.689674377441406
2015-12-21,53.01358413696289
2015-12-22,52.662689208984375
2015-12-23,53.14855194091797
2015-12-28,53.14855194091797
2015-12-29,53.8233642578125
2015-12-30,52.98659896850586
2016-01-04,51.69094467163086
2016-01-05,52.20381164550781
2016-01-06,52.01486587524414
2016-01-07,50.719215393066406
2016-01-08,50.3413200378418
2016-01-11,50.88117599487305
2016-01-12,51.39402389526367
2016-01-13,52.14982223510742
2016-01-14,51.31305694580078
2016-01-15,49.99040603637695
2016-01-18,49.9094352722168
2016-01-19,50.85417556762695
2016-01-20,48.61378860473633
2016-01-21,48.82972717285156
2016-01-22,49.99040603637695
2016-01-25,50.04439163208008
2016-01-26,50.01740264892578
2016-01-27,50.01740264892578
2016-01-28,50.071388244628906
2016-01-29,51.1780891418457
2016-02-01,50.80018997192383
2016-02-02,50.0983772277832
2016-02-03,49.31559371948242
2016-02-04,49.45055389404297
2016-02-05,48.39784240722656
2016-02-08,47.45309829711914
2016-02-09,46.48136520385742
2016-02-10,47.61505889892578
2016-02-11,45.752567291259766
2016-02-12,46.42737579345703
2016-02-15,48.28987503051758
2016-02-16,48.12791061401367
2016-02-17,49.31559371948242
2016-02-18,50.15236282348633
2016-02-19,49.47755432128906
2016-02-22,50.449283599853516
2016-02-23,48.586795806884766
2016-02-24,48.586795806884766
2016-02-25,48.154911041259766
2016-02-26,48.04693603515625
2016-02-29,47.9659538269043
2016-03-01,48.66777038574219
2016-03-02,48.856719970703125
2016-03-03,48.72174835205078
2016-03-04,48.640769958496094
2016-03-07,48.45183181762695
2016-03-08,47.99295425415039
2016-03-09,47.83099365234375
2016-03-10,47.23715591430664
2016-03-11,48.262882232666016
2016-03-14,48.262882232666016
2016-03-15,48.370853424072266
2016-03-16,48.910701751708984
2016-03-17,49.018672943115234
2016-03-18,48.66777038574219
2016-03-21,48.694759368896484
2016-03-22,48.694759368896484
2016-03-23,48.88371658325195
2016-03-24,47.69602966308594
2016-03-29,47.9119758605957
2016-03-30,48.100921630859375
2016-03-31,47.99295425415039
2016-04-01,47.34511947631836
2016-04-04,47.18317794799805
2016-04-05,46.72430419921875
2016-04-06,46.91324234008789
2016-04-07,46.535343170166016
2016-04-08,47.2641487121582
2016-04-11,47.723026275634766
2016-04-12,48.50581359863281
2016-04-13,49.80146026611328
2016-04-14,50.476280212402344
2016-04-15,50.206356048583984
2016-04-18,50.125370025634766
2016-04-19,50.692222595214844
2016-04-20,51.07011032104492
2016-04-21,50.61124801635742
2016-04-22,50.449283599853516
2016-04-25,50.071388244628906
2016-04-26,50.44061279296875
2016-04-27,50.09979248046875
2016-04-28,50.21339416503906
2016-04-29,48.33891296386719
2016-05-02,48.48091506958008
2016-05-03,48.90694046020508
2016-05-04,48.679718017578125
2016-05-06,48.679718017578125
2016-05-09,49.531761169433594
2016-05-10,49.6453742980957
2016-05-11,49.418155670166016
2016-05-12,48.9637336730957
2016-05-13,48.395713806152344
2016-05-17,48.99213790893555
2016-05-18,48.9637336730957
2016-05-19,48.679718017578125
